year,CODEKHUM,KHUM_NAME,HISTO_NODATA,HISTO_10,HISTO_11,HISTO_12,HISTO_20,HISTO_30,HISTO_40,HISTO_50,HISTO_60,HISTO_61,HISTO_62,HISTO_70,HISTO_80,HISTO_90,HISTO_100,HISTO_110,HISTO_120,HISTO_121,HISTO_130,HISTO_150,HISTO_160,HISTO_170,HISTO_180,HISTO_190,HISTO_200,HISTO_201,HISTO_202,HISTO_210
2010,160800,,51,0,10,0,0,22,10,14391,0,0,0,10,0,0,58,0,549,3025,4,0,0,0,14,0,0,0,0,0
2010,190303,Santepheap,36,50,0,0,50,56,250,18387,121,0,0,15,0,0,2519,0,129,1039,3,0,11,2,20,0,0,0,0,189
2010,190305,Thma Kaev,16,245,17,0,17,76,132,1516,458,0,0,4,0,0,1728,0,1,106,0,0,6,4,4,0,0,0,0,49
2010,220405,Ou Smach,6,98,6,0,12,35,34,34,4,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0
2010,220403,Kriel,14,4813,55,0,10,317,946,1249,3326,0,0,2,0,0,1570,0,47,332,0,0,0,0,0,0,0,0,0,0
2010,130306,Kantuot,24,1004,126,0,101,319,766,550,5250,0,0,10,0,0,2745,0,121,184,0,0,0,0,0,0,0,0,0,0
2010,130301,Choam Ksant,8,421,25,0,80,123,96,161,1797,3,0,0,0,0,1302,0,57,33,0,0,0,0,0,0,0,0,0,0
2010,220503,Ou Svay,0,287,0,0,3,19,466,289,249,0,0,4,0,0,338,0,11,236,0,0,0,0,0,0,0,0,0,0
2010,160900,,13,0,9,0,0,0,3,3475,9,0,0,18,0,0,62,0,24,286,0,0,0,0,16,0,0,0,0,0
2010,220203,Kouk Khpos,0,2717,10,0,3,27,72,231,5,0,0,0,0,0,57,0,4,50,0,0,0,0,0,0,0,0,0,0
2010,220502,Ph'av,0,426,224,0,10,97,669,2076,715,0,0,0,0,0,864,0,66,316,1,0,0,0,6,0,0,0,0,0
2010,220504,Preah Pralay,0,132,19,0,11,12,171,37,178,0,0,7,0,0,171,0,4,36,0,0,0,0,0,0,0,0,0,0
2010,220104,Trapeang Prei,0,797,0,0,5,41,83,175,50,0,0,0,0,0,23,0,1,130,0,0,0,0,0,0,0,0,0,0
2010,190301,Preaek Meas,13,839,15,0,3,132,327,1274,1761,0,0,0,0,0,4031,0,17,282,18,0,0,0,7,0,0,0,0,0
2010,220103,Trapeang Tav,1,804,45,0,47,71,474,649,973,0,0,0,0,0,624,0,35,214,14,0,0,20,0,0,0,0,0,6
2010,220204,Kouk Mon,0,2911,15,0,9,14,38,81,0,0,0,0,0,0,13,0,3,69,0,0,0,0,0,0,0,0,0,0
2010,220101,Anlong Veaeng,0,1399,102,0,10,227,220,1273,728,0,0,0,0,0,311,0,33,259,0,0,0,0,0,0,0,0,0,21
2010,130302,Tuek Kraham,28,645,98,0,122,332,467,1309,1725,0,0,0,0,0,2613,0,72,334,0,0,0,0,0,0,0,0,0,0
2010,220201,Ampil,13,3847,6,0,4,19,4,200,0,0,0,0,0,0,27,0,10,127,0,0,0,0,0,0,0,0,0,0
2010,220505,Tumnob Dach,0,540,36,0,0,7,190,73,729,0,0,2,0,0,128,0,5,0,0,0,0,0,0,0,0,0,0,0
2010,220401,Bansay Reak,0,1216,21,0,1,55,26,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,220105,Thlat,0,181,121,0,5,145,127,823,464,0,0,0,0,0,439,0,38,143,0,0,0,0,0,0,0,0,0,0
2010,220501,Bak Anlung,0,332,34,0,0,15,498,182,246,0,0,2,0,0,282,0,10,16,0,0,0,0,0,0,0,0,0,0
2010,220106,Lumtong,0,825,80,0,6,94,576,916,1866,0,0,12,0,0,855,7,78,191,6,0,0,0,0,0,0,0,0,0
2010,10701,Banteay Chhmar,11,5025,50,0,52,85,8,91,0,0,0,0,0,0,8,0,0,20,3,0,0,0,0,0,0,0,0,0
