CommCode,Commune,2010,diffPix,2011,diffPix,2012,diffPix,2013,diffPix,2014,diffPix,2015,diffPix,,,
10210,Sambuor,7,na,7,0,7,0,7,0,7,0,7,0,,,
10213,Ta Lam,2,na,2,0,2,0,2,0,2,0,2,0,,,
10301,Nam Tau,189,na,189,0,189,0,189,0,189,0,189,0,,,1536
10302,Paoy Char,555,na,555,0,555,0,555,0,555,0,555,0,,,
10303,Ponley,83,na,83,0,83,0,83,0,83,0,83,0,,,
10305,Srah Chik,5,na,5,0,5,0,5,0,5,0,5,0,,,
10402,Chob Veari,2,na,2,0,2,0,2,0,2,0,2,0,,,
10403,Phnum Lieb,76,na,76,0,76,0,76,0,76,0,76,0,,,
10404,Prasat,81,na,81,0,81,0,81,0,81,0,81,0,,,
10405,Preah Netr Preah,23,na,23,0,23,0,23,0,23,0,23,0,,,
10406,Rohal,42,na,42,0,42,0,42,0,42,0,42,0,,,
10509,Ou Bei Choan,4,na,4,0,4,0,4,0,4,0,4,0,,,
10701,Banteay Chhmar,99,na,99,0,99,0,99,0,99,0,99,0,,,
10704,Thma Puok,41,na,41,0,41,0,41,0,41,0,41,0,,,
10705,Kouk Kakthen,46,na,46,0,46,0,46,0,46,0,46,0,,,
10801,Phkoam,7,na,7,0,7,0,7,0,7,0,7,0,,,
10803,Sla Kram,4,na,4,0,4,0,4,0,4,0,4,0,,,
10804,Svay Chek,9,na,9,0,9,0,9,0,9,0,9,0,,,
10903,Ou Sampor,57,na,57,0,57,0,57,0,57,0,57,0,,,
10905,Tuol Pongro,235,na,235,0,235,0,235,0,235,0,235,0,,,
20102,Kantueu Pir,4,na,4,0,4,0,4,0,4,0,4,0,,,
20104,Chheu Teal,3,na,3,0,3,0,3,0,3,0,3,0,,,
20105,Chaeng Mean Chey,14,na,14,0,14,0,14,0,14,0,14,0,,,
20106,Phnum Sampov,6,na,6,0,6,0,6,0,6,0,6,0,,,
20107,Snoeng,46,na,46,0,46,0,46,0,46,0,46,0,,,
20108,Ta Kream,200,na,200,0,200,0,200,0,200,0,200,0,,,
20201,Ta Pung,37,na,37,0,37,0,37,0,37,0,37,0,,,
20202,Ta Meun,35,na,35,0,35,0,35,0,35,0,35,0,,,
20206,Chrouy Sdau,55,na,55,0,55,0,55,0,55,0,55,0,,,
20207,Boeng Pring,8,na,8,0,8,0,8,0,8,0,8,0,,,
20404,Prey Khpos,6,na,6,0,6,0,6,0,6,0,6,0,,,
20405,Ampil Pram Daeum,11,na,11,0,11,0,11,0,11,0,11,0,,,
20406,Kdol Ta Haen,102,na,102,0,102,0,102,0,102,0,102,0,,,
20501,Preaek Norint,67,na,67,0,67,0,67,0,67,0,67,0,,,
20504,Preaek Luong,70,na,70,0,70,0,70,0,70,0,70,0,,,
20505,Peam Aek,49,na,49,0,49,0,49,0,49,0,49,0,,,
20506,Prey Chas,340,na,340,0,340,0,340,0,340,0,340,0,,,
