CODEKHUM,KHUM_NAME,perc_change_dir,perc_change
160800,,-2.047167854,2.047167854
190303,Santepheap,-0.0047524,0.0047524
190305,Thma Kaev,0,0
220405,Ou Smach,0,0
220403,Kriel,0,0
130306,Kantuot,0,0
130301,Choam Ksant,0,0
220503,Ou Svay,0,0
160900,,0,0
220203,Kouk Khpos,0,0
220502,Ph'av,-1.450068399,1.450068399
220504,Preah Pralay,0,0
220104,Trapeang Prei,0,0
190301,Preaek Meas,0,0
220103,Trapeang Tav,0.089047195,-0.089047195
220204,Kouk Mon,0,0
220101,Anlong Veaeng,-1.124567474,1.124567474
130302,Tuek Kraham,0,0
220201,Ampil,0,0
220505,Tumnob Dach,0,0
220401,Bansay Reak,0,0
220105,Thlat,-0.695249131,0.695249131
220501,Bak Anlung,0,0
220106,Lumtong,-0.35626199,0.35626199
10701,Banteay Chhmar,0,0
130304,Rumdaoh Srae,0,0
130305,Yeang,0,0
160802,Ta Veaeng Kraom,0,0
160905,Kaoh Pang,0,0
160801,Ta Veaeng Leu,-0.211565585,0.211565585
160910,Veun Sai,0,0
160907,Kok Lak,0,0
220404,Samraong,0,0
220506,Trapeang Prasat,-2.45142003,2.45142003
220402,Bos Sbov,0,0
130303,Pring Thum,0,0
220202,Beng,0,0
130207,Kampong Sralau Muoy,0,0
190302,Sekong,0,0
160103,Nhang,-6.597479615,6.597479615
220302,Chong Kal,-0.067842605,0.067842605
220304,Pongro,0,0
130406,Srayang,0,0
220304,Pongro,0,0
190304,Srae Sambour,0,0
160906,Kaoh Peak,-2.084884587,2.084884587
130203,Sangke Muoy,0,0
130205,Mlu Prey Muoy,0,0
10702,Kouk Romiet,#DIV/0!,#DIV/0!
10706,Kumru,#DIV/0!,#DIV/0!
130208,Kampong Sralau Pir,0,0
130202,Chhep Pir,0.281584381,-0.281584381
160104,Ta Lav,-14.41922563,14.41922563
10704,Thma Puok,0,0
10301,Nam Tau,0,0
160908,Pa Kalan,0,0
160904,Ka Choun,0,0
160102,Mai Hie,-5.885815185,5.885815185
130402,Kuleaen Cheung,0,0
160901,Ban Pong,0,0
160602,Chan,-17.64705882,17.64705882
220301,Cheung Tien,0,0
171206,Slaeng Spean,0,0
10302,Paoy Char,0,0
171405,Varin,0,0
171402,Lvea Krang,0,0
171403,Srae Nouy,-0.491668943,0.491668943
160909,Phnum Kok,-10.4137931,10.4137931
171302,Kantuot,0,0
10705,Kouk Kakthen,0,0
10303,Ponley,0,0
130403,Thmei,0,0
10703,Phum Thmei,#DIV/0!,#DIV/0!
10804,Svay Chek,0,0
10807,Treas,#DIV/0!,#DIV/0!
160607,L'ak,-15.49295775,15.49295775
190508,Preah Rumkel,0,0
130703,Chhean Mukh,0,0
130704,Pou,0,0
130705,Prame,0,0
190507,Ou Svay,0,0
190404,Sameaki,0,0
160101,Malik,0,0
160604,Kalai,-4.071246819,4.071246819
171201,Chrouy Neang Nguon,0,0
160605,Ou Chum,-18.56540084,18.56540084
171202,Klang Hay,#DIV/0!,#DIV/0!
171401,Prasat,-0.574712644,0.574712644
160606,Sameakki,-3.134796238,3.134796238
190107,Ta Lat,0,0
160903,Hat Pak,0,0
171205,Prei,0,0
190505,Anlong Chrey,-0.213642606,0.213642606
10801,Phkoam,0,0
130201,Chhep Muoy,0.120772947,-0.120772947
190509,Sam'ang,-1.60971477,1.60971477
170106,Srae Khvav,0,0
160706,Saom Thum,-0.896860987,0.896860987
160301,Kak,0,0
160302,Ke Chong,0,0
10803,Sla Kram,0,0
10808,Roluos,#DIV/0!,#DIV/0!
190105,Sdau,0,0
190104,Samkhuoy,0,0
190106,Srae Kor,-0.024467825,0.024467825
130702,Pal Hal,0.175233645,-0.175233645
10306,Phnum Dei,#DIV/0!,#DIV/0!
130701,Kampong Pranak,0,0
