CommCode,Commune,perc_change
99,NA,5.434782609
10210,Sambuor,0
10213,Ta Lam,0
10301,Nam Tau,0
10302,Paoy Char,0
10303,Ponley,0
10305,Srah Chik,0
10402,Chob Veari,0
10403,Phnum Lieb,0
10404,Prasat,0
10405,Preah Netr Preah,0
10406,Rohal,0
10509,Ou Bei Choan,0
10701,Banteay Chhmar,0
10704,Thma Puok,0
10705,Kouk Kakthen,0
10801,Phkoam,0
10803,Sla Kram,0
10804,Svay Chek,0
10903,Ou Sampor,0
10905,Tuol Pongro,0
20102,Kantueu Pir,0
20104,Chheu Teal,0
20105,Chaeng Mean Chey,0
20106,Phnum Sampov,0
20107,Snoeng,0
20108,Ta Kream,0
20201,Ta Pung,0
20202,Ta Meun,0
20206,Chrouy Sdau,0
20207,Boeng Pring,0
20404,Prey Khpos,0
20405,Ampil Pram Daeum,0
20406,Kdol Ta Haen,0
20501,Preaek Norint,0
20504,Preaek Luong,0
20505,Peam Aek,0
20506,Prey Chas,0
20507,Kaoh Chiveang,1.470588235
20604,Ruessei Krang,0
20605,Chrey,0
20606,Ta Loas,0
20607,Kakaoh,0
20608,Prey Touch,0
20611,Preaek Chik,0
20612,Prey Tralach,0
20701,Sdau,0
20702,Andaeuk Haeb,0
20703,Phlov Meas,0
20704,Traeng,0
20802,Norea,0
20803,Ta Pon,0
20804,Roka,0
20805,Kampong Preah,0
20806,Kampong Pring,0
20900,NA,0.164798945
21000,NA,0
21100,NA,0
21206,NA,0
21304,Preah Phos,0
21305,Doun Ba,0
21306,Chhnal Moan,0.255754476
30108,Sandaek,0
30111,Trab,0
30201,Bos Khnaor,0
30202,Chamkar Andoung,0
30203,Cheyyou,0
30204,Lvea Leu,0
30205,Spueu,0
30206,Svay Teab,0
30207,Ta Ong,0
30301,Khnaor Dambang,0
30402,Dambae,0
30405,Seda,0
30406,Tuek Chrov,0
30407,Trapeang Pring,0
30603,Kien Chrey,0
30604,Kokor,0
30605,Kaoh Mitt,0
30606,Kaoh Roka,0
30611,Ro'ang,0
30613,Srak,0
30614,Trean,0
30615,Vihear Thum,0
30701,Angkor Ban,0
30704,Peam Chi Kang,0
30706,Preaek Krabau,0
30709,Roka Koy,0
30803,Lve,0
30804,Moha Leaph,0
30806,Peam Prathnuoh,0
30807,Pongro,0
30808,Preaek Ta Nong,0
30901,Chhuk,0
30902,Chumnik,0
30903,Kampong Treas,0
30905,Krouch Chhmar,0
30906,Peus Muoy,0
30907,Peus Pir,0
30908,Preaek a Chi,0
30909,Roka Khnaor,0
30910,Svay Khleang,0
30911,Trea,0
30912,Tuol Snuol,0
31003,Choam Kravien,0
31004,Choam Ta Mau,0
31005,Dar,0
31006,Kampoan,0
31007,Memong,0
31011,Rumchek,0
31014,Tonlung,0
31016,Kokir,0
31103,Damrel,0
31106,Peam Cheang,0
31107,Preah Theat,0
31202,Doun Tei,0
31203,Kak,0
31204,Kandaol Chrum,0
31205,Kaong Kang,0
31206,Kraek,0
31207,Popel,0
31208,Trapeang Phlong,0
31209,Veal Mlu,0
31413,Svay Sach Phnum,0
31501,Areaks Tnaot,0
31503,Dang Kdar,0
31504,Khpob Ta Nguon,4.545454545
31506,Ou Mlu,0
31507,Peam Kaoh Sna,0
31510,Preaek Kak,0
31512,Soupheas,0
31513,Tuol Preah Khleang,0
31514,Tuol Sambuor,2.272727273
31602,Boeng Pruol,0
31605,Chirou Muoy,0
31606,Chirou Pir,0
31608,Chob,0
31612,Kor,0
31615,Peam Chileang,0
31616,Roka Po Pram,0
31621,Thma Pechr,0
31622,Tonle Bet,0
31623,Vihear Luong,0
40101,Anhchanh Rung,0
40102,Chhnok Tru,0
40104,Khon Rang,0
40105,Kampong Preah Kokir,100
40106,Melum,0
40107,Phsar,0
40108,Pech Changvar,0
40111,Trapeang Chan,0
40202,Kaoh,0
40204,Peam Chhkaok,0
40401,Chranouk,1.818181818
40402,Dar,0
40404,Phlov Tuk,29.77099237
40405,Pou,0
40406,Pralay Meas,28.57142857
40406,Pralay Meas,0
40407,Samraong Saen,59.25925926
40408,Svay Rumpear,0
40409,Trangel,0
40504,Kampong Tralach,0
40506,Ou Ruessei,0
40602,Banteay Preal,0
40603,Cheung Kreav,0
40604,Chrey Bak,0
40605,Kouk Banteay,0
40607,Pongro,0
40608,Prasneb,0
40611,Srae Thmei,0
40612,Svay Chrum,0
40701,Chhean Laeung,0
40703,Krang Lvea,0
40704,Peam,0
40707,Svay Chuk,0
40802,Chieb,0
40803,Chaong Maong,0
40804,Kbal Tuek,0
40805,Khlong Popok,0
40806,Krang Skear,0
40808,Tuol Khpos,0
50102,Kat Phluk,0
50104,Pheakdei,0
50110,Svay Chacheb,0
50112,Tuol Sala,0
50115,Preah Khae,0
50311,Srang,0
50401,Haong Samnam,0
50402,Reaksmei Sameakki,0
50403,Trapeang Chour,0.022660322
50404,Sangkae Satob,0
50405,Ta Sal,0
50406,NA,0
50600,NA,0
50601,Chambak,0
50602,Choam Sangkae,0
50603,Dambouk Rung,0
50604,Kiri Voan,0
50605,Krang Dei Vay,0
50606,Moha Sang,0
50607,Ou,0
50608,Prey Rumduol,0
50609,Prey Kmeng,0
50610,Tang Samraong,0
50611,Tang Sya,0
50613,Traeng Trayueng,0
50704,Krang Ampil,0
50710,Skuh,0
50712,Thommoda Ar,0
50714,Tumpoar Meas,0
50801,Amleang,0
50804,Prambei Mom,0
50806,Toap Mean,0
50808,Yea Angk,0
60101,Bak Sna,0
60102,Ballangk,0
60103,Baray,0
60104,Boeng,0
60105,Chaeung Daeung,0
60108,Chong Doung,0
60109,Chrolong,0
60110,Kokir Thum,0
60112,Andoung Pou,0
60113,Pongro,0
60115,Sralau,1.818181818
60118,Treal,7.567567568
60201,Chey,0
60202,Damrei Slab,0
60203,Kampong Kou,0
60205,Ni Pechr,0
