year	gdp	fdi	ind_gdp	agr_gdp	dev_agri	dev_env	armi	rice_med	rice_min	rice_max	rub_med	rub_min	rub_max	corn_med	corn_min	corn_max	sug_med	sug_min	sug_max	prod_rice	prod_rub	prod_cass	prod_corn	prod_sug
X93	462	54.1	8	66.4	26.32	0.2	72.7	219.6	184.8	320.5	820	800	910	101	93	122	220.83	180.00	260.00	130.2	346.3	193.9	159.9	1965.8
X94	313	68.9	14	44	16.5	1.4	76.5	261.3	213.8	356	1150	810	1470	106	95	127	268.33	230.00	320.00	149.3	371.1	211.5	153.2	2097.4
X95	347	150.7	15.2	44.4	24.21	0.1	75.1	332.8	276.8	382.6	1625	1300	1840	123	107	149	293.33	260.00	330.00	212.2	477.4	208.1	191.8	2722.3
X96	334	293.7	15	43	60.23	1.47	73.3	333.9	312.8	369.2	1405	1240	1560	175	118	204	263.33	240.00	280.00	179.1	415.7	171.5	152.4	2382.7
X97	301	168.1	16.8	42	38.04	0.43	68.1	312.3	252.5	356	1025	730	1230	118	106	128	250.00	240.00	270.00	173.1	344.8	132.4	135.8	1976
X98	247	242.8	17	41.9	3.6	0.86	52.4	305.1	270.0	325.5	710	650	820	102	86	115	196.67	160.00	250.00	157.6	234.6	186.9	157.6	1340.6
X99	273	232.2	18.3	38.5	50.51	5.01	56.1	244.4	217.0	299.75	620	540	740	90	84	97	138.33	120.00	180.00	110.3	232.9	174.5	186.3	1336.6
X00	297	148.5	21.7	36.3	46.12	2.46	56.6	192.5	179.0	241.4	660	620	740	91	75	98	179.17	110.00	240.00	96.3	212.5	163.8	162.7	1213.5
X01	311	149.4	22.5	34.4	13.56	19.52	48.2	171.8	163.8	184.5	585	490	620	90	83	95	190.00	150.00	230.00	105.2	209.3	180.8	122.6	1197.2
X02	329	145.1	24.7	31.5	1.98	7.32	50.6	190.3	186.3	202.67	830	570	890	96	87	114	151.67	130.00	180.00	120.1	209.4	196.3	74.1	1198.7
X03	349	84.0	25.5	32	37.59	11.86	56.4	197.8	193.4	203.4	1040	910	1300	106	97	111	155.83	130.00	200.00	105.2	208.4	163.6	96.6	1192.7
X04	378	131.4	26.9	28.8	66.03	4.23	59.6	236.5	212.8	278.25	1275	1180	1370	110	94	134	158.33	130.00	190.00	133.5	218.8	249.2	124.5	1253.8
X05	416	381.2	26.8	29.4	90.45	9.8	64.2	285.8	276.8	297.25	1530	1180	1700	97	94	108	218.33	190.00	290.00	146.9	228.5	263.4	135.4	1309.9
X06	456	483.2	28.6	28	38.2	38.86	74.5	304.3	291.3	315.4	2065	1620	2700	112	121	165	327.50	260.00	400.00	136.5	244.5	233.9	148.7	1401.4
X07	503	867.3	28.2	26.7	28.85	35.23	81.3	324.1	313.0	360.67	2255	2080	2480	164	147	180	221.67	200.00	240.00	177.5	276.3	207.4	239.1	1583.7
X08	519	845.3	27.5	26.5	24.28	3.1	90.0	646.5	375.6	907	2810	1200	3220	234	158	287	282.50	260.00	320.00	247.9	345.6	178.3	260	1980.7
X09	502	928.4	26.7	28	54.64	11.88	82.8	560.8	493.0	591	1720	1430	2800	166	15	180	400.00	280.00	520.00	214.8	329.9	95.7	201	2597.8
X10	536	1342.5	26.6	27.3	56.05	40.23	100.0	481.3	440.0	568.8	3550	3090	4750	166	153	250	469.17	340.00	620.00	244.2	343.2	142.7	263.3	2864.1
X11	570	1373.5	28.4	26.3	120.18	66.03	122.0	531.1	481.4	615.25	4830	3370	6260	294	259	319	573.33	480.00	650.00	268.3	399.6	198.3	304.1	2282.4
X12	599	1835.0	29	25.6	117.05	88.17	101.3	558.8	537.5	600.5	3200	2790	4000	295	267	333	475.00	430.00	530.00	268.3	409.7	173.3	313.9	3688.6
X13	637	1872.4	29.9	24.2	153.24	49.22	95.4	516.6	438.0	564.2	2725	2490	3300	280	197	309	390.00	360.00	420.00	270.2	412.5	174.5	316.1	3714.3
X14	674	1720.1	30.7	22.7	242.22	40.92	91.9	422.0	388.0	459	2010	1610	2340	190	163	222	374.17	340.00	400.00	269.3	411.3	174	315.1	3702.9
X15	714	1701.0	32.1	21.2	62.03	37.05	83.3	378.5	357.0	420	1650	1240	1840	169	163	180	295.00	250.00	340.00	265.4	405.3	171.5	310.6	3649.3
