CommCode,easting,northing
150506,385764,1376161
100210,615795,1381384
100207,608982,1381692
40102,435493,1384707
110501,732607,1380060
150302,431409,1385003
60105,521920,1378504
150505,387158,1385344
60706,490542,1378281
100208,612113,1384082
100307,596019,1380485
40609,452494,1343788
30613,548262,1342539
30602,555900,1342660
30904,559911,1342811
31305,524255,1340027
31306,521397,1341035
40807,451265,1337709
100504,644193,1330569
40205,486867,1345099
40605,471015,1345742
100104,630011,1336310
30407,603837,1334786
31313,527544,1343180
40201,484053,1341092
40610,463004,1342608
40601,469570,1342234
31615,564105,1336716
30310,512326,1338722
31616,578627,1332472
30610,541179,1336519
30612,555584,1338342
40805,441532,1334482
40613,468867,1337000
31301,527961,1336907
30903,561516,1340525
31011,612947,1332572
30307,505757,1339749
40603,461282,1337004
40802,425883,1334042
31315,533898,1336690
100502,675443,1331979
40202,479616,1335609
31621,567670,1329431
31309,521377,1335569
30402,593257,1330802
30309,510401,1334761
30302,499448,1329499
30303,505010,1328766
31304,524249,1332661
30609,542964,1331641
40508,472339,1334340
30603,553208,1336124
30614,547540,1335582
90701,329535,1314476
30607,556968,1333180
30110,491984,1335994
31310,516662,1335601
30112,499192,1336336
31307,520084,1329258
31312,516410,1331642
40801,454186,1328636
30105,491348,1329668
40509,472854,1328480
40502,465710,1327891
30304,510465,1328404
31308,534395,1329741
30301,501895,1328436
30308,507762,1329223
30104,495619,1332467
50403,410139,1316244
31602,561121,1331030
40501,482967,1325639
30611,550317,1330763
31303,527887,1330612
30203,539355,1360872
150405,359941,1336656
40409,471032,1360304
31507,571224,1361036
60115,496999,1358674
31508,575629,1359472
30206,528172,1357927
40602,450309,1356786
40408,477496,1360497
60118,502259,1364212
100105,620032,1362427
40612,458359,1361189
40806,428286,1350292
40608,442758,1359440
150406,377987,1336717
31505,545653,1361402
100108,617344,1355597
40204,481991,1351893
30911,563098,1354068
60109,508036,1356386
30910,571741,1354031
30207,532939,1352485
30907,576191,1352282
100304,598073,1356347
40304,463414,1357351
40301,465257,1357209
110104,714130,1346619
60112,516218,1358392
40403,472458,1354444
31512,545777,1355059
40607,456302,1354793
30905,567108,1356009
100103,602734,1352945
60114,510627,1353215
100107,598342,1352759
30111,493451,1347065
30909,583677,1351912
100106,593717,1352584
100102,620309,1347748
30902,588625,1352727
60106,518012,1354703
60113,505428,1352752
100101,606083,1352236
150601,308223,1338936
40611,460689,1351993
30906,579854,1351695
40302,466667,1352825
31513,551605,1350500
31509,557004,1347413
40604,460365,1347852
30306,512977,1345784
30405,594881,1342377
31302,518948,1344061
30912,570748,1344620
100503,651592,1340928
30201,536891,1345197
40203,473626,1349375
40303,463798,1353508
60116,518861,1350704
40606,451619,1349876
30908,561904,1348251
30108,499988,1343996
30305,506176,1347133
30901,583628,1343741
50101,447937,1232645
200509,576264,1233315
140307,552695,1231477
80403,511105,1231761
90602,348535,1230578
200711,597354,1231670
