year,commGIS,MULTI,MUA,NP,PL,RMS,WS
2007,90105,NA,NA,NA,NA,NA,WS
2007,50406,MULTI,NA,NA,NA,NA,NA
2007,120516,NA,NA,NA,NA,NA,NA
2007,50600,NA,NA,NP,NA,NA,NA
2007,90607,NA,MUA,NA,NA,NA,NA
2007,70700,NA,NA,NP,NA,NA,NA
2007,230200,NA,NA,NA,NA,NA,NA
2007,230200,NA,NA,NA,NA,NA,NA
2007,230200,NA,NA,NA,NA,NA,NA
2007,230200,NA,NA,NA,NA,NA,NA
2007,230200,NA,NA,NA,NA,NA,NA
2007,230200,NA,NA,NA,NA,NA,NA
2007,230200,NA,NA,NA,NA,NA,NA
2007,230200,NA,NA,NA,NA,NA,NA
2007,230200,NA,NA,NA,NA,NA,NA
2007,230200,NA,NA,NA,NA,NA,NA
2007,230200,NA,NA,NA,NA,NA,NA
2007,230200,NA,NA,NA,NA,NA,NA
2007,230200,NA,NA,NA,NA,NA,NA
2007,160900,NA,NA,NP,NA,NA,NA
2007,160800,NA,NA,NP,NA,NA,NA
2007,21202,NA,NA,NA,NA,NA,NA
2007,21203,NA,NA,NA,NA,NA,NA
2007,21204,NA,NA,NA,NA,NA,WS
2007,21205,NA,NA,NA,NA,NA,WS
2007,21206,NA,NA,NA,NA,NA,WS
2007,99,NA,NA,NA,NA,NA,NA
2007,21100,NA,NA,NA,NA,NA,WS
2007,21000,NA,NA,NA,NA,NA,WS
2007,20900,MULTI,NA,NA,NA,NA,NA
2007,21201,NA,NA,NA,NA,NA,NA
2007,150605,NA,NA,NA,NA,NA,WS
2007,150604,MULTI,NA,NA,NA,NA,NA
2007,150603,NA,NA,NA,NA,NA,WS
2007,150602,NA,NA,NA,NA,NA,WS
2007,150601,MULTI,NA,NA,NA,NA,NA
2007,60309,NA,NA,NA,NA,NA,NA
2007,160603,NA,NA,NA,NA,NA,NA
2007,40801,NA,NA,NA,NA,NA,NA
2007,80601,NA,NA,NA,NA,NA,NA
2007,50801,NA,NA,NA,NA,NA,WS
2007,30601,NA,NA,NA,NA,NA,NA
2007,200401,NA,NA,NA,NA,NA,NA
2007,220201,NA,NA,NA,PL,NA,NA
2007,170901,NA,NA,NA,PL,NA,NA
2007,141201,NA,NA,NA,NA,NA,NA
2007,20405,NA,NA,NA,NA,NA,WS
2007,31101,NA,NA,NA,NA,NA,NA
2007,40501,NA,NA,NA,NA,NA,NA
2007,80101,NA,NA,NA,NA,NA,NA
2007,20702,NA,NA,NA,NA,NA,NA
2007,70804,NA,NA,NP,NA,NA,NA
2007,60112,NA,NA,NA,NA,NA,NA
2007,200402,NA,NA,NA,NA,NA,NA
2007,40601,NA,NA,NA,NA,NA,NA
2007,180201,NA,NA,NA,NA,NA,NA
2007,200403,NA,NA,NA,NA,NA,NA
2007,90101,MULTI,NA,NA,NA,NA,NA
2007,211006,NA,NA,NA,NA,NA,NA
