"","year","commGIS","ForPix","khum_name","area","diffPix"
"1",2007,120111,0,"Boeng Trabaek",491757,0
"2",2007,80205,8,"Kbal Kaoh",31754622.31,0
"3",2007,141105,0,"Preaek Anteah",27025827.12,0
"4",2007,80208,9,"Phum Thum",15385072.34,0
"5",2007,80614,0,"Thma Kor",11525247.66,0
"6",2007,120109,0,"Tuol Tumpung Pir",454395.4,0
"7",2007,120602,0,"Boeng Tumpun",4426859.27,0
"8",2007,120110,0,"Tuol Tumpung Muoy",589171.29,0
"9",2007,80803,0,"Chhak Chheu Neang",7593082.48,0
"10",2007,141108,0,"Ta Kao",33845916.65,0
"11",2007,80209,0,"Preaek Aeng",8558066.07,0
"12",2007,80804,0,"Damnak Ampil",8206122.37,0
"13",2007,120108,0,"Tumnob Tuek",822726.96,0
"14",2007,120605,0,"Chbar Ampov Pir",1319784.28,0
"15",2007,120104,0,"Boeng Keng kang Bei",640675.11,0
"16",2007,120601,0,"Stueng Mean Chey",12002391.36,0
"17",2007,80615,0,"Tuek Khleang",11748914.92,0
"18",2007,80206,10,"Kokir",15649346.76,0
"19",2007,141102,0,"Cheung Tuek",20994007.55,0
"20",2007,120501,2,"Dangkao",13834963.3,0
"21",2007,120606,0,"Chak Angrae Leu",3093830.95,0
"22",2007,141004,2,"Damrei Puon",63637951.14,0
"23",2007,50711,0,"Tang Krouch",40301363.98,0
"24",2007,120603,0,"Preaek Pra",8391888.43,0
"25",2007,120604,0,"Chbar Ampov Muoy",485278.41,0
"26",2007,80608,0,"Phum Thum",24611381.45,0
"27",2007,80811,0,"Peuk",14334800.77,0
"28",2007,50605,1102,"Krang Dei Vay",247416315.1,0
"29",2007,140207,0,"Smaong Tboung",70222355.41,0
"30",2007,80801,0,"Baek Chan",13527075.89,0
"31",2007,120112,0,"Phsar Daeum Thkov",861843.38,0
"32",2007,80806,0,"Kantaok",16525381.67,0
"33",2007,80807,0,"Krang Mkak",13013174.16,0
"34",2007,120507,0,"Pong Tuek",11138473.38,0
"35",2007,200409,13,"Kokir",49016304.18,0
"36",2007,120508,0,"Prey Veaeng",9066597.04,0
"37",2007,200413,0,"Sambuor",27506268,0
"38",2007,90302,109,"Kaoh Kapi",58451462.13,0
"39",2007,90302,109,"Kaoh Kapi",153422.51,0
"40",2007,80813,0,"Prey Puok",16306704.21,0
"41",2007,120515,2,"Cheung Aek",13244791.14,0
"42",2007,80203,15,"Dei Edth",20678571.57,0
"43",2007,141006,0,"Pean Roung",60494067.96,0
"44",2007,50713,0,"Trapeang Kong",29988708.83,0
