commGIS,elc_06,elc_07,elc_08,elc_09,elc_10,elc_11,elc_12
90105,1,1,1,1,1,1,1
50406,0,0,0,0,1,1,1
120516,0,0,0,0,0,0,0
50600,0,0,0,0,1,1,1
90607,0,0,0,0,0,0,0
70700,0,0,0,0,0,1,1
230200,0,0,0,0,0,0,0
230200,0,0,0,0,0,0,0
230200,0,0,0,0,0,0,0
230200,0,0,0,0,0,0,0
230200,0,0,0,0,0,0,0
230200,0,0,0,0,0,0,0
230200,0,0,0,0,0,0,0
230200,0,0,0,0,0,0,0
230200,0,0,0,0,0,0,0
230200,0,0,0,0,0,0,0
230200,0,0,0,0,0,0,0
230200,0,0,0,0,0,0,0
230200,0,0,0,0,0,0,0
160900,0,0,0,0,0,0,0
160800,0,0,0,0,0,1,1
21202,0,0,0,0,0,0,0
21203,0,0,0,0,0,0,0
21204,0,0,0,0,0,0,0
21205,0,0,0,0,0,0,0
21206,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0
21100,0,0,0,0,0,0,0
21000,0,0,0,0,0,1,1
20900,0,0,0,1,1,1,1
21201,0,0,0,0,0,0,0
150605,0,0,0,0,1,1,1
150604,0,0,0,0,1,1,1
150603,0,0,0,0,1,1,1
150602,0,0,0,0,0,0,0
150601,0,0,0,0,0,0,0
60309,0,0,0,0,0,0,0
160603,0,0,0,0,0,0,0
40801,0,0,0,0,0,0,0
80601,0,0,0,0,0,0,0
50801,1,1,1,1,1,1,1
30601,0,0,0,0,0,0,0
200401,0,0,0,0,1,1,1
220201,0,0,0,0,0,0,0
170901,0,0,0,0,0,0,0
141201,0,0,0,0,0,0,0
20405,0,0,0,0,0,0,0
31101,0,0,0,0,0,0,0
40501,0,0,0,0,0,0,0
80101,0,0,0,0,0,0,0
20702,0,0,0,0,0,0,0
70804,0,0,0,0,0,1,1
60112,0,0,0,0,0,0,0
200402,0,0,0,0,0,0,0
40601,0,0,0,0,0,0,0
180201,0,0,0,0,0,0,0
200403,0,0,0,0,0,0,0
90101,1,1,1,1,1,1,1
211006,0,0,0,0,0,0,0
211002,0,0,0,0,0,0,0
70101,0,0,0,0,0,0,0
50301,0,0,0,0,0,0,0
210401,0,0,0,0,0,0,0
200404,0,0,0,0,0,0,0
210901,0,0,0,0,0,0,0
200501,0,0,0,0,0,0,0
211001,0,0,0,0,0,0,0
210601,0,0,0,0,0,0,0
230101,0,0,0,0,0,0,0
140601,0,0,0,0,0,0,0
30701,0,0,0,0,0,0,0
210101,0,0,0,0,0,0,0
70102,0,0,0,0,0,0,0
70509,0,0,0,0,0,0,0
140901,0,0,0,0,0,0,0
140501,0,0,0,0,0,0,0
141001,0,0,0,0,0,0,0
31601,0,0,0,0,0,0,0
