"","CommCode","Commune","perc_change_dir","perc_change"
"1","190303","Santepheap",-0.0047524,0.0047524
"2","220502","Ph'av",-1.450068399,1.450068399
"3","220101","Anlong Veaeng",-1.124567474,1.124567474
"4","220105","Thlat",-0.695249131,0.695249131
"5","220106","Lumtong",-0.35626199,0.35626199
"6","160801","Ta Veaeng Leu",-0.211565585,0.211565585
"7","220506","Trapeang Prasat",-2.45142003,2.45142003
"8","160103","Nhang",-6.597479615,6.597479615
"9","220302","Chong Kal",-0.067842605,0.067842605
"10","160906","Kaoh Peak",-2.084884587,2.084884587
"11","160104","Ta Lav",-14.41922563,14.41922563
"12","160602","Chan",-17.64705882,17.64705882
"13","171403","Srae Nouy",-0.491668943,0.491668943
"14","160909","Phnum Kok",-10.4137931,10.4137931
"15","160607","L'ak",-15.49295775,15.49295775
"16","160604","Kalai",-4.071246819,4.071246819
"17","160605","Ou Chum",-18.56540084,18.56540084
"18","171401","Prasat",-0.574712644,0.574712644
"19","160606","Sameakki",-3.134796238,3.134796238
"20","190505","Anlong Chrey",-0.213642606,0.213642606
"21","190509","Sam'ang",-1.60971477,1.60971477
"22","160706","Saom Thum",-0.896860987,0.896860987
"23","190106","Srae Kor",-0.024467825,0.024467825
"24","160404","Toen",-0.160965795,0.160965795
"25","190504","Kaoh Snaeng",-0.707338638,0.707338638
"26","170302","Khun Ream",-0.361794501,0.361794501
"27","170103","Kouk Doung",-1.772151899,1.772151899
"28","190103","Phluk",-0.595770033,0.595770033
"29","170201","Chob Ta Trav",-0.722021661,0.722021661
"30","170203","Peak Snaeng",-2.797202797,2.797202797
"31","160704","Pate",-0.74906367,0.74906367
"32","190510","Srae Ruessei",-2.279005525,2.279005525
"33","171303","Khnang Phnum",-0.3125,0.3125
"34","190506","Ou Rai",-0.087873462,0.087873462
"35","190102","Kbal Romeas",-1.713475908,1.713475908
"36","190501","Anlong Phe",-0.037133309,0.037133309
"37","190101","Kampun",-5.711206897,5.711206897
"38","190401","Stueng Traeng",-45.97701149,45.97701149
"39","190206","Siem Bouk",-0.01770695,0.01770695
"40","190202","Kaoh Sampeay",-6.363636364,6.363636364
"41","60602","Dang Kambet",-1.748841129,1.748841129
"42","190207","Srae Krasang",-27.67295597,27.67295597
"43","110203","Roya",-0.170419963,0.170419963
"44","130507","Rotanak",-6.839186691,6.839186691
"45","100406","Roluos Mean Chey",-3.597831444,3.597831444
"46","170704","Kaev Poar",-2.857142857,2.857142857
"47","100405","Ou Krieng",-3.600705614,3.600705614
"48","171008","Sambuor",-2.5,2.5
"49","130512","Romoniy",-3.023407022,3.023407022
"50","171006","Chreav",-4.054054054,4.054054054
"51","20507","Kaoh Chiveang",-1.470588235,1.470588235
"52","130504","Rung Roeang",-0.528479154,0.528479154
"53","60404","Sa Kream",-1.28606187,1.28606187
"54","60604","Mean Ritth",-0.356076269,0.356076269
"55","60808","Popok",-2.769230769,2.769230769
"56","60607","Sandan",-0.706090026,0.706090026
"57","100401","Boeng Char",-0.017352074,0.017352074
"58","60402","Kraya",-0.79006772,0.79006772
"59","60606","Ngan",-2.644836272,2.644836272
"60","171104","Kampong Khleang",-56.96202532,56.96202532
"61","60809","Pralay",-3.125,3.125
"62","60405","Sala Visai",-0.933908046,0.933908046
"63","170412","Spean Tnaot",-16.66666667,16.66666667
"64","170401","Anlong Samnar",-59.16666667,59.16666667
"65","60608","Sochet",-1.034126163,1.034126163
"66","60609","Tum Ring",-4.66007022,4.66007022
"67","60603","Klaeng",-0.502512563,0.502512563
"68","60806","Msar Krang",-49.49494949,49.49494949
"69","60502","Koul",-6.231884058,6.231884058
"70","150104","Me Tuek",-15.51724138,15.51724138
"71","60812","Samprouch",-24.94004796,24.94004796
"72","60802","Chamnar Kraom",-4.851330203,4.851330203
"73","240101","Pailin",-0.111234705,0.111234705
"74","60807","Peam Bang",-42.30769231,42.30769231
"75","240102","Ou Tavau",-0.666666667,0.666666667
"76","150101","Boeng Bat Kandaol",-56.25,56.25
"77","150107","Snam Preah",-11.11111111,11.11111111
"78","150206","Srae Sdok",-4.891304348,4.891304348
"79","60701","Boeng Lvea",-1.881134133,1.881134133
"80","60705","Kraya",-8.439432521,8.439432521
"81","150208","Sya",-1.34529148,1.34529148
"82","21306","Chhnal Moan",-0.255754476,0.255754476
"83","60206","Phat Sanday",-25.98425197,25.98425197
"84","100302","Chrouy Banteay",-0.414078675,0.414078675
"85","110404","Bu Sra",-0.038328862,0.038328862
"86","150306","Kampong Pou",-3.448275862,3.448275862
"87","150308","Ou Sandan",-1.290322581,1.290322581
"88","150309","Sna Ansa",-7.829181495,7.829181495
"89","40404","Phlov Tuk",-29.77099237,29.77099237
"90","150301","Anlong Tnaot",-3.902439024,3.902439024
"91","150307","Kbal Trach",-2.040816327,2.040816327
"92","150602","Krapeu Pir",-0.257400257,0.257400257
"93","40401","Chranouk",-1.818181818,1.818181818
"94","110301","Dak Dam",-1.843733883,1.843733883
"95","100307","Saob",-18.92976589,18.92976589
"96","100505","Svay Chreah",-1.912803722,1.912803722
"97","40406","Pralay Meas",-28.57142857,28.57142857
"98","150407","Samraong",-0.06351895,0.06351895
"99","31514","Tuol Sambuor",-2.272727273,2.272727273
"100","100301","Chambak",-9.058614565,9.058614565
"101","100305","Preaek Prasab",-8.93970894,8.93970894
"102","100306","Ruessei Kaev",-8.620689655,8.620689655
"103","40105","Kampong Preah Kokir",-100,100
"104","150603","Anlong Reab",-0.881750905,0.881750905
"105","150604","Pramaoy",-0.103722485,0.103722485
"106","31504","Khpob Ta Nguon",-4.545454545,4.545454545
"107","100501","Khsuem",-6.093017666,6.093017666
"108","150605","Thma Da",-0.128444652,0.128444652
"109","100308","Ta Mau",-13.10160428,13.10160428
"110","40407","Samraong Saen",-59.25925926,59.25925926
"111","60118","Treal",-7.567567568,7.567567568
"112","60115","Sralau",-1.818181818,1.818181818
"113","110104","Srae Khtum",-0.178810907,0.178810907
"114","100108","Preaek Saman",-11.65048544,11.65048544
"115","150601","Ou Saom",-0.585417775,0.585417775
"116","100102","Damrei Phong",-14.85875706,14.85875706
"117","100104","Kampong Damrei",-7.382550336,7.382550336
"118","100502","Pir Thnu",-8.523447402,8.523447402
"119","50403","Trapeang Chour",-0.022660322,0.022660322
"120","90501","Bak Khlang",-0.157955198,0.157955198
"121","90704","Ruessei Chrum",-0.152369343,0.152369343
"122","80613","Sarikakaev",-29.41176471,29.41176471
"123","90301","Chrouy Pras",-0.589390963,0.589390963
"124","90203","Preaek Khsach",-2.667167543,2.667167543
"125","70309","Trapeang Plang",-1.418988648,1.418988648
"126","90201","Kaoh Sdach",-2.301410542,2.301410542
"127","90804","Stueng Chhay",-0.381679389,0.381679389
"128","180303","Tumnob Rolok",-15.06024096,15.06024096
"129","180210","Samrong",-2.083333333,2.083333333
"130","180302","Ou Treh",-4.680851064,4.680851064
"131","180201","Andoung Thma",-18.14159292,18.14159292
"132","180208","Ream",-4.545454545,4.545454545
"133","180213","Tuol Toetueng",-13.28125,13.28125
"134","180207","Prey Nob",-6.25,6.25
"135","180206","Ou Oknha Heng",-11.15702479,11.15702479
