commGIS,Province,Commune,
10101,Banteay Meanchey,Paoy Paet, 
10102,Banteay Meanchey,Nimitt,
10201,Banteay Meanchey,Banteay Neang,
10202,Banteay Meanchey,Bat Trang,
10203,Banteay Meanchey,Chamnaom,
10204,Banteay Meanchey,Kouk Ballangk,
10205,Banteay Meanchey,Koy Maeng,
10206,Banteay Meanchey,Ou Prasat,
10207,Banteay Meanchey,Phnum Touch,
10208,Banteay Meanchey,Rohat Tuek,
10209,Banteay Meanchey,Ruessei Kraok,
10210,Banteay Meanchey,Sambuor,
10211,Banteay Meanchey,Soea,
10212,Banteay Meanchey,Srah Reang,
10213,Banteay Meanchey,Ta Lam,
10301,Banteay Meanchey,Nam Tau,
10302,Banteay Meanchey,Paoy Char,
10303,Banteay Meanchey,Ponley,
10304,Banteay Meanchey,Spean Sraeng,
10305,Banteay Meanchey,Srah Chik,
10306,Banteay Meanchey,Phnum Dei,
10401,Banteay Meanchey,Chhnuor Mean Chey,
10402,Banteay Meanchey,Chob Veari,
10403,Banteay Meanchey,Phnum Lieb,
10404,Banteay Meanchey,Prasat,
10405,Banteay Meanchey,Preah Netr Preah,
10406,Banteay Meanchey,Rohal,
10407,Banteay Meanchey,Tean Kam,
10408,Banteay Meanchey,Tuek Chour,
10409,Banteay Meanchey,Bos Sbov,
10501,Banteay Meanchey,Changha,
10502,Banteay Meanchey,Koub,
10503,Banteay Meanchey,Kuttasat,
10504,Banteay Meanchey,Ou Bei Choan,
10505,Banteay Meanchey,Samraong,
10506,Banteay Meanchey,Souphi,
10507,Banteay Meanchey,Soengh,
10601,Banteay Meanchey,Tuek Thla,
10602,Banteay Meanchey,Kampong Svay,
10603,Banteay Meanchey,Kaoh Pong Satv,
10604,Banteay Meanchey,Mkak,
10605,Banteay Meanchey,Ou Ambel,
10606,Banteay Meanchey,Phniet,
10607,Banteay Meanchey,Preah Ponlea,
10701,Banteay Meanchey,Banteay Chhmar,
10702,Banteay Meanchey,Kouk Romiet,
10703,Banteay Meanchey,Phum Thmei,
10704,Banteay Meanchey,Thma Puok,
10705,Banteay Meanchey,Kouk Kakthen,
10706,Banteay Meanchey,Kumru,
10801,Banteay Meanchey,Phkoam,
10802,Banteay Meanchey,Sarongk,
10803,Banteay Meanchey,Sla Kram,
10804,Banteay Meanchey,Svay Chek,
10805,Banteay Meanchey,Ta Baen,
10806,Banteay Meanchey,Ta Phou,
10807,Banteay Meanchey,Treas,
10808,Banteay Meanchey,Roluos,
10901,Banteay Meanchey,Boeng Beng,
10902,Banteay Meanchey,Malai,
10903,Banteay Meanchey,Ou Sampor,
10904,Banteay Meanchey,Ou Sralau,
10905,Banteay Meanchey,Tuol Pongro,
10906,Banteay Meanchey,Ta Kong,
20101,Battambang,Kantueu Muoy,
20102,Battambang,Kantueu Pir,
20103,Battambang,Bay Damram,
20104,Battambang,Chheu Teal,
20105,Battambang,Chaeng Mean Chey,
20106,Battambang,Phnum Sampov,
20107,Battambang,Snoeng,
20108,Battambang,Ta Kream,
20201,Battambang,Ta Pung,
20202,Battambang,Ta Meun,
