CODEKHUM,mean_elev,med_elev
50406,307.5640084,195
120516,6.523364486,5
90105,25.97652341,14
50600,432.029949,440
90607,14.62275608,5
70700,607.7521565,628
230200,20.78787879,8
230200,6.473684211,7
230200,17.8125,7
230200,11.125,6
230200,100,100
230200,21.36879433,10
230200,33,7
230200,25.75806452,23
230200,100,100
230200,100,100
230200,23.07142857,11.5
230200,100,100
230200,42.72395129,26
160900,559.9558184,516
160800,610.0913794,608
21202,92.17435067,91
21203,64.61850328,62
21204,93.45801752,93
21205,105.8785452,106
21206,52.91094244,51
99,4.844784741,5
21100,118.6286516,107
21000,102.9401374,102
20900,274.1323299,194
21201,88.02757634,85
150605,621.761147,600
150604,264.1457311,226
150603,567.1679854,540
150602,228.829316,179
150601,601.1013467,573
60309,9.939274448,10
160603,323.304797,322
40801,35.43974884,36
80601,11.44352398,12
50801,131.8548209,117
30601,27.5704142,26
200401,8.376151811,9
220201,87.63994188,71
170901,17.72353842,18
141201,16.03424704,16
20405,31.90661437,29
31101,19.72464168,17
40501,6.293885196,5
80101,5.039704025,5
20702,114.6430473,67
70804,55.21624976,13
60112,32.22277277,29
200402,7.947035867,8
40601,16.52016342,16
180201,67.09656477,21
200403,8.126114177,9
90101,52.6538504,32
211006,4.538881724,5
211002,4.706159225,5
70101,7.096301668,8
50301,19.29349128,19
210401,4.923529907,5
200404,6.120162091,6
210901,12.51612652,12
200501,5,5
211001,4.700130378,5
210601,4.663243136,5
230101,14.89955121,5
140601,5.131750699,5
30701,6.676045227,6
210101,4.864324494,5
70102,51.69450954,20
70509,19.62610679,19
140901,5,5
140501,4.840403055,5
141001,8.337098221,9
31601,15.02776084,15
40101,26.67209992,26
190505,116.336742,111
190501,99.8223543,99
80102,10.28982977,10
20205,16.94795583,17
170401,4.868244405,5
150301,29.64675298,19
220101,92.32770339,70
20801,8.533283656,9
150201,9.562726271,10
150302,5.593386405,6
150302,45.45074723,21
140301,5,5
31501,49.49514495,51
140701,4.630718144,5
210102,4.682491037,5
240104,462.8113341,460
80801,21.05706922,21
220501,77.35952415,78
150401,19.74683389,20
80301,5.876979937,5
80701,6.270613108,6
90501,300.9740863,306
60101,28.49777093,26
170902,11.95732729,12
170903,24.36730498,24
60102,23.30700128,21
210602,4.635298924,5
160901,116.8822415,107
70301,17.33129643,17
140702,4.619874715,5
220401,49.98240219,49
20209,13.33323524,13
140902,5,5
10701,77.94647497,66
80201,4.460114158,4
150202,12.83327628,13
200201,3.464525115,4
70201,5.933944307,5
70202,5.008059746,5
10201,9.077150064,9
40602,13.8797755,14
60801,10.42417553,10
160701,148.3731591,132
31401,8.80593537,9
141101,5.04892661,5
210801,4.58304073,5
60103,7.567279392,7
31301,32.53087296,31
80103,10.33143264,10
80602,5.652777778,5
200502,4.009494314,4
50101,36.65170395,37
10202,14.12884982,15
30101,6.22761752,5
200101,3.731638587,4
20401,20.53853837,20
200102,3.606715252,3
20103,14.6967363,15
220202,47.28097264,43
180203,56.31149452,51
60104,13.75912941,13
150101,8.563508556,9
10901,123.6351691,119
100401,78.74302125,70
140903,5,5
120407,5.819466248,6
120408,7.623338257,8
150303,11.03999147,11
120104,9.662698413,10
120102,11.1075,11
120103,10.44360902,10
150102,9.767172877,10
80104,4.688764643,5
30501,13.12778782,10
80603,4.509782309,5
60701,67.68903963,69
60701,15.9578202,16
171301,62.01922872,61
31302,24.33388659,20
70303,26.62210493,25
140101,4.527289211,5
90601,45.33578929,26
20207,7.955573381,7
120308,10.73793103,11
31602,8.904140283,9
120204,11.00649351,11
70601,6.229861881,5
70602,4.741483068,5
120410,5.804469274,6
180202,9.010972877,7
80802,13.73304891,13
120111,9.682291667,10
210701,11.3503537,11
210702,8.483652342,8
70701,112.9002727,20
