"","Province","year","areaKM","ForPix","diffPix","tot_pop","land_confl","Pax_migt_in","Pax_migt_out","prop_ind","pop_den","M6_24_sch","propPrimSec","propSecSec","Les1_R_Land","pig_fam","dist_sch","garbage","KM_Comm","crim_case","mean_elev","dist_border","dist_provCap","elc","PA"
"1","Banteay Meanchey",-1.33630620956212,5910.69179263,1563,0,-0.807796006836055,0.467655480888869,-0.818556355851862,-0.609447600784834,-0.408248290463863,-1.0058064458425,0.497042107346066,0.820340646849211,-0.718634652044638,-0.682190407042052,0.873136156021646,0.33445857864215,-0.388474230125459,-0.732596234089742,0.837411543215767,0.645497224367887,-0.645497224361981,0.645497224367794,"1","1"
"2","Banteay Meanchey",-0.801783725737273,5910.69179263,1563,0,0.504442917714957,0.555340883555532,-0.460428122710327,-0.638449804017936,-0.408248290463863,-0.138193064872813,0.644615649334523,0.651888960913105,-0.535773603064189,-0.669264066717931,0.647126685259433,0.731666181538827,-1.49311394580715,-0.615579898906725,0.359784679755362,0.645497224367887,-0.645497224361981,0.645497224367794,"1","1"
"3","Banteay Meanchey",-0.267261241912424,5910.69179263,1563,0,0.0572108215488193,0.837882736592557,-0.734967943163927,-0.631827811338339,2.04124145231932,-0.632670325687376,0.784345396906508,0.422140132948754,-0.679505716647058,-0.55450436991856,0.383109766760621,0.731666181538827,0.0338262554946157,-0.615579898906725,0.812600837791217,0.645497224367887,-0.645497224361981,0.645497224367794,"1","1"
"4","Banteay Meanchey",0.267261241912424,5910.69179263,1563,0,-0.410468150769044,0.555340883555532,-0.460428122710327,-0.638449804017936,-0.408248290463863,-0.615961991978678,0.644615649334523,0.651888960913105,-0.535773603064189,-0.669264066717931,0.647126685259433,0.731666181538827,-0.374869834774838,-0.615579898906725,0.359784679755362,0.645497224367887,-0.645497224361981,0.645497224367794,"1","1"
"5","Banteay Meanchey",0.801783725737273,5526.83907579,951,0,-1.03288492311649,-0.686868987555526,0.846985221566645,0.910140366417745,-0.408248290463863,0.79182140207511,-1.24889335983401,-1.10400837523266,1.68096661345325,1.19978819186238,-1.25536317454195,-1.06094609630429,1.04814567442675,1.28966796540495,-0.649967094777997,-1.29099482635798,1.29100122129992,-1.2909935522779,"1","1"
"6","Banteay Meanchey",1.33630620956212,5526.83916,951,0,1.68949534145778,-1.72935099703696,1.6273953228698,1.6080346537413,-0.408248290463863,1.60081042630626,-1.32172544308761,-1.44225032639151,0.788720961366828,1.3754347185341,-1.29513611875918,-1.46851102695436,1.17448608078608,1.28966796540495,-1.71961464573971,-1.29099407111355,1.290987676148,-1.29099534519331,"1","1"
"7","Battambang",-1.33630620956212,9048.5005671,6913,-52,-1.77653684483416,0.887153312568468,-0.819452135997529,-0.599251410005729,-0.215707203641362,-1.13253370162369,0.553140443259145,0.688922503262561,-0.764641004657429,-0.264081039861981,1.19583190724528,0.557591132531195,-0.425110781358179,0.399829190128968,0.934579724830643,0.645497224365103,-0.645497224367751,0.645497224367905,"0","1"
"8","Battambang",-0.801783725737273,9048.5005671,6861,-44,0.259779005851981,0.602430918710877,-0.514861474299399,-0.570518958703095,-0.31647468963566,-0.49195279612974,0.409810006654428,0.60728534452947,-0.718910731365632,-0.219145049363478,0.54749873254033,0.665069099944886,-1.45217032314244,0.697364666326069,0.282906723935792,0.645497224365103,-0.645497224367751,0.645497224367905,"0","1"
"9","Battambang",-0.267261241912424,9048.5005671,6817,-234,1.02136924682075,0.317708524853287,-0.651492894715414,-0.598824161659221,-0.584398093666807,-0.561969939758051,0.913854663610196,0.642394381837614,-0.339278295794076,-0.303387048714884,0.138646398987523,0.625077298088635,0.518463500270721,0.738561886107208,0.851879649132738,0.645497224365103,-0.645497224367751,0.645497224367905,"0","1"
"10","Battambang",0.267261241912424,9048.5005671,6583,-9,0.442824330079495,0.602430918710877,-0.514861474299399,-0.570518958703095,-0.31647468963566,-0.29294661241153,0.409810006654428,0.60728534452947,-0.718910731365632,-0.219145049363478,0.54749873254033,0.665069099944886,-0.637203623767265,0.697364666326069,0.282906723935792,0.645497224365103,-0.645497224367751,0.645497224367905,"0","1"
"11","Battambang",0.801783725737273,8466.56964547,6463,-13,-0.491289931854407,-0.713542096801644,0.89875159665859,0.500379021818104,-0.584398093666807,1.24074750963577,-0.469248042387951,-1.01375997856475,1.13610013442654,-0.952523536562855,-1.22095237259527,-0.898186827801127,0.850364168740563,-1.50497004114055,-0.689209487108028,-1.29098978707365,1.29099553403697,-1.29099450412992,"0","1"
"12","Battambang",1.33630620956212,8466.569587,6450,0,0.543854193936371,-1.69618157804187,1.60191638265315,1.83873446725304,2.0174527702463,1.23865554028723,-1.81736707779024,-1.53212759559436,1.40564062875623,1.95828172386667,-1.20852339871818,-1.61461980270847,1.1456570592566,-1.02815036774776,-1.66306333472694,-1.29099911038673,1.29099336343403,-1.29099439334169,"0","1"
"13","Kampong Cham",-1.33630620956212,8344.82228408,3076,-14,0.438440044661918,0.854664067528097,-0.658101624446681,-0.549829759119473,-0.750416671513016,-0.599005874533013,0.488515711728069,0.319781603758202,-1.08851980154676,-0.250479498764946,1.17986906929771,1.52975278739472,-0.465455509550484,-1.04269680134831,0.694768275836658,-0.64549722436789,0.645497224367395,-0.645497224367889,"1","0"
"14","Kampong Cham",-0.801783725737273,8344.82228408,3062,-4,0.53689829185691,0.742109537124924,-0.563176017837314,-0.316722756489987,1.15738273479366,-0.745199660030212,0.557296031528944,0.940076752701514,-0.501332176287805,-0.567786436601912,0.551451859430396,0.32879501589552,-1.31226339557527,0.990876714052911,0.494493261022511,-0.64549722436789,0.645497224367395,-0.645497224367889,"1","0"
