"","Province","year","land_confl.cat","Pax_migt_in.cat","Pax_migt_out.cat","pop_den.cat","M6_24_sch.cat","propPrimSec.cat","propSecSec.cat","Les1_R_Land.cat","pig_fam.cat","dist_sch.cat","crim_case.cat","mean_elev.cat","dist_border.cat","dist_provCap.cat","ForPix","areaKM","elc","PA"
"1","Banteay Meanchey",-1.33630620956212,"high","low","low","low","high","high","low","low","high","high","high","high","low","high",1563,5910.69179263,"1","1"
"2","Banteay Meanchey",-0.801783725737273,"high","low","low","low","high","high","low","low","high","high","high","high","low","high",1563,5910.69179263,"1","1"
"3","Banteay Meanchey",-0.267261241912424,"high","low","low","low","high","high","low","low","high","high","high","high","low","high",1563,5910.69179263,"1","1"
"4","Banteay Meanchey",0.267261241912424,"high","low","low","low","high","high","low","low","high","high","high","high","low","high",1563,5910.69179263,"1","1"
"5","Banteay Meanchey",0.801783725737273,"low","high","high","high","low","low","high","high","low","low","low","low","high","low",951,5526.83907579,"1","1"
"6","Banteay Meanchey",1.33630620956212,"low","high","high","high","low","low","high","high","low","low","low","low","high","low",951,5526.83916,"1","1"
"7","Battambang",-1.33630620956212,"high","low","low","low","high","high","low","low","high","high","high","high","low","high",6913,9048.5005671,"0","1"
"8","Battambang",-0.801783725737273,"high","low","low","low","high","high","low","low","high","high","high","high","low","high",6861,9048.5005671,"0","1"
"9","Battambang",-0.267261241912424,"high","low","low","low","high","high","low","low","high","high","high","high","low","high",6817,9048.5005671,"0","1"
"10","Battambang",0.267261241912424,"high","low","low","low","high","high","low","low","high","high","high","high","low","high",6583,9048.5005671,"0","1"
"11","Battambang",0.801783725737273,"low","high","high","high","low","low","high","low","low","low","low","low","high","low",6463,8466.56964547,"0","1"
"12","Battambang",1.33630620956212,"low","high","high","high","low","low","high","high","low","low","low","low","high","low",6450,8466.569587,"0","1"
"13","Kampong Cham",-1.33630620956212,"high","low","low","low","high","high","low","low","high","high","high","low","high","low",3076,8344.82228408,"1","0"
"14","Kampong Cham",-0.801783725737273,"high","low","low","low","high","high","low","low","high","high","high","low","high","low",3062,8344.82228408,"1","0"
"15","Kampong Cham",-0.267261241912424,"high","low","low","low","high","high","low","low","high","high","high","low","high","low",3058,8344.82228408,"1","0"
"16","Kampong Cham",0.267261241912424,"high","low","low","low","high","high","low","low","high","high","high","low","high","low",3087,8344.82228408,"1","0"
"17","Kampong Cham",0.801783725737273,"low","high","low","high","low","low","high","high","low","low","low","high","low","high",2804,7277.34456539,"1","0"
"18","Kampong Cham",1.33630620956212,"low","high","high","high","low","low","high","high","low","low","low","high","low","high",2802,7277.344266,"1","0"
"19","Kampong Chhnang",-1.33630620956212,"high","low","low","high","high","high","low","low","high","high","high","high","low","low",7452,5338.73622589,"0","1"
"20","Kampong Chhnang",-0.801783725737273,"high","low","low","high","high","high","low","low","high","high","high","high","low","low",7432,5338.73622589,"0","1"
"21","Kampong Chhnang",-0.267261241912424,"low","low","low","high","high","high","low","low","high","high","high","high","low","low",7432,5338.73622589,"0","1"
"22","Kampong Chhnang",0.267261241912424,"high","low","low","high","high","high","low","low","high","high","high","high","low","low",7340,5338.73622589,"0","1"
"23","Kampong Chhnang",0.801783725737273,"low","high","high","low","low","low","high","high","low","low","low","low","high","high",6780,4959.23054133,"0","1"
"24","Kampong Chhnang",1.33630620956212,"low","high","high","low","low","low","high","high","low","low","low","low","high","high",6780,4959.230602,"0","1"
"25","Kampong Speu",-1.33630620956212,"high","low","high","low","high","high","low","low","high","high","high","low","high","low",17977,5388.91547373,"1","1"
"26","Kampong Speu",-0.801783725737273,"high","low","high","low","high","high","low","low","high","high","high","low","high","low",17977,5388.91547373,"1","1"
"27","Kampong Speu",-0.267261241912424,"high","high","low","high","high","high","low","high","high","high","high","low","high","low",17977,5388.91547373,"1","1"
"28","Kampong Speu",0.267261241912424,"high","low","high","low","high","high","low","low","high","high","high","low","high","low",17977,5388.91547373,"1","1"
"29","Kampong Speu",0.801783725737273,"low","low","low","high","low","low","high","high","low","low","low","high","low","high",17542,4942.60128299,"1","1"
"30","Kampong Speu",1.33630620956212,"low","high","high","high","low","low","high","high","low","low","low","high","low","high",17542,4942.60138,"1","1"
"31","Kampong Thom",-1.33630620956212,"high","low","low","low","high","high","low","low","high","low","high","low","high","low",58332,11946.8648483,"1","1"
"32","Kampong Thom",-0.801783725737273,"high","low","low","low","high","high","low","low","high","high","high","low","high","low",57440,11946.8648483,"1","1"
"33","Kampong Thom",-0.267261241912424,"high","low","low","low","high","high","low","low","high","high","high","low","high","low",55976,11946.8648483,"1","1"
"34","Kampong Thom",0.267261241912424,"high","low","low","low","high","high","low","low","high","high","high","low","high","low",54185,11946.8648483,"1","1"
"35","Kampong Thom",0.801783725737273,"low","high","high","high","low","low","high","high","low","low","low","high","low","high",48517,10856.99272925,"1","1"
"36","Kampong Thom",1.33630620956212,"low","high","high","high","low","low","high","high","low","low","low","high","low","high",47816,10856.9926751,"1","1"
"37","Kampot",-1.33630620956212,"high","low","low","low","high","high","low","low","high","high","high","high","low","high",8235,3843.66840178,"1","1"
"38","Kampot",-0.801783725737273,"high","low","low","low","high","high","low","low","high","high","high","high","low","high",8188,3843.66840178,"1","1"
"39","Kampot",-0.267261241912424,"high","low","low","low","high","high","low","low","high","high","low","high","low","high",8164,3843.66840178,"1","1"
"40","Kampot",0.267261241912424,"high","low","low","low","high","high","low","low","high","high","high","high","low","high",8055,3843.66840178,"1","1"
"41","Kampot",0.801783725737273,"low","high","high","high","low","low","high","high","low","low","low","low","high","low",1693,2364.74373973,"1","1"
"42","Kampot",1.33630620956212,"low","high","high","high","low","low","high","high","low","low","low","low","high","low",1693,2364.743719,"1","1"
"43","Kandal",-1.33630620956212,"high","low","low","high","high","high","low","low","high","high","high","high","high","low",288,3244.98401399,"0","0"
"44","Kandal",-0.801783725737273,"high","low","low","low","high","high","high","low","high","high","high","high","high","low",288,3244.98401399,"0","0"
"45","Kandal",-0.267261241912424,"high","low","low","low","high","high","low","low","high","high","high","high","high","low",280,3244.98401399,"0","0"
"46","Kandal",0.267261241912424,"high","low","low","low","high","high","high","low","high","high","high","high","high","low",280,3244.98401399,"0","0"
"47","Kandal",0.801783725737273,"low","high","low","high","low","low","high","high","low","low","low","low","low","high",243,2883.4588345,"0","0"
