"","X","commGIS","tot_pop","family","male_18_60","fem_18_60","pop_over61","tot_ind","numPrimLivFarm","land_confl","Pax_migt_in","Pax_migt_out","prop_ind","F6_24_sch","M6_24_sch","F15_45_ill","M15_45_ill","propPrimLivFarm","propPrimSec","propSecSec","propTerSec","propQuatSec","Les1_R_Land","pig_fam","garbage","crim_case","dist_sch","KM_Comm","KM_Heal_cent","Province","Commune","year","diffPix","ForPix","areaKM","pop_den","mean_elev","dist_border","habitat","dist_provCap","elc","PA_cat","PA"
"1",1,10210,6735,1325,1880,1812,192,0,1325,15,6,14,0,0.461260260363636,0.445655283636364,0.141883110727273,0.120886330909091,1,1,0,0,0.0183281034545455,0.327223683818182,0.559667928090909,0,0.000215936090909091,13.33333333,5,3,"Banteay Meanchey","Sambuor",2007,0,7,76.6871351,87.8243787724964,5.171533798,64.61175323,"CP",32.08118134,0,"none",0
"2",2,10213,7538,1482,1995,2108,440,0,1092,3,24,8,0,0.5876904795,0.567657986,0.076394294,0.073367548,0.717296239,0.71954849125,0,0.0036675035,0.030571844625,0.294035755375,0.47318495775,0,0.000811144,3.4166666665,3.5,9,"Banteay Meanchey","Ta Lam",2007,0,2,36.96425237,203.926754004033,7.8823092,49.55689711,"CP",17.2138493,0,"none",0
"3",3,10301,10527,2185,2546,3021,476,0,2173,8,32,42,0,0.581547252294118,0.626475705117647,0.304469443470588,0.224931261411765,0.992227660117647,0.992227660117647,0,0,0.0204905794117647,0.223684366823529,0.727207601823529,0,0.00168503088235294,5,3,3,"Banteay Meanchey","Nam Tau",2007,0,189,185.9347758,56.6166278185815,20.33465557,50.30371138,"CP",33.93674394,0,"PL",1
"4",4,10302,10965,2204,2539,3036,711,0,2130,3,24,41,0,0.7121633815,0.744381053375,0.11087802125,0.089657126625,0.954878299,0.95618948775,0.00634057975,0.002001965875,0.15444613225,0.201299679,0.699051224875,0,0.000143184375,1.5416666665,0.5,1.25,"Banteay Meanchey","Paoy Char",2007,0,555,246.3298385,44.5134867410714,20.16063617,45.29170759,"CP",42.6128922,0,"PL",1
"5",5,10303,13264,2354,3576,3594,463,0,2352,10,37,97,0,0.661023596666667,0.627879525166667,0.042618637,0.0402608601666667,0.999376947,0.999376947,0,0,0.0521002,0.3625217905,0.787363465166667,0,0.000403225833333333,5.5833333335,2.75,2.75,"Banteay Meanchey","Ponley",2007,0,83,119.8673636,110.655641382606,22.9526679,40.62935794,"CP",36.81432717,0,"none",0
"6",6,10305,6824,1389,1803,1859,390,0,1198,48,3,156,0,0.683483974222222,0.744118686666667,0.0878025442222222,0.0740494968888889,0.868655247444444,0.878233791555556,0,0.00567814477777778,0.204637127333333,0.210008918777778,0.670871954111111,0,0.000788874666666667,0.966666667,0.5,0.8,"Banteay Meanchey","Srah Chik",2007,0,5,86.27055242,79.0999919274656,16.16756976,54.94245257,"CP",40.39790164,0,"none",0
"7",7,10402,12768,2383,3078,3334,591,0,2270,1,63,81,0,0.614677005,0.651935914090909,0.113197935454545,0.133141272545455,0.975520976363636,0.975520976363636,0.00109931481818182,0.0196095510909091,0.0698178729090909,0.285352858636364,0.650870389090909,0,0.000245857818181818,1.766666667,2.5,2.15,"Banteay Meanchey","Chob Veari",2007,0,2,83.9111205,152.160999923723,20.8112713,48.03700204,"CP",23.3876966,0,"none",0
"8",8,10403,15132,2795,3438,3736,749,0,2636,14,86,257,0,0.6281625634375,0.6528910365,0.0977739795625,0.090336571,0.9492186385,0.9880808179375,0.000246063,0.0060074735625,0.0238145659375,0.205131180875,0.84192811775,0,0.0002031471875,5.4166666665,6,6,"Banteay Meanchey","Phnum Lieb",2007,0,76,247.522101,61.1339348642649,8.953399117,67.39816957,"CP",36.73273659,0,"none",0
"9",9,10404,6955,1276,1628,1597,413,0,1242,5,52,8,0,0.748182641857143,0.755470640928571,0.089133898,0.0830276682857143,0.977700348428571,1,0,0,0.0286018091428571,0.317388185642857,0.781591000714286,0,0.000698233428571429,3.666666667,1.75,1.75,"Banteay Meanchey","Prasat",2007,0,81,194.7735354,35.7081365582688,6.195325135,77.03935827,"CP",44.19445763,0,"MUA",1
"10",10,10405,13569,2733,3148,3144,979,0,2668,1,84,64,0,0.704217665307692,0.708998729692308,0.0254370772307692,0.0345799344615385,0.963020092461539,0.993153673615385,0,0.00302406169230769,0.0333041167692308,0.301994191923077,0.726733326692308,0,7.41784615384615e-05,2.666666667,2.5,2.5,"Banteay Meanchey","Preah Netr Preah",2007,0,23,117.9517787,115.038536506614,10.51681225,53.08674895,"CP",22.23265923,0,"none",0
