"","commGIS","tot_pop","family","male_18_60","fem_18_60","pop_over61","tot_ind","numPrimLivFarm","land_confl","Pax_migt_in","Pax_migt_out","prop_ind","F6_24_sch","M6_24_sch","F15_45_ill","M15_45_ill","propPrimLivFarm","propPrimSec","propSecSec","propTerSec","propQuatSec","Les1_R_Land","Les1_F_Land","buff_fam","pig_fam","garbage","crim_case","inf_mort","U5_mort","dist_sch","KM_Comm","KM_Heal_cent","Province","Commune","year","diffPix","ForPix","areaKM","pop_den","mean_elev","dist_border","dist_provCap","elc","PA_cat","PA"
"1",10201,20145,3646,4918,5037,1412,0,3105,18,86,48,0,0.584260785263158,0.638392193631579,0.0338661644210526,0.0237292068421053,0.874152691210526,0.874152691210526,0.00699726194736842,0.008103208,0.0617098851578947,0.394088400684211,0.0201871376315789,0.200022875526316,0.335711692210526,0.000733030368421053,0.00120293926315789,6.59543684210526e-05,0.000115889473684211,3.166666667,3,3,"Banteay Meanchey","Banteay Neang","2007",0,0,52.5643799,383.244319410301,9.077150064,47.78257439,15.64152301,0,"none",0
"2",10202,7353,1512,2181,1743,471,0,1409,3,23,66,0,0.693095638,0.659283698454545,0.0451670836363636,0.0328276761818182,0.932330112272727,0.937173417090909,0.00741814218181818,0.00577737309090909,0.0675118567272727,0.263093298090909,0.018951419,0.0818658591818182,0.212046572727273,0,0.00132008463636364,0.000162482727272727,0.000167420090909091,2.666666667,1.5,2,"Banteay Meanchey","Bat Trang","2007",0,0,40.69176628,180.699946750997,14.12884982,37.27200075,6.958159848,0,"none",0
"3",10203,16835,3875,3882,4277,1447,0,3846,11,64,55,0,0.618245832578947,0.657054757578947,0.0997819018947368,0.101464157263158,0.993952834052632,0.993952834052632,0.00155561315789474,0,0.0306133622105263,0.352737532421053,0.0184978977368421,0.140125314210526,0.215248745894737,0,0.00145427078947368,9.48316842105263e-05,0.00109780963157895,4.666666667,3.3,3.5,"Banteay Meanchey","Chamnaom","2007",0,0,114.8297874,146.608300696027,15.3853924,34.42633299,17.12860488,0,"none",0
"4",10204,8191,1355,1715,2225,398,0,1328,0,0,9,0,0.59539844475,0.6734368965,0.080932461625,0.129723531125,0.9778804235,0.996431317125,0.000534188,0.00091240875,0.01365404825,0.119751748625,0.0154089945,0.155761010125,0.3006338025,0,0,0,0.000492772625,7.75,1.85,3,"Banteay Meanchey","Kouk Ballangk","2007",0,0,55.86646113,146.617484521522,5.822992619,55.89081199,23.30419264,0,"none",0
"5",10205,6372,1446,1798,1841,389,0,1306,8,72,108,0,0.574579698,0.593449484125,0.031509034875,0.031280906875,0.91329376425,0.942609126875,0.015567881125,0.01625481,0.055179102625,0.41277137275,0.035849567125,0.270127055625,0.349243037625,0,0.000647510875,0,0,3.316666667,1,0.75,"Banteay Meanchey","Koy Maeng","2007",0,0,20.33799471,313.305224573932,8.245245982,47.02944359,15.28340984,0,"none",0
"6",10206,14596,2702,4045,3709,1021,0,2481,12,95,89,0,0.657592894785714,0.683089120928571,0.076350088,0.0597135635714286,0.923311977785714,0.923946898428571,0.00156687385714286,0.0303733757857143,0.0964767897857143,0.349333696214286,0.168467307785714,0.223181738785714,0.165457290142857,0,0.000820842857142857,0,0.0005514105,2.133333333,2,2.5,"Banteay Meanchey","Ou Prasat","2007",0,0,38.90591127,375.161499205259,10.86140711,48.58706499,17.87552508,0,"none",0
"7",10207,10197,2278,2861,2779,608,0,2044,14,71,28,0,0.6974219532,0.6991842666,0.0746694726,0.083572101,0.9244119176,0.9304799768,0.0077068125,0.00674607,0.0597645571,0.3723374853,0.0204150719,0.1802434641,0.1344420385,0,0.0024047593,0,0.0001474926,2.25,1.25,1.75,"Banteay Meanchey","Phnum Touch","2007",0,0,47.61813231,214.141116111322,10.32907936,50.89414206,21.91780453,0,"none",0
"8",10208,11438,2310,2879,3024,755,0,2241,7,11,23,0,0.717663764384615,0.728979043307692,0.0160902638461538,0.0302555233846154,0.972187039153846,0.972589777769231,0.000805477230769231,0.016939018,0.0736355006153846,0.261075644307692,0,0.194505896076923,0.153339463384615,0,0.000346603846153846,7.35402307692308e-05,7.55629230769231e-05,3,2,4,"Banteay Meanchey","Rohat Tuek","2007",0,0,61.64826659,185.536441374255,14.22948692,37.77160338,11.69637886,0,"none",0
"9",10209,33023,4756,8234,8589,1868,0,2633,4,51,47,0,0.619114050411765,0.634014909647059,0.0127456722941176,0.0160418224705882,0.668402143588235,0.672159537294118,0.0107205195294118,0.0517387024705882,0.157830734117647,0.336782277352941,0.000993640705882353,0.0606416635294118,0.122778378647059,0.0708670836470588,0.00123514611764706,3.17621764705882e-05,0.000256962294117647,1.333333333,1.9,1.5,"Banteay Meanchey","Ruessei Kraok","2007",0,0,40.01592129,825.246525268743,11.11183306,41.69088726,9.144683366,0,"none",0
"10",10210,6735,1325,1880,1812,192,0,1325,15,6,14,0,0.461260260363636,0.445655283636364,0.141883110727273,0.120886330909091,1,1,0,0,0.0183281034545455,0.327223683818182,0,0.253562648909091,0.559667928090909,0,0.000215936090909091,0,0.000457394454545455,13.33333333,5,3,"Banteay Meanchey","Sambuor","2007",0,7,76.6871351,87.8243787724964,5.171533798,64.61175323,32.08118134,0,"none",0
"11",10211,15270,2951,3713,3795,1111,0,2727,9,16,46,0,0.787619743384615,0.794550281076923,0.0892147232307692,0.0748968975384615,0.922988554846154,0.922988554846154,0.000312695461538462,0.00443316138461538,0.0129959457692308,0.139964150846154,0.00531582238461538,0.242528074538462,0.208569518230769,0,0.000240058384615385,4.96919230769231e-05,4.96919230769231e-05,2.666666667,2.5,2,"Banteay Meanchey","Soea","2007",0,0,188.346363,81.0740369857845,18.99202759,31.69928251,24.35596079,0,"none",0
"12",10212,6170,1321,1617,1644,387,0,1310,14,21,0,0,0.616868626,0.586963598444444,0.0521983522222222,0.0618095577777778,0.989690949444444,0.989690949444444,0,0.00248868777777778,0.0289793492222222,0.482508215333333,0,0.350940241333333,0.521799047,0,0.001286137,0.000229095111111111,0.000395413222222222,3.833333333,3,2.5,"Banteay Meanchey","Srah Reang","2007",0,0,32.7789374,188.230628854979,7.355704698,50.57111089,17.98808604,0,"none",0
"13",10213,7538,1482,1995,2108,440,0,1092,3,24,8,0,0.5876904795,0.567657986,0.076394294,0.073367548,0.717296239,0.71954849125,0,0.0036675035,0.030571844625,0.294035755375,0.00122549025,0.234807597375,0.47318495775,0,0.000811144,0.00016778525,0.0007324645,3.4166666665,3.5,9,"Banteay Meanchey","Ta Lam","2007",0,2,36.96425237,203.926754004033,7.8823092,49.55689711,17.2138493,0,"none",0
"14",10301,10527,2185,2546,3021,476,0,2173,8,32,42,0,0.581547252294118,0.626475705117647,0.304469443470588,0.224931261411765,0.992227660117647,0.992227660117647,0,0,0.0204905794117647,0.223684366823529,0,0.725463140235294,0.727207601823529,0,0.00168503088235294,0.000451572117647059,0.000522446882352941,5,3,3,"Banteay Meanchey","Nam Tau","2007",0,189,185.9347758,56.6166278185815,20.33465557,50.30371138,33.93674394,0,"PL",1
"15",10302,10965,2204,2539,3036,711,0,2130,3,24,41,0,0.7121633815,0.744381053375,0.11087802125,0.089657126625,0.954878299,0.95618948775,0.00634057975,0.002001965875,0.15444613225,0.201299679,0,0.5867438775,0.699051224875,0,0.000143184375,0.000366683125,0.000510678875,1.5416666665,0.5,1.25,"Banteay Meanchey","Paoy Char","2007",0,555,246.3298385,44.5134867410714,20.16063617,45.29170759,42.6128922,0,"PL",1
"16",10303,13264,2354,3576,3594,463,0,2352,10,37,97,0,0.661023596666667,0.627879525166667,0.042618637,0.0402608601666667,0.999376947,0.999376947,0,0,0.0521002,0.3625217905,0,0.708505429833333,0.787363465166667,0,0.000403225833333333,0.000134408666666667,0.000134408666666667,5.5833333335,2.75,2.75,"Banteay Meanchey","Ponley","2007",0,83,119.8673636,110.655641382606,22.9526679,40.62935794,36.81432717,0,"none",0
"17",10304,4236,734,1082,989,160,0,702,1,18,50,0,0.573827933333333,0.541922219,0.214873668333333,0.129537318333333,0.961077781833333,0.961077781833333,0,0,0.0913294335,0.248199355166667,0,0.811932631333333,0.689079165666667,0,0.001218426,0.000344827666666667,0.0001149425,6.166666667,3,10,"Banteay Meanchey","Spean Sraeng","2007",0,0,64.66090846,65.5109880279588,14.59554731,63.22787926,49.02111287,0,"none",0
"18",10305,6824,1389,1803,1859,390,0,1198,48,3,156,0,0.683483974222222,0.744118686666667,0.0878025442222222,0.0740494968888889,0.868655247444444,0.878233791555556,0,0.00567814477777778,0.204637127333333,0.210008918777778,0,0.415784419888889,0.670871954111111,0,0.000788874666666667,0,0,0.966666667,0.5,0.8,"Banteay Meanchey","Srah Chik","2007",0,5,86.27055242,79.0999919274656,16.16756976,54.94245257,40.39790164,0,"none",0
"19",10306,8706,1724,2272,2275,416,0,1614,21,34,125,0,0.7075273539,0.6687691045,0.2528889284,0.1999543772,0.9236556081,0.9236556081,0.0015779093,0.0018285933,0.1018743232,0.2090989742,0.0029850746,0.5932257591,0.5389432883,0,0.0010641505,0.0001829442,0.0001960784,2.3166666665,1.75,2.75,"Banteay Meanchey","Phnum Dei","2007",0,0,59.39018979,146.589866622482,20.4812258,57.56887046,47.6139642,0,"none",0
"20",10401,5919,1088,1365,1563,325,0,1080,1,44,142,0,0.684463313083333,0.739199968666667,0.0646351784166667,0.0512979245,0.991071428583333,0.99323593075,0,0.00622294375,0.0400906116666667,0.277710877416667,0,0.667730185166667,0.836051962416667,0,0.00124238008333333,0,0,3.55,1.5,1.25,"Banteay Meanchey","Chhnuor Mean Chey","2007",0,0,49.39555709,119.828590843007,11.13835873,43.22648073,14.79963357,0,"none",0
"21",10402,12768,2383,3078,3334,591,0,2270,1,63,81,0,0.614677005,0.651935914090909,0.113197935454545,0.133141272545455,0.975520976363636,0.975520976363636,0.00109931481818182,0.0196095510909091,0.0698178729090909,0.285352858636364,0.0354004093636364,0.655388330636364,0.650870389090909,0,0.000245857818181818,0,0,1.766666667,2.5,2.15,"Banteay Meanchey","Chob Veari","2007",0,2,83.9111205,152.160999923723,20.8112713,48.03700204,23.3876966,0,"none",0
"22",10403,15132,2795,3438,3736,749,0,2636,14,86,257,0,0.6281625634375,0.6528910365,0.0977739795625,0.090336571,0.9492186385,0.9880808179375,0.000246063,0.0060074735625,0.0238145659375,0.205131180875,0.0009842519375,0.5700197395,0.84192811775,0,0.0002031471875,0,0,5.4166666665,6,6,"Banteay Meanchey","Phnum Lieb","2007",0,76,247.522101,61.1339348642649,8.953399117,67.39816957,36.73273659,0,"none",0
"23",10404,6955,1276,1628,1597,413,0,1242,5,52,8,0,0.748182641857143,0.755470640928571,0.089133898,0.0830276682857143,0.977700348428571,1,0,0,0.0286018091428571,0.317388185642857,0,0.502108919785714,0.781591000714286,0,0.000698233428571429,0,0,3.666666667,1.75,1.75,"Banteay Meanchey","Prasat","2007",0,81,194.7735354,35.7081365582688,6.195325135,77.03935827,44.19445763,0,"MUA",1
"24",10405,13569,2733,3148,3144,979,0,2668,1,84,64,0,0.704217665307692,0.708998729692308,0.0254370772307692,0.0345799344615385,0.963020092461539,0.993153673615385,0,0.00302406169230769,0.0333041167692308,0.301994191923077,0.0125099813846154,0.660591131307692,0.726733326692308,0,7.41784615384615e-05,0,0,2.666666667,2.5,2.5,"Banteay Meanchey","Preah Netr Preah","2007",0,23,117.9517787,115.038536506614,10.51681225,53.08674895,22.23265923,0,"none",0
"25",10406,8473,1726,1946,2049,432,0,1668,10,282,169,0,0.769030614181818,0.780491826090909,0.108043643909091,0.105532053363636,0.944739152454545,0.949068156818182,0,0.00532840363636364,0.0669214134545455,0.209232175,0,0.582216895181818,0.760125061545455,0,0.000616377818181818,0,0,2.666666667,2,2,"Banteay Meanchey","Rohal","2007",0,42,151.493588,55.9297598786821,12.97824724,58.34303225,29.48939468,0,"none",0
"26",10407,3724,757,1007,1026,148,0,677,1,10,35,0,0.598275082666667,0.681929171333333,0.202504602666667,0.111488561666667,0.928698752166667,0.928698752166667,0,0,0.0324132463333333,0.289887098,0.0187265918333333,0.732736910833333,0.842806500166667,0,0,0,0,5,2,11,"Banteay Meanchey","Tean Kam","2007",0,0,59.57450168,62.5099647497379,16.70619335,47.70795232,30.31063284,0,"none",0
"27",10408,13084,2228,3030,2951,940,0,2015,9,159,29,0,0.669296305722222,0.619282515111111,0.1612164615,0.123472079166667,0.936642288777778,0.936642288777778,0,0.0151588273888889,0.0376761529444444,0.2934611695,0,0.709189169944444,0.821007799666667,0,0.000411569888888889,0,3.95976666666667e-05,2.6666666665,4.75,3,"Banteay Meanchey","Tuek Chour","2007",0,0,76.12422135,171.876963310312,11.00128112,66.28579086,43.89494768,0,"none",0
"28",10501,5899,1391,1704,1761,412,0,1376,2,36,35,0,0.629610714166667,0.661236105666667,0.0867144263333333,0.0909861686666667,0.991913015,0.991913015,0,0.004305547,0.0519563461666667,0.1280857235,0.0140281596666667,0.483679785833333,0.260809765333333,0,0.00210055216666667,0,0.000838223,6.0666666665,0.5,16.5,"Banteay Meanchey","Changha","2007",0,0,66.28616502,88.9929293423468,15.32633566,22.33107686,10.25844584,0,"none",0
