"","Province","year","areaKM","ForPix","diffPix","tot_pop","land_confl","Pax_migt_in","Pax_migt_out","prop_ind","pop_den","M6_24_sch","propPrimSec","propSecSec","Les1_R_Land","pig_fam","dist_sch","garbage","KM_Comm","crim_case","mean_elev","dist_border","dist_provCap"
"1","Banteay Meanchey",2007,5910.69179263,1563,0,591667,824,3457,3978,0,158.111936531491,0.649004984133715,0.915130462636626,0.00171376710025428,0.239332673918258,0.379436891260735,3.87527322402459,0.00697004526759463,2.48032786885246,0.00158085933214239,26.1634076032131,33.9373446611803,27.5401012875902
"2","Banteay Meanchey",2008,5910.69179263,1563,0,599240,842,5355,3159,0,162.031307621895,0.659194900719144,0.897579068495518,0.00259721459890756,0.239932583981116,0.35643216727883,3.88647540981967,0.00140804855974958,2.48852459016393,0.0013910021131989,26.1634076032131,33.9373446611803,27.5401012875902
"3","Banteay Meanchey",2009,5910.69179263,1563,0,596659,900,3900,3346,3.49614936247723e-06,159.797547835096,0.668843205239564,0.873640974847767,0.00190280878132685,0.245258569155128,0.329558796370369,3.88647540981967,0.00909638010545688,2.48852459016393,0.00157099704864811,26.1634076032131,33.9373446611803,27.5401012875902
"4","Banteay Meanchey",2010,5910.69179263,1563,0,593960,842,5355,3159,0,159.873026339166,0.659194900719144,0.897579068495518,0.00259721459890756,0.239932583981116,0.35643216727883,3.88647540981967,0.00703854506990862,2.48852459016393,0.0013910021131989,26.1634076032131,33.9373446611803,27.5401012875902
"5","Banteay Meanchey",2011,5526.83907579,951,0,590368,587,12284,46890,0,166.232570414016,0.528448571823038,0.714627820208776,0.0133068414459889,0.326675098089139,0.162784290685421,3.83591954017241,0.0142036030205069,2.62198275862069,0.000989624639689066,25.3025023538965,34.064744770431,27.1041030760862
"6","Banteay Meanchey",2012,5526.83916,951,0,606079,373,16420,66598,0,169.887110862069,0.523419534482759,0.679385562068965,0.00899617936724138,0.334826834482759,0.158735939965517,3.82442525344828,0.0148397424913793,2.62198275862069,0.000564438527241379,25.3025026896552,34.0647438793103,27.1041026724138
"7","Battambang",2007,9048.5005671,6913,-52,856194,1421,5656,4672,5.82954444444444e-06,471.287230648521,0.708956394908662,0.805554166424799,0.00353336290148513,0.235058565363891,0.176348709204243,4.91166666660667,0.0208196088283052,2.667,0.0026186447740088,27.32798119904,64.0955237748533,24.85030622064
"8","Battambang",2008,9048.5005671,6861,-44,872258,1339,9127,5210,4.2362625e-06,485.990968382163,0.703143612179116,0.798578499734822,0.00375258873660462,0.237819770431224,0.15149469192416,4.94033333325333,0.00271421582044444,2.71033333333333,0.00227823175840091,27.32798119904,64.0955237748533,24.85030622064
"9","Battambang",2009,9048.5005671,6817,-234,878266,1257,7570,4680,0,484.38381195908,0.723585202578738,0.801578468693422,0.005572504335962,0.232643308692852,0.135821233647482,4.92966666658667,0.0374532921796349,2.71633333333333,0.00257544491438493,27.32798119904,64.0955237748533,24.85030622064
"10","Battambang",2010,9048.5005671,6583,-9,873702,1339,9127,5210,4.2362625e-06,490.558907744186,0.703143612179116,0.798578499734822,0.00375258873660462,0.237819770431224,0.15149469192416,4.94033333325333,0.0170807562012222,2.71033333333333,0.00227823175840091,27.32798119904,64.0955237748533,24.85030622064
"11","Battambang",2011,8466.56964547,6463,-13,866333,960,25236,25262,0,525.762948234315,0.667493309516367,0.660064714606381,0.0126453041510552,0.192755482926637,0.0837006686643974,4.52337962969444,0.0433041623558457,2.38958333333333,0.00177042951637411,26.9442254587222,65.0901912121389,24.3327271134444
"12","Battambang",2012,8466.569587,6450,0,874499,677,33249,50322,4.11390833333333e-05,525.714929680556,0.612820183333333,0.615771652777778,0.01393745125,0.371617240416667,0.0841771365416667,4.33229167222222,0.0485096968138889,2.45902777777778,0.00126171958888889,26.9442236111111,65.0901900972222,24.3327271430556
"13","Kampong Cham",2007,8344.82228408,3076,-14,1653192,3005,9086,9420,0.00038323150364745,344.479466532424,0.688440140442361,0.828428945511402,0.00572643676763346,0.456056930903896,0.295778303286693,4.41697275335037,0.00579250832598706,2.56221656050955,0.00149902500345981,26.0249272535032,63.6043232786051,33.3938173404459
"14","Kampong Cham",2008,8344.82228408,3062,-4,1661592,2930,11656,10734,0.00169988514002257,342.214596257833,0.691593748041758,0.851003949913512,0.00710581699233579,0.432456501629127,0.242320502286802,4.03048973845547,0.00118299919882295,2.6859872611465,0.00146536665931244,26.0249272535032,63.6043232786051,33.3938173404459
"15","Kampong Cham",2009,8344.82228408,3058,29,1691814,2509,9389,8620,0.000674032568702972,347.867713039242,0.708740375394998,0.82632342648475,0.00731800303373799,0.393008628250653,0.208727095576676,3.92858634144273,0.00832412387912935,2.55685987261147,0.00152281745198143,26.0249272535032,63.6043232786051,33.3938173404459
"16","Kampong Cham",2010,8344.82228408,3087,-11,1668647,2930,11656,10734,0.00169988514002257,342.961324537211,0.691593748041758,0.851003949913512,0.00710581699233579,0.432456501629127,0.242320502286802,4.03048973845547,0.00531198374151717,2.6859872611465,0.00146536665931244,26.0249272535032,63.6043232786051,33.3938173404459
"17","Kampong Cham",2011,7277.34456539,2804,-2,1479499,1806,45512,11811,0.000934350597162997,364.589943522941,0.615975309548334,0.776542276169165,0.0114122569597789,0.565512872970103,0.0921208697247268,3.60648424585361,0.013942487433034,2.59675373134328,0.00121703410753641,26.5607900402015,63.0765161489627,33.9287948854925
"18","Kampong Cham",2012,7277.344266,2802,2,1539974,1433,74121,23797,1.53711343283582e-05,380.443438059702,0.599905573134328,0.76744238830597,0.0110327387522388,0.568630063880597,0.091192375461194,3.53505387844279,0.0154028942768657,2.66626865671642,0.00112396099544776,26.5607902014925,63.0765150723881,33.9287949253731
"19","Kampong Chhnang",2007,5338.73622589,7452,-20,475014,1461,5670,2416,0,210.092140954887,0.702076526104465,0.932570982854935,0.00690201526336345,0.451663336918903,0.430515453027247,5.72628824467089,0.00149008483215305,2.80086956521739,0.00220712288330027,29.2474405178841,137.105725663527,25.0579807401787
"20","Kampong Chhnang",2008,5338.73622589,7432,0,485870,1354,3355,3013,0,215.383277172591,0.711306065957125,0.891549043179059,0.00619283091836302,0.461893902072203,0.389954502326377,5.76938003213466,0.000472980979676423,2.83927536231884,0.00172491211579863,29.2474405178841,137.105725663527,25.0579807401787
"21","Kampong Chhnang",2009,5338.73622589,7432,-92,492693,1037,2661,2088,0,217.305777229852,0.709700222203729,0.900480527131901,0.00612504190051175,0.489507599751783,0.364062550429742,5.75034621574336,0.00296387101534365,2.74652173913043,0.00170643281190118,29.2474405178841,137.105725663527,25.0579807401787
