"","CommCode","Province","Commune.x","tot_pop","family","male_18_60","fem_18_60","pop_over61","numPrimLivFarm","Fish_man","ntfp_fam","land_confl","Pax_migt_in","Pax_migt_out","F6_24_sch","M6_24_sch","F18_60_ill","M18_60_ill","propPrimLivFarm","fam_prod","Cloth_craft","Trader","serv_prov","Les1_R_Land","No_R_Land","Les1_F_Land","No_F_Land","cow_fam","pig_fam","garbage","KM_Market","KM_Comm","wat_safe","wat_pipe","crim_case","KM_Heal_cent","inf_mort","U5_mort","Prop_Indigenous","dist_sch","Commune.y","perc_change_dir","perc_change"
"1","20507","Battambang","Kaoh Chiveang",10523,1989,4239,3848,472,26,1727,5,0,0,2,0.4348844936,0.4345361448,0.5181339016,0.5080739864,0.0095570554,0.0007239824,0,0.063731385,0.0297398572,0,0,0,0,0,0.0280959152,0,26.6,10,0,0,0.0002727654,10.1,0,7.05716e-05,0,2,"Kaoh Chiveang",-1.470588235,1.470588235
"2","21306","Battambang","Chhnal Moan",3774,793,1655,1605,289,746,0,0,6,103,10,0.51076974,0.606465947,0.331224968,0.345447810428571,0.928286165857143,0.000710732,0,0.00568585642857143,0.00115207371428571,0.0781630197142857,0.0602276511428571,0,0,0.807855524571429,0.14641107,0,9.85714285714286,3.7,0.3099618,0.208416337714286,0.000353606857142857,11.9285714285714,0.00137555114285714,0.00112492457142857,0,7,"Chhnal Moan",-0.255754476,0.255754476
"3","31504","Kampong Cham","Khpob Ta Nguon",8042,1859,3907,3769,521,1774,40,0,13,50,19,0.774837391166667,0.752502975333333,0.151502039166667,0.209637104333333,0.964067285166667,0.00151171583333333,0,0.0037792895,0.00123341283333333,0.238817145166667,0.0718304691666667,0.0678994296666667,0.0411975041666667,0.753789404833333,0.373787755166667,0,29.6666666666667,3.78333333333333,0,1,0,4.7,0,0.0009986685,0,2,"Khpob Ta Nguon",-4.545454545,4.545454545
"4","40105","Kampong Chhnang","Kampong Preah Kokir",1987,414,859,834,142,388,20,0,3,0,32,0.44762916675,0.53203564125,0.0988695685,0.11007063225,0.9407105475,0,0,0,0,0.18212560375,0.02962962975,0.27173913025,0.04166666675,0,0.104468599,0,20.5,7.5,0,0,0,10.75,0,0,0,15,"Kampong Preah Kokir",-100,100
"5","40401","Kampong Chhnang","Chranouk",6995,1603,2908,2725,263,1599,1,0,24,4,24,0.515126445,0.47409713275,0.189801715,0.212448753,0.99758914725,0,0,0,0.00058139525,0.6193043355,0.10791701125,0,0,0.749344242,0.781197616,0,6.375,1.325,0.1135943015,0.01362397825,0,1.25,0,0,0,4,"Chranouk",-1.818181818,1.818181818
"6","40404","Kampong Chhnang","Phlov Tuk",3138,608,1315,1224,91,192,396,0,1,12,18,0.562332078333333,0.474861916666667,0.664954144666667,0.342824074,0.270791618,0,0,0.029436993,0,0.005952381,0,0.0246789726666667,0.140285108,0,0.047968638,0,12,4.33333333333333,0,0,0.000475511333333333,13.3333333333333,0.00111264633333333,0.00111264633333333,0,36,"Phlov Tuk",-29.77099237,29.77099237
"7","40406","Kampong Chhnang","Pralay Meas",4421,843,1663,1734,328,737,105,0,0,11,54,0.464136329166667,0.5109432835,0.063005505,0.0600061258333333,0.773266168666667,0,0,0,0,0.014619883,0.014619883,0.1053268855,0.0809461068333333,0,0.103792844166667,0,11,3.83333333333333,0,0,0.000435592666666667,2.33333333333333,0,0.0018340315,0,17.5,"Pralay Meas",-28.57142857,28.57142857
"8","40407","Kampong Chhnang","Samraong Saen",1836,372,684,637,46,81,6,0,3,1,1,0.3527985665,0.448285891,0.1964507325,0.231896719,0.2095095695,0,0,0.0032894735,0,0.1073564595,0.062679426,0,0,0.0045454545,0.0662679425,0,34,0,0,0,0.001323919,10,0.0008826125,0,0,5.5,"Samraong Saen",-59.25925926,59.25925926
"9","50403","Kampong Speu","Trapeang Chour",9105,2076,3522,3460,502,2066,0,0,30,197,21,0.538224478956522,0.654114198652174,0.140448995652174,0.163158588695652,0.995276704565217,0,0,0.00277520813043478,0,0.564842889608696,0.0638450417826087,0,0,0.890349116956522,0.532719371565217,0,67.3913043478261,3.17,0.829471932826087,0.497543205869565,0.00108319560869565,20.7826086956522,0.000121666391304348,0.000130958608695652,0.18568855479287,6,"Trapeang Chour",-0.022660322,0.022660322
"10","60115","Kampong Thom","Sralau",10255,2063,4406,4402,748,1527,21,19,20,25,71,0.711496508857143,0.724435530928571,0.156625080285714,0.141963263,0.760498835142857,0.004486884,0.000626566428571429,0.0149485837142857,0.00684203164285714,0.278351453071429,0.0680752447857143,0.000686813214285714,0.00407162342857143,0.685376856142857,0.432600089428571,0,2.5,1.86428571428571,0.465768417857143,0.339875897928571,0.000243281142857143,1.96928571428571,0.000225441142857143,0.000967619214285714,0,1.75,"Sralau",-1.818181818,1.818181818
"11","60118","Kampong Thom","Treal",18018,3666,7596,7478,1366,2899,13,0,23,142,161,0.729065730772727,0.738594263272727,0.171327063454545,0.163150836409091,0.808122770090909,0.00155059154545455,0.000272182909090909,0.0504494088636364,0.0408401332727273,0.382375113227273,0.124323889909091,0,0,0.52572924,0.235830240181818,0,2.06818181818182,1.96454545454545,0.535648957136364,0.882012509863636,0.000171322636363636,2.18181818181818,5.0226e-05,0.000175101136363636,0,1.5,"Treal",-7.567567568,7.567567568
"12","60206","Kampong Thom","Phat Sanday",4828,933,1874,1786,237,74,788,0,12,13,87,0.3855034722,0.3642476176,0.339095747,0.339693351,0.0843642316,0,0,0.047325154,0.0053889674,0,0,0.0449859934,0,0,0.0839121214,0,9.8,3.9,0.3930450922,1,0.0006221002,6.1,0.0004188482,0.0006282722,0,0.5,"Phat Sanday",-25.98425197,25.98425197
"13","60402","Kampong Thom","Kraya1",6811,1307,2868,2803,321,1278,0,0,3,24,33,0.727384157,0.6968654395,0.523079855333333,0.434641338833333,0.982116718333333,0.001048218,0,0.00431546033333333,0.00784599133333333,0.481559576,0.117606146833333,0.0060103755,0.002620545,0.730523170833333,0.378012549166667,0,35.8333333333333,1.91666666666667,0.351190476166667,0.7634605575,0,13.5,0,0.0004208755,0.166666666666667,1.25,"Kraya",-0.79006772,0.79006772
"14","60404","Kampong Thom","Sa Kream",9031,1689,3559,3630,595,1681,0,0,6,0,15,0.493974488636364,0.511628723636364,0.380585479,0.434718566181818,0.996908867909091,0,0,0.002307433,0.000391849545454545,0.768217057272727,0.0834405041818182,0,0,0.761146058545455,0.600462784090909,0,50.4545454545455,4.59090909090909,0.00696998490909091,0.816289690272727,0.000257165363636364,5.72727272727273,0.000783925090909091,0.000612182454545455,0,4,"Sa Kream",-1.28606187,1.28606187
"15","60405","Kampong Thom","Sala Visai",13750,2590,5247,5178,708,2590,0,0,41,116,61,0.733281296368421,0.712787248947368,0.626459989263158,0.653123486,1,0,0,0,0,0.357714997789474,0.116894390789474,0,0,0.848180554263158,0.369548137631579,0,31.8421052631579,8.57894736842105,0.690444658421053,0.883504692263158,5.57537894736842e-05,6.86842105263158,0.000181968631578947,5.57537894736842e-05,0.346916460746818,4,"Sala Visai",-0.933908046,0.933908046
"16","60502","Kampong Thom","Koul",4641,1083,2184,2171,341,1067,0,0,8,27,35,0.693584145818182,0.712738713545455,0.162745675181818,0.205998544454545,0.989134648818182,0,0,0.00103305781818182,0,0.517201101181818,0.0781451585454545,0,0,0.851611924727273,0.514867671636364,0.0103030302727273,24.2272727272727,3.58181818181818,0.175626807909091,0.848182478818182,0.001315219,7.54545454545455,0.000225301363636364,0,0,1,"Koul",-6.231884058,6.231884058
"17","60602","Kampong Thom","Dang Kambet",2116,417,915,895,121,417,0,0,0,21,11,0.7627206016,0.8568715714,0.6257716344,0.5909523808,1,0,0,0,0,0.2397344606,0.02595274,0,0,0.9238883596,0.8554506364,0.2,19.8,2.7,0.2084840306,0.0853441296,0,19.6,0.0013086926,0.0010205082,0,2.65,"Dang Kambet",-1.748841129,1.748841129
"18","60603","Kampong Thom","Klaeng",3511,803,1613,1565,256,799,0,0,1,107,13,0.545093345,0.504568556571429,0.182210099571429,0.168453789428571,0.992945326285714,0,0,0,0,0.47218737,0.0192179788571429,0,0,0.842486322142857,0.371754413428571,0,20.8571428571429,1.92857142857143,0.369777380714286,1,0.00370330228571429,3.71428571428571,0.000147427428571429,0.000147427428571429,0,3,"Klaeng",-0.502512563,0.502512563
"19","60604","Kampong Thom","Mean Ritth",6126,1325,2680,2750,338,1267,0,32,46,109,76,0.532800874142857,0.501503601571429,0.644061699428571,0.598019809428571,0.979470592285714,0,0,0.00555826771428571,0.00276319428571429,0.247061034428571,0.0708193607142857,0.024670365,0.0146520147142857,0.731105109714286,0.380387071857143,0,18.0714285714286,14.9142857142857,0.126080325428571,1,0.000403551285714286,23.1857142857143,0.00168623085714286,0.000499687142857143,0,16,"Mean Ritth",-0.356076269,0.356076269
"20","60606","Kampong Thom","Ngan",7977,1598,3491,3265,327,1563,1,0,18,45,56,0.590796221230769,0.583840909846154,0.308199951307692,0.326594205307692,0.990002294615385,0,0,0.000380807307692308,0.00178890876923077,0.412797136384615,0.0741425559230769,0,0,0.895076939923077,0.713639261230769,0,6.26923076923077,3.7,0.190520447,0.928100387153846,0,4.23076923076923,0.000492201692307692,0.000864200461538462,0.0482823391262066,3,"Ngan",-2.644836272,2.644836272
