commGIS,distancekm
90201,0.028484039
230200,0.031385324
180103,0.048647666
230200,0.085334275
230200,0.10983698
90201,0.124774976
180105,0.130912775
90201,0.142115111
90302,0.154397149
180208,0.224073007
90202,0.22604925
90201,0.228458131
230200,0.228601648
90103,0.24188949
180208,0.247126654
90202,0.263778748
180208,0.26460401
90202,0.271695538
230200,0.289203803
230200,0.302081047
180208,0.315769885
90201,0.319508248
90201,0.338754464
90201,0.342904816
90103,0.346766672
230200,0.3542914
230200,0.357487391
230200,0.357487391
180208,0.362785782
90201,0.37028957
230200,0.398818159
230200,0.398818159
230200,0.400275806
230200,0.413118737
180105,0.417082887
180105,0.417082887
90103,0.432688635
180105,0.439352118
180105,0.439352118
180208,0.443669971
180208,0.443669971
31010,0.452613665
180105,0.461975436
180301,0.462830774
180104,0.47787755
230200,0.478648399
230200,0.497492195
180103,0.513856355
180301,0.601243535
240104,0.616577615
180208,0.723378194
180206,0.847819295
70612,1.097374514
180105,1.116543917
10901,1.127480037
200109,1.14933227
210407,1.280621885
200409,1.281710175
70203,1.322265443
70805,1.416684049
230201,1.442740344
180205,1.484839946
200106,1.591496454
200201,1.597700472
180104,1.611533598
200208,1.702905179
180103,1.715095642
200706,1.737902708
200202,1.79059278
200704,1.792748845
220405,1.868164941
200310,1.904725864
210302,2.003961814
180102,2.041255529
70702,2.043226853
200211,2.094208722
21201,2.181402212
21202,2.28420365
180208,2.3215806
90502,2.326466091
200407,2.373536672
70701,2.416921415
70602,2.470265896
90301,2.47138836
70718,2.517521774
80502,2.521559718
210304,2.548290683
210504,2.555731708
90604,2.563157024
200504,2.56773273
90302,2.604781296
200105,2.607049996
230102,2.618718521
210103,2.722333808
140302,2.793929235
200102,2.822135361
230101,2.833978256
200511,3.023892155
31001,3.063716155
180202,3.064453981
210403,3.088398382
80409,3.088580353
200503,3.137832858
70616,3.13794541
180212,3.167551337
210412,3.191931975
200110,3.202272788
200301,3.240542066
31002,3.258212234
220504,3.264369712
70614,3.270878692
200203,3.282669956
210411,3.30104662
31015,3.318199315
160705,3.34772754
70711,3.426543699
200212,3.585809341
140604,3.603658475
160900,3.605785569
90602,3.712034759
140605,3.750728776
200702,3.765438868
140902,3.793718777
160102,3.825186631
10902,3.906400535
230202,3.922062597
200502,3.927303847
31208,3.965709621
160103,3.99547511
10509,4.071958847
70707,4.184797477
70801,4.251613568
70613,4.283459905
90104,4.304597553
10904,4.330090665
70209,4.372743933
200103,4.387883173
180206,4.463060458
70208,4.523691457
160703,4.524749569
31005,4.566749644
200416,4.613734029
200603,4.673470568
90402,4.752244555
200206,4.752259152
180101,4.76621502
