year,codekhum,khum_name,area,diffPix
2007,120111,Boeng Trabaek,491757,0
2007,80205,Kbal Kaoh,31754622.31,0
2007,141105,Preaek Anteah,27025827.12,0
2007,80208,Phum Thum,15385072.34,0
2007,80614,Thma Kor,11525247.66,0
2007,120109,Tuol Tumpung Pir,454395.4,0
2007,120602,Boeng Tumpun,4426859.27,0
2007,120110,Tuol Tumpung Muoy,589171.29,0
2007,80803,Chhak Chheu Neang,7593082.48,0
2007,141108,Ta Kao,33845916.65,0
2007,80209,Preaek Aeng,8558066.07,0
2007,80804,Damnak Ampil,8206122.37,0
2007,120108,Tumnob Tuek,822726.96,0
2007,120605,Chbar Ampov Pir,1319784.28,0
2007,120104,Boeng Keng kang Bei,640675.11,0
2007,120601,Stueng Mean Chey,12002391.36,0
2007,80615,Tuek Khleang,11748914.92,0
2007,80206,Kokir,15649346.76,0
2007,141102,Cheung Tuek,20994007.55,0
2007,120501,Dangkao,13834963.3,0
2007,120606,Chak Angrae Leu,3093830.95,0
2007,141004,Damrei Puon,63637951.14,0
2007,50711,Tang Krouch,40301363.98,0
2007,120603,Preaek Pra,8391888.43,0
2007,120604,Chbar Ampov Muoy,485278.41,0
2007,80608,Phum Thum,24611381.45,0
2007,80811,Peuk,14334800.77,0
2007,50605,Krang Dei Vay,247416315.1,0
2007,140207,Smaong Tboung,70222355.41,0
2007,80801,Baek Chan,13527075.89,0
2007,120112,Phsar Daeum Thkov,861843.38,0
2007,80806,Kantaok,16525381.67,0
2007,80807,Krang Mkak,13013174.16,0
2007,120507,Pong Tuek,11138473.38,0
2007,200409,Kokir,49016304.18,0
2007,120508,Prey Veaeng,9066597.04,0
2007,200413,Sambuor,27506268,0
2007,90302,Kaoh Kapi,58451462.13,0
2007,80813,Prey Puok,16306704.21,0
2007,120515,Cheung Aek,13244791.14,0
2007,80203,Dei Edth,20678571.57,0
2007,141006,Pean Roung,60494067.96,0
2007,50713,Trapeang Kong,29988708.83,0
2007,120504,Phleung Chheh Roteh,9628362.16,0
2007,50715,Voa Sa,33058962.02,0
2007,120607,Chak Angrae Kraom,9532838.9,0
2007,120510,Prey Sa,13234612.46,0
2007,50201,Chbar Mon,32967880.93,0
2007,81104,Ta Khmau,10176842.69,0
2007,140506,Prey Totueng,55907188.41,0
2007,50610,Tang Samraong,133533850.2,0
2007,80202,Chheu Teal,17841585.06,0
2007,81103,Daeum Mien,3171155.31,0
2007,80210,Preaek Thmei,19567524.04,0
2007,141106,Preaek Chrey,31947077.58,0
2007,80611,Preaek Ruessei,22854430.12,0
2007,80603,Boeng Krum,9088156.87,0
2007,200401,Ampil,54837212.29,0
2007,50204,Sopoar Tep,7372279.85,0
2007,80201,Banteay Daek,53919876.33,0
2007,80808,Lumhach,16937161.94,0
2007,50203,Roka Thum,14771667.12,0
2007,141103,Kampong Leav,17432131.79,0
2007,80802,Boeng Thum,16396213.04,0
2007,80601,Akreiy Ksatr,15706538.62,0
2007,80607,Peam Oknha Ong,15250107.37,0
2007,90502,Peam Krasaob,44157094.42,0
2007,120502,Trapeang krasang,9054241.32,0
2007,120210,Srah Chak,3154749,0
2007,120408,Boeng Kak Pir,1686632.47,0
2007,50703,Khtum Krang,71604120.03,0
2007,140806,Preaek Ta Sar,39032851.1,0
2007,141003,Chrey,46834311.11,0
2007,80810,Ovlaok,15488996.72,0
2007,141104,Pou Rieng,61291909.76,0
2007,120407,Boeng Kak Muoy,1596189.07,0
2007,120702,Tuol Sangkae,2757290.12,0
2007,80613,Sarikakaev,19580673.11,0
2007,80609,Preaek Kmeng,20112400.12,0
2007,80814,Samraong Leu,31179746.96,0
2007,120206,Phsar Kandal Pir,147405.11,0
2007,120203,Phsar Thmei Bei,335700.52,0
