year,commGIS,ForPix
2007,120111,0
2007,80205,8
2007,141105,0
2007,80208,9
2007,80614,0
2007,120109,0
2007,120602,0
2007,120110,0
2007,80803,0
2007,141108,0
2007,80209,0
2007,80804,0
2007,120108,0
2007,120605,0
2007,120104,0
2007,120601,0
2007,80615,0
2007,80206,10
2007,141102,0
2007,120501,2
2007,120606,0
2007,141004,2
2007,50711,0
2007,120603,0
2007,120604,0
2007,80608,0
2007,80811,0
2007,50605,1102
2007,140207,0
2007,80801,0
2007,120112,0
2007,80806,0
2007,80807,0
2007,120507,0
2007,200409,13
2007,120508,0
2007,200413,0
2007,90302,109
2007,80813,0
2007,120515,2
2007,80203,15
2007,141006,0
2007,50713,0
2007,120504,0
2007,50715,0
2007,120607,16
2007,120510,0
2007,50201,0
2007,81104,0
2007,140506,0
2007,50610,184
2007,80202,20
2007,81103,0
2007,80210,7
2007,141106,0
2007,80611,0
2007,80603,0
2007,200401,2
2007,50204,0
2007,80201,0
2007,80808,0
2007,50203,0
2007,141103,0
2007,80802,0
2007,80601,0
2007,80607,0
2007,90502,24
2007,120502,0
2007,120210,0
2007,120408,0
2007,50703,0
2007,140806,0
2007,141003,0
2007,80810,0
2007,141104,0
2007,120407,0
2007,120702,0
2007,80613,12
2007,80609,0
2007,80814,0
2007,120206,0
2007,120203,0
2007,120506,0
2007,141005,0
2007,120305,0
2007,120306,0
2007,50705,0
2007,120707,0
2007,120401,0
2007,120201,0
2007,120404,0
2007,120202,0
2007,141001,0
2007,120211,0
2007,120205,0
2007,120209,0
2007,80805,0
2007,200410,0
2007,120406,0
2007,120207,0
2007,120405,0
2007,120403,0
2007,120301,0
2007,120302,0
2007,120304,0
2007,80605,0
2007,120204,0
2007,120303,0
2007,90603,4865
2007,120402,0
2007,120307,0
2007,120208,0
2007,120103,0
2007,120106,0
2007,80212,0
2007,120505,0
2007,120101,0
2007,120102,0
2007,50707,0
2007,120105,0
2007,50708,0
2007,120516,0
2007,120107,0
2007,120410,0
2007,80610,0
2007,120308,0
2007,120608,0
2007,120409,0
2007,90105,787
2007,50304,0
2007,50704,66
2007,50600,1401
2007,50301,0
2007,140503,10
2007,80101,6
2007,200415,0
2007,80128,0
2007,50313,0
2007,200412,39
2007,50604,12
2007,200411,0
2007,200407,6
2007,140109,0
2007,140502,0
2007,50311,78
2007,50312,0
2007,80207,1
2007,140505,0
2007,50607,23
2007,80104,4
2007,81006,0
2007,140101,0
2007,50613,526
2007,80125,0
2007,50306,0
2007,81008,0
2007,81015,5
2007,80116,15
2007,81010,15
2007,80115,0
2007,80501,36
2007,90203,2685
2007,90802,2209
2007,81014,2
2007,81004,0
2007,200404,0
2007,81016,0
2007,200405,0
2007,50609,82
2007,140104,0
2007,50302,0
2007,140705,0
2007,210208,1
2007,210207,21
2007,210210,0
2007,210212,0
2007,50112,25
2007,210202,0
2007,140501,0
2007,200305,0
2007,50603,549
2007,140105,0
2007,210211,0
2007,140706,0
2007,140702,0
2007,140108,25
2007,81005,0
2007,140508,3
2007,50602,363
2007,90101,3507
2007,50110,63
2007,210204,0
2007,90301,3137
2007,50706,0
2007,120514,0
2007,200406,6
2007,50202,0
2007,141009,0
2007,81106,0
2007,200414,36
2007,80124,0
2007,140507,0
2007,81101,0
2007,50701,0
2007,120513,0
2007,81102,0
2007,141101,0
2007,80606,0
2007,80211,6
2007,50702,0
2007,80604,0
2007,80126,0
2007,120512,0
2007,81011,15
2007,80118,0
2007,80117,0
2007,50205,0
2007,50611,3
2007,80204,0
2007,81013,1
2007,80114,0
2007,80106,0
2007,81002,0
2007,81105,0
2007,50710,1
2007,80105,0
2007,81009,15
2007,140504,2
2007,80102,0
2007,50305,0
2007,90803,4391
2007,50308,0
2007,80110,0
2007,50608,14
2007,90302,0
2007,80103,0
2007,50606,5
2007,140708,0
2007,80119,0
2007,80612,0
2007,80127,0
2007,80109,0
2007,140701,0
2007,80108,0
2007,80122,0
2007,50712,41
2007,81012,0
2007,200402,1
2007,50709,0
2007,50601,416
2007,140704,0
2007,80107,11
2007,141011,0
2007,200408,0
2007,80113,0
2007,90301,1079
2007,200711,27
2007,90602,224
2007,140309,0
2007,50103,0
2007,200509,0
2007,50101,0
2007,80403,4
2007,140307,0
2007,200706,1
2007,140610,0
2007,80404,0
2007,210710,0
2007,50109,0
2007,50111,0
2007,90202,2142
2007,140906,0
2007,80504,0
2007,210703,0
2007,70404,291
2007,140904,0
2007,210603,0
2007,210708,0
2007,200708,32
2007,200710,0
2007,210606,0
2007,80411,0
2007,50106,0
2007,140909,0
2007,210610,0
2007,200512,0
2007,70309,4005
2007,210611,0
2007,200709,97
2007,90607,50
2007,210608,0
2007,210605,0
2007,200506,0
2007,200507,0
2007,210906,0
2007,200505,0
2007,140310,0
2007,90601,250
2007,140301,0
2007,70302,1566
2007,210602,0
2007,50107,0
2007,200514,0
2007,210701,0
2007,200602,0
2007,140903,0
2007,210609,0
2007,80410,0
2007,140911,0
2007,80402,0
2007,140313,0
2007,140308,0
2007,90103,2212
2007,140901,0
2007,90801,338
2007,200705,51
2007,210709,0
2007,200704,0
2007,50108,0
2007,210702,0
2007,200508,0
2007,200516,0
2007,140103,0
2007,50114,0
2007,81001,0
2007,210215,0
2007,200304,0
2007,140102,0
2007,140107,0
2007,90102,603
2007,200302,0
2007,210203,0
2007,200310,2
2007,81003,0
2007,50310,0
2007,210205,0
2007,210206,0
2007,81007,0
2007,50102,60
2007,140106,0
2007,50309,0
2007,50115,16
2007,140905,0
2007,200306,0
2007,210209,0
2007,50303,0
2007,140306,5
2007,210214,0
2007,140703,0
2007,140707,0
2007,80506,0
2007,200301,0
2007,140607,0
2007,140910,0
2007,140601,0
2007,200517,0
2007,140305,0
2007,210213,0
2007,200309,0
2007,50113,0
2007,210604,0
2007,50307,0
2007,200501,0
2007,200308,0
2007,210201,0
2007,80408,0
2007,80407,22
2007,200513,0
2007,80405,0
2007,210704,0
2007,200510,0
2007,200303,0
2007,50105,0
2007,210612,0
2007,210705,0
2007,140311,0
2007,80505,0
2007,140907,0
2007,210607,0
2007,210613,0
2007,210707,0
2007,200307,0
2007,200702,36
2007,50104,22
2007,140604,0
2007,140605,0
2007,80502,0
2007,210103,0
2007,90201,2
2007,200202,0
2007,200203,0
2007,210903,2
2007,211012,0
2007,210803,0
2007,210911,0
2007,90804,267
2007,200208,0
2007,210105,0
2007,200205,0
2007,211009,0
2007,211013,0
2007,210913,23
2007,90201,0
2007,211007,0
2007,90201,0
2007,210905,0
2007,70407,55
2007,180204,406
2007,200206,0
2007,200109,3
2007,211008,0
2007,180209,1280
2007,200104,22
2007,70406,94
2007,200201,0
2007,90201,3
2007,200211,0
2007,70311,4
2007,211001,0
2007,70304,0
2007,90201,29
2007,200110,148
2007,70103,0
2007,200103,36
2007,70402,24
2007,90201,0
2007,90201,0
2007,210305,0
2007,211004,0
2007,200212,0
2007,90201,0
2007,70401,10
2007,70303,0
2007,210505,0
2007,90103,0
2007,210506,0
2007,70105,4
2007,211005,0
2007,70109,0
2007,70314,0
2007,70308,56
2007,70110,0
2007,211006,0
2007,70310,0
2007,70307,0
2007,210303,0
2007,211002,0
2007,210301,0
2007,200504,0
2007,200703,23
2007,210601,0
2007,210909,0
2007,210902,0
2007,200604,0
2007,200601,0
2007,80503,0
2007,140602,0
2007,210104,0
2007,140603,0
2007,90104,1413
2007,210711,0
2007,200102,8
2007,200701,0
2007,210914,1
2007,90604,537
2007,90202,0
2007,140303,0
2007,90202,0
2007,200603,0
2007,210102,0
2007,140312,0
2007,210106,0
2007,140304,0
2007,200210,0
2007,140606,0
2007,210706,0
2007,210908,0
2007,80409,0
2007,200515,0
2007,200503,0
2007,200107,0
2007,200209,0
2007,210915,18
2007,80412,0
2007,200204,0
2007,200707,0
2007,200108,2
2007,70405,211
2007,200502,0
2007,200101,18
2007,210904,0
2007,140902,0
2007,200511,0
2007,80401,0
2007,90201,1391
2007,90202,0
2007,200105,0
2007,210910,1
2007,70403,154
2007,200207,48
2007,140908,0
2007,140302,0
2007,210901,0
2007,140609,0
2007,200106,2
2007,80507,0
2007,140608,0
2007,70700,8368
2007,210101,0
2007,210912,0
2007,210802,0
2007,210801,0
2007,40406,12
2007,100204,656
2007,40111,28
2007,100209,0
2007,150501,30
2007,60102,3
2007,150407,4730
2007,31514,952
2007,100505,5991
2007,40102,75
2007,40406,21
2007,150401,0
2007,150311,704
2007,40102,0
2007,150403,368
2007,40102,0
2007,100306,600
2007,110302,3783
2007,40402,288
2007,40110,0
2007,40104,27
2007,110504,451
2007,100301,591
2007,100305,693
2007,40103,0
2007,40104,0
2007,40105,0
2007,100211,22
2007,60108,361
2007,31506,105
2007,31503,79
2007,60110,7
2007,110105,7189
2007,40106,33
2007,60107,0
2007,40405,84
2007,40109,0
2007,60103,601
2007,40108,86
2007,150604,8699
2007,150603,6587
2007,31501,22
2007,40107,3
2007,60104,15
2007,150404,10862
2007,100201,181
2007,100213,247
2007,40105,4
2007,40101,5
2007,30204,3
2007,30205,3
2007,31510,97
2007,100303,60
2007,40407,130
2007,30202,127
2007,150402,16
2007,150605,8634
2007,150304,355
2007,30208,0
2007,100308,662
2007,31504,249
2007,100206,0
2007,150310,1055
2007,100501,8911
2007,60702,27
2007,110502,2117
2007,20612,93
2007,150308,339
2007,20611,15
2007,60704,32
2007,60310,265
2007,150502,0
2007,60302,0
2007,60304,0
2007,150306,66
2007,150204,99
2007,110404,2609
2007,60303,0
2007,60301,0
2007,150203,31
2007,150301,205
2007,60703,22
2007,100205,22
2007,60707,0
2007,110103,4012
2007,100203,664
2007,40404,304
2007,110503,1072
2007,150110,0
2007,150103,0
2007,60708,1
2007,150201,0
2007,110403,1824
2007,150309,328
2007,150207,0
2007,150106,0
2007,110301,7772
2007,150302,556
2007,150507,0
2007,40102,0
2007,150602,5484
2007,150303,0
2007,40401,701
2007,150202,0
2007,150307,599
2007,150209,0
2007,100214,3
2007,150109,685
2007,60701,0
2007,110504,1290
2007,150504,0
2007,110102,5292
2007,150506,638
2007,60111,0
2007,100207,4
2007,100210,0
2007,60117,0
2007,150503,0
2007,60101,17
2007,40102,0
2007,60706,382
2007,150505,0
2007,100307,1808
2007,100208,2
2007,110501,862
2007,40102,0
2007,60105,1
2007,150302,0
2007,31306,0
2007,31305,0
2007,100504,866
2007,40807,0
2007,30613,12
2007,40609,0
2007,30904,0
2007,30602,0
2007,40201,0
2007,31313,0
2007,40601,0
2007,40610,0
2007,40605,16
2007,40205,0
2007,30407,332
2007,100104,2321
2007,40805,103
2007,30612,0
2007,31301,0
2007,40613,0
2007,30310,0
2007,31615,53
2007,30610,0
2007,31616,18
2007,31315,0
2007,40802,2433
2007,40202,6
2007,100502,3950
2007,31011,279
2007,30903,4
2007,40603,2
2007,30307,0
2007,30303,0
2007,30302,0
2007,30609,0
2007,31304,0
2007,31309,0
2007,31621,44
2007,30309,0
2007,30402,20
2007,30110,0
2007,30607,0
2007,30112,0
2007,31310,0
2007,30603,2
2007,40508,0
2007,90701,20108
2007,30614,8
2007,40502,0
2007,40509,0
2007,31308,0
2007,30304,0
2007,31312,0
2007,31307,0
2007,30105,0
2007,40801,0
2007,40501,0
2007,31602,2
2007,31303,0
2007,30611,13
2007,30308,0
2007,30301,2
2007,50403,4413
2007,30104,0
2007,31508,0
2007,60115,220
2007,40602,3
2007,30206,8
2007,150405,9266
2007,30203,9
2007,31507,30
2007,40409,14
2007,40608,102
2007,40806,1668
2007,31505,0
2007,150406,6687
2007,60118,377
2007,40408,38
2007,40612,75
2007,100105,296
2007,30207,22
2007,30910,13
2007,100304,0
2007,30907,33
2007,40204,9
2007,100108,252
2007,60109,3
2007,30911,46
2007,31512,11
2007,40403,0
2007,30905,28
2007,40607,8
2007,40301,0
2007,40304,0
2007,60112,8
2007,110104,4652
2007,100106,15
2007,30909,4
2007,30902,6
2007,100102,1978
2007,60114,0
2007,100103,1
2007,30111,52
2007,100107,24
2007,30906,8
2007,40611,1
2007,31513,44
2007,40302,0
2007,60113,33
2007,60106,0
2007,150601,15042
2007,100101,3
2007,30912,249
2007,31302,0
2007,30201,64
2007,100503,642
2007,40604,4
2007,31509,0
2007,30405,136
2007,30306,0
2007,30108,3
2007,30908,28
2007,30901,192
2007,30305,0
2007,40303,0
2007,40203,0
2007,40606,0
2007,60116,0
2007,30404,0
2007,30807,14
2007,31204,7
2007,31013,0
2007,30806,16
2007,30702,0
2007,30708,0
2007,31106,1
2007,31614,0
2007,31408,0
2007,40505,0
2007,31107,1
2007,30808,9
2007,31410,0
2007,40705,0
2007,50405,4015
2007,31008,0
2007,31207,2
2007,31601,0
2007,31005,4
2007,31604,0
2007,80707,0
2007,31209,5
2007,80711,0
2007,30109,0
2007,40707,2
2007,80903,0
2007,30803,6
2007,30710,0
2007,31406,0
2007,80905,0
2007,31401,0
2007,31405,0
2007,141210,0
2007,31105,0
2007,141203,0
2007,40701,10
2007,31108,0
2007,31409,0
2007,80317,0
2007,40704,1
2007,141204,0
2007,80708,0
2007,31003,61
2007,141207,0
2007,30804,2
2007,40706,0
2007,31206,33
2007,80911,7
2007,31205,1
2007,80316,0
2007,50507,0
2007,141202,0
2007,50511,0
2007,31104,0
2007,80710,36
2007,31103,4
2007,31407,0
2007,80904,2
2007,31102,0
2007,31101,0
2007,80704,0
2007,80914,0
2007,80304,2
2007,31612,6
2007,31606,19
2007,30403,0
2007,30501,0
2007,40808,294
2007,31605,8
2007,90501,13944
2007,30706,4
2007,40803,1
2007,31006,71
2007,31314,0
2007,30601,0
2007,30615,1
2007,31311,0
2007,40702,0
2007,30106,0
2007,30701,2
2007,30606,1
2007,31014,390
2007,40703,61
2007,40503,0
2007,30709,1
2007,31623,8
2007,30503,0
2007,30707,0
2007,30502,0
2007,30711,0
2007,30504,0
2007,40804,795
2007,30101,0
2007,40510,0
2007,31622,17
2007,40506,2
2007,30703,0
2007,50801,1044
2007,30406,8
2007,40504,3
2007,31613,0
2007,30705,0
2007,30704,2
2007,31619,0
2007,31007,4
2007,40709,0
2007,31004,7
2007,30605,5
2007,30604,10
2007,30102,0
2007,31608,24
2007,30805,0
2007,30107,0
2007,40708,0
2007,30801,0
2007,30103,0
2007,31016,8
2007,31413,2
2007,31404,0
2007,31618,0
2007,30608,0
2007,31411,0
2007,90702,8737
2007,30401,0
2007,40507,0
2007,30802,0
2007,50406,7741
2007,50513,0
2007,120503,26
2007,120703,0
2007,80305,0
2007,80303,0
2007,120709,5
2007,50502,0
2007,140205,15
2007,90703,736
2007,120708,3
2007,80307,4
2007,80908,4
2007,50808,556
2007,140406,2
2007,140810,0
2007,80809,0
2007,50401,557
2007,120711,0
2007,50402,2233
2007,50508,0
2007,140203,14
2007,140808,0
2007,80602,13
2007,90304,10047
2007,120701,0
2007,90303,2076
2007,80816,0
