commGIS,nd,CP,CP,CP,CP,MC,MN,FBE,FBD,FBD,FBD,FNE,FND,FM,MTSH,MTSH,SL,SL,GL,SV,NF,NF,NF,U,B,B,B,W
40607,0,209,81,0,14,2,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40301,0,9,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,33
40304,0,49,11,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,7
60112,0,187,19,0,33,14,12,1,0,0,0,0,0,0,7,0,0,22,0,0,0,0,0,0,0,0,0,0
110104,7,398,64,0,0,608,223,3725,25,0,0,0,0,0,902,0,192,656,0,0,0,0,0,0,0,0,0,0
31508,0,2,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,4,7
60115,0,418,30,0,23,2,47,28,168,0,0,3,0,0,21,0,0,0,364,0,0,0,723,0,0,0,0,10
40602,0,519,40,0,27,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30206,0,389,37,103,90,141,186,2,0,0,0,0,0,0,6,0,0,40,0,0,0,0,0,2,0,0,0,0
150405,0,204,91,0,0,120,110,7899,348,0,0,51,0,0,968,0,124,24,0,0,0,0,1,0,0,0,0,0
30203,0,417,46,4,34,9,6,9,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0
31507,0,148,26,4,131,17,15,24,0,0,0,0,0,0,6,0,0,119,3,0,0,0,10,0,0,0,13,38
40409,0,231,67,0,57,7,36,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0
40608,0,1278,40,0,25,4,9,97,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
40806,0,4769,217,0,6,156,24,345,1180,0,0,0,0,0,143,0,49,10,0,0,0,0,0,0,0,0,0,0
31505,0,151,24,155,4,16,20,0,0,0,0,0,0,0,0,0,10,47,13,0,0,0,0,0,0,0,0,0
150406,0,387,24,0,1,85,159,2833,1669,0,0,7,0,0,2178,0,434,12,0,0,0,0,0,0,0,0,0,0
60118,0,556,103,0,74,6,176,59,147,0,0,7,0,0,164,13,0,2,311,0,0,0,271,0,0,0,0,0
40408,0,213,64,0,141,9,24,3,7,0,0,0,0,0,28,0,0,0,0,0,0,0,408,0,0,0,0,11
40612,0,289,96,0,133,4,56,0,27,0,0,15,0,0,33,0,0,3,3,0,0,0,317,0,0,0,0,18
100105,0,120,80,4,67,247,176,230,16,0,0,0,0,0,50,0,64,3,0,0,0,0,9,0,0,0,0,34
80911,0,121,1,0,51,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31205,0,477,9,0,32,10,2,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
80316,0,60,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5
50507,0,373,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141202,0,198,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
50511,0,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31104,0,341,18,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
80710,0,133,0,0,383,2,18,30,0,0,0,0,0,0,6,0,0,21,0,0,0,38,285,0,0,0,0,3
31103,0,459,5,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,48,0,0,0,7,0,0,0,0,0
31407,0,100,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,0,0,0,4
80904,0,13,0,0,673,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,71,0,0,0,0,41
31102,0,540,27,3,34,21,2,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,5,0,0,0,0,0
31101,0,290,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
80704,0,46,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,39
80914,0,54,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80304,0,85,0,0,80,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,12
31405,0,43,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51
141210,0,186,3,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,6
31105,0,256,2,0,219,0,3,0,0,0,0,0,0,0,0,0,0,11,14,0,0,0,25,0,0,0,0,21
141203,0,58,0,0,120,2,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,2
40701,0,461,123,0,24,12,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31108,0,300,67,102,10,57,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
31409,0,88,0,0,172,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,50
80317,0,48,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,52
40704,0,736,421,0,16,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141204,0,170,2,0,221,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0,0,0
80708,0,21,0,0,40,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
31003,6,499,721,0,0,885,124,59,1,0,0,0,0,0,1,0,12,205,0,0,0,0,0,0,0,0,0,0
141207,0,38,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30804,0,85,0,0,52,0,11,0,0,0,0,0,0,0,2,0,0,21,0,0,0,0,0,5,0,0,0,0
