Province,Commune,VillGis,propSecSec
Banteay Meanchey,Paoy Paet,1010101,0.003401912
Banteay Meanchey,Paoy Paet,1010102,0
Banteay Meanchey,Paoy Paet,1010103,0
Banteay Meanchey,Paoy Paet,1010104,0
Banteay Meanchey,Paoy Paet,1010105,0
Banteay Meanchey,Paoy Paet,1010106,0
Banteay Meanchey,Paoy Paet,1010107,0
Banteay Meanchey,Paoy Paet,1010108,0.00233827
Banteay Meanchey,Paoy Paet,1010109,0
Banteay Meanchey,Paoy Paet,1010110,0
Banteay Meanchey,Paoy Paet,1010111,0
Banteay Meanchey,Nimitt,1010201,0
Banteay Meanchey,Nimitt,1010202,0.052287582
Banteay Meanchey,Nimitt,1010203,0
Banteay Meanchey,Nimitt,1010204,0
Banteay Meanchey,Nimitt,1010205,0
Banteay Meanchey,Nimitt,1010206,0
Banteay Meanchey,Nimitt,1010207,0
Banteay Meanchey,Nimitt,1010208,0
Banteay Meanchey,Nimitt,1010209,0
Banteay Meanchey,Nimitt,1010210,0
Banteay Meanchey,Nimitt,1010211,0
Banteay Meanchey,Nimitt,1010212,0
Banteay Meanchey,Nimitt,1010213,0
Banteay Meanchey,Nimitt,1010214,0
Banteay Meanchey,Nimitt,1010215,0
Banteay Meanchey,Banteay Neang,1020101,0
Banteay Meanchey,Banteay Neang,1020102,0
Banteay Meanchey,Banteay Neang,1020103,0
Banteay Meanchey,Banteay Neang,1020104,0
Banteay Meanchey,Banteay Neang,1020105,0
Banteay Meanchey,Banteay Neang,1020106,0
Banteay Meanchey,Banteay Neang,1020107,0
Banteay Meanchey,Banteay Neang,1020108,0
Banteay Meanchey,Banteay Neang,1020109,0
Banteay Meanchey,Banteay Neang,1020110,0
Banteay Meanchey,Banteay Neang,1020111,0
Banteay Meanchey,Banteay Neang,1020112,0
Banteay Meanchey,Banteay Neang,1020113,0
Banteay Meanchey,Banteay Neang,1020114,0
Banteay Meanchey,Banteay Neang,1020115,0
Banteay Meanchey,Banteay Neang,1020116,0
Banteay Meanchey,Banteay Neang,1020117,0
Banteay Meanchey,Banteay Neang,1020118,0
Banteay Meanchey,Banteay Neang,1020119,0
Banteay Meanchey,Bat Trang,1020201,0
Banteay Meanchey,Bat Trang,1020202,0
Banteay Meanchey,Bat Trang,1020203,0.008583691
Banteay Meanchey,Bat Trang,1020204,0
Banteay Meanchey,Bat Trang,1020205,0
Banteay Meanchey,Bat Trang,1020206,0.046153846
Banteay Meanchey,Bat Trang,1020207,0.028571429
Banteay Meanchey,Bat Trang,1020208,0
Banteay Meanchey,Bat Trang,1020209,0
Banteay Meanchey,Bat Trang,1020210,0
Banteay Meanchey,Bat Trang,1020211,0
Banteay Meanchey,Chamnaom,1020301,0
Banteay Meanchey,Chamnaom,1020302,0
Banteay Meanchey,Chamnaom,1020303,0
Banteay Meanchey,Chamnaom,1020304,0
Banteay Meanchey,Chamnaom,1020305,0
Banteay Meanchey,Chamnaom,1020306,0.00617284
Banteay Meanchey,Chamnaom,1020307,0.014778325
Banteay Meanchey,Chamnaom,1020308,0
Banteay Meanchey,Chamnaom,1020309,0
Banteay Meanchey,Chamnaom,1020310,0
Banteay Meanchey,Chamnaom,1020311,0
Banteay Meanchey,Chamnaom,1020312,0
Banteay Meanchey,Chamnaom,1020313,0
Banteay Meanchey,Chamnaom,1020314,0
Banteay Meanchey,Chamnaom,1020315,0
Banteay Meanchey,Chamnaom,1020316,0
Banteay Meanchey,Chamnaom,1020317,0
Banteay Meanchey,Chamnaom,1020318,0
Banteay Meanchey,Chamnaom,1020319,0
Banteay Meanchey,Kouk Ballangk,1020401,0.004273504
Banteay Meanchey,Kouk Ballangk,1020402,0
Banteay Meanchey,Kouk Ballangk,1020403,0
Banteay Meanchey,Kouk Ballangk,1020404,0
Banteay Meanchey,Kouk Ballangk,1020405,0
Banteay Meanchey,Kouk Ballangk,1020406,0
Banteay Meanchey,Kouk Ballangk,1020407,0
Banteay Meanchey,Kouk Ballangk,1020408,0
Banteay Meanchey,Koy Maeng,1020501,0
Banteay Meanchey,Koy Maeng,1020502,0
Banteay Meanchey,Koy Maeng,1020503,0.00462963
Banteay Meanchey,Koy Maeng,1020504,0
Banteay Meanchey,Koy Maeng,1020505,0.020979021
Banteay Meanchey,Koy Maeng,1020506,0
Banteay Meanchey,Koy Maeng,1020507,0.105633803
Banteay Meanchey,Koy Maeng,1020508,0
Banteay Meanchey,Ou Prasat,1020601,0.003225806
Banteay Meanchey,Ou Prasat,1020602,0
Banteay Meanchey,Ou Prasat,1020603,0
Banteay Meanchey,Ou Prasat,1020604,0.004901961
Banteay Meanchey,Ou Prasat,1020605,0
Banteay Meanchey,Ou Prasat,1020606,0
Banteay Meanchey,Ou Prasat,1020607,0
Banteay Meanchey,Ou Prasat,1020608,0
Banteay Meanchey,Ou Prasat,1020609,0.009433962
Banteay Meanchey,Ou Prasat,1020610,0
Banteay Meanchey,Ou Prasat,1020611,0.003846154
Banteay Meanchey,Ou Prasat,1020612,0
Banteay Meanchey,Ou Prasat,1020613,0.416666667
Banteay Meanchey,Ou Prasat,1020614,0
Banteay Meanchey,Phnum Touch,1020701,0.07277628
