"","for_cov","armi","cpi","nfi","rice_med","rub_med","corn_med","sug_med","for_prod","time","for_rem"
"2",0.0899999999965075,3.8,-10.32,110.79,41.7,330,5,47.5,304000,-1277.57845849803,103971.33
"3",1826.10000000001,-1.40000000000001,70.11,-44.99,71.5,475,17,25,26000,598.783212874089,102145.23
"4",570.059999999998,-1.8,-4.63999999999999,17.37,1.09999999999997,-220,52,-30,-60000,-606.905115753813,101575.17
"5",1015.28999999999,-5.2,-0.78000000000003,-15.79,-21.6,-380,-57,-13.33,10000,-111.323444381711,100559.88
"6",1139.49000000001,-15.7,-0.389999999999986,17.26,-7.19999999999999,-315,-16,-53.33,-30000,63.2282269904065,99420.39
"7",1897.2,3.7,34.58,-17.71,-60.7,-90,-12,-58.34,-153000,871.289898362504,97523.19
"8",1529.28,0.5,-4.38999999999999,-16.9399999999999,-51.9,40,1,40.84,-748000,553.721569734612,95993.91
"9",1241.28,-8.4,0.629999999999995,-86.47,-20.7,-75,-1,10.83,-71000,316.073241106718,94752.63
"10",1328.31,2.4,-18.01,-62.32,18.5,245,6,-38.33,79000,453.454912478823,93424.32
"11",511.650000000009,5.8,61.79,36.05,7.5,210,10,4.16000000000003,0,-312.85341614906,92912.67
"12",1157.49000000001,3.2,-28,-137.83,38.7,235,4,2.5,0,383.338255223043,91755.18
"13",757.529999999999,4.6,107.26,101.99,49.3,255,-13,60,-20000,33.7299265951429,90997.65
"14",400.949999999997,10.3,40.15,7.84000000000003,18.5,535,15,109.17,0,-272.498402032753,90596.7
"15",254.520000000004,6.8,27.47,-45.17,19.8,190,52,-105.83,93000,-368.57673066064,90342.18
"16",521.189999999988,8.7,55.53,181.97,322.4,555,70,60.83,-50000,-51.55505928855,89820.99
"17",354.150000000009,-7.2,26.79,-0.799999999999955,-85.7,-1090,-68,117.5,-10000,-168.243387916423,89466.84
"18",459.62999999999,17.2,46.9200000000001,48.55,-79.4999999999999,1830,0,69.17,170000,-12.4117165443354,89007.21
"19",628.200000000012,22,90.75,-180.71,49.8,1280,128,104.16,-4000,206.509954827792,88379.01
"20",319.5,-20.7,22.89,-33.84,27.6999999999999,-1630,1,-98.33,0,-51.8383738001132,88059.51
"21",457.559999999998,-5.89999999999999,6.38,-18.08,-42.1999999999999,-475,-15,-85,100000,136.57329757199,87601.95
"22",107.910000000003,-3.5,-7.60000000000002,-13.54,-94.6,-715,-90,-15.83,150000,-162.725031055898,87494.04
"23",0.0899999999965075,-8.60000000000001,7.57000000000005,-10.84,-43.5,-360,-21,-79.17,138000,-220.193359683799,87493.95
