"","year","for_cov_pix","for_cov_area","for_cov_perc","for_cov_roc","urban_pix","urban_area","urban_perc","urban_roc","agric_pix","agric_area","agric_perc","agric_roc","gdp","fdi","ind_gdp","agr_gdp","dev_agri","dev_env","armi","rice_med","rub_med","corn_med","sug_med","prod_rice","prod_rub","prod_cass","prod_corn","prod_sug","for_change","gdp_change","fdi_change","ind_gdp_change","agr_gdp_change","dev_agri_change","dev_env_change","armi_change","rice_med_change","rub_med_change","corn_med_change","sug_med_change"
"1","1995",1134947,102145.23,98.2435654,1.756348,808,72.72,106.32,2.76,785541,70698.69,102.1968243,2.19994666,347,150.7,15.2,44.4,24.21,0.1,75.1,332.8,1625,123,293.33,212.2,477.4,208.1,191.8,2722.3,-1826.10000000001,34,81.8,1.2,0.399999999999999,7.71,-1.3,-1.40000000000001,71.5,475,17,25
"2","1996",1128613,101575.17,97.69528011,0.548285,823,74.07,108.29,1.97,791312,71218.08,102.9476163,0.750791968,334,293.7,15,43,60.23,1.47,73.3,333.9,1405,175,263.33,179.1,415.7,171.5,152.4,2382.7,-570.059999999998,-13,143,-0.199999999999999,-1.4,36.02,1.37,-1.8,1.09999999999997,-220,52,-30
"3","1997",1117332,100559.88,96.71877137,0.976509,857,77.13,112.76,4.47,800027,72002.43,104.0814149,1.133798648,301,168.1,16.8,42,38.04,0.43,68.1,312.3,1025,118,250,173.1,344.8,132.4,135.8,1976,-1015.28999999999,-33,-125.6,1.8,-1,-22.19,-1.04,-5.2,-21.6,-380,-57,-13.33
"4","1998",1104671,99420.39,95.62280673,1.095965,879,79.11,115.66,2.89,808393,72755.37,105.1698096,1.088394663,247,242.8,17,41.9,3.6,0.86,52.4,305.1,710,102,196.67,157.6,234.6,186.9,157.6,1340.6,-1139.49000000001,-54,74.7,0.199999999999999,-0.100000000000001,-34.44,0.43,-15.7,-7.19999999999999,-315,-16,-53.33
"5","1999",1083591,97523.19,93.79807451,1.824732,903,81.27,118.82,3.16,824370,74193.3,107.2483754,2.078565807,273,232.2,18.3,38.5,50.51,5.01,56.1,244.4,620,90,138.33,110.3,232.9,174.5,186.3,1336.6,-1897.2,26,-10.6,1.3,-3.4,46.91,4.15,3.7,-60.7,-90,-12,-58.34
"6","2000",1066599,95993.91,92.32720877,1.470866,934,84.06,122.89,4.08,835713,75214.17,108.72407,1.475694557,297,148.5,21.7,36.3,46.12,2.46,56.6,192.5,660,91,179.17,96.3,212.5,163.8,162.7,1213.5,-1529.28,24,-83.7,3.4,-2.2,-4.39,-2.55,0.5,-51.9,40,1,40.84
"7","2001",1052807,94752.63,91.13334222,1.193867,961,86.49,126.45,3.55,849368,76443.12,110.5005497,1.776479695,311,149.4,22.5,34.4,13.56,19.52,48.2,171.8,585,90,190,105.2,209.3,180.8,122.6,1197.2,-1241.28,14,0.900000000000006,0.800000000000001,-1.9,-32.56,17.06,-8.4,-20.7,-75,-1,10.83
"8","2002",1038048,93424.32,89.85576998,1.277572,996,89.64,131.05,4.61,864852,77836.68,112.5149775,2.014427799,329,145.1,24.7,31.5,1.98,7.32,50.6,190.3,830,96,151.67,120.1,209.4,196.3,74.1,1198.7,-1328.31,18,-4.30000000000001,2.2,-2.9,-11.58,-12.2,2.4,18.5,245,6,-38.33
"9","2003",1032363,92912.67,89.36366359,0.492106,1031,92.79,135.66,4.61,875883,78829.47,113.9500816,1.435104175,349,84,25.5,32,37.59,11.86,56.4,197.8,1040,106,155.83,105.2,208.4,163.6,96.6,1192.7,-511.650000000009,20,-61.1,0.800000000000001,0.5,35.61,4.54,5.8,7.5,210,10,4.16000000000003
"10","2004",1019502,91755.18,88.2503865,1.113277,1070,96.3,140.79,5.13,891053,80194.77,115.9236589,1.973577223,378,131.4,26.9,28.8,66.03,4.23,59.6,236.5,1275,110,158.33,133.5,218.8,249.2,124.5,1253.8,-1157.49000000001,29,47.4,1.4,-3.2,28.44,-7.63,3.2,38.7,235,4,2.5
