"","year","for_cov","gdp","gdp_gr","fdi","ind_gdp","agr_gdp","dev_agri","dev_env","pop_den","armi","cpi","nfi","rice_med","rub_med","corn_med","sug_med","for_prod","prod_rice","prod_rub","prod_cass","prod_corn","prod_sug","for_rem","time"
"2","1994",0.0899999999965075,NA,NA,14.8,NA,NA,-97.52,1.62,1.92,3.8,-10.32,110.79,41.7,330,5,47.5,304000,19.1,24.8,17.6,-6.70000000000002,131.6,103971.33,-1277.57845849803
"3","1995",1826.10000000001,20.610181,NA,81.8,1.2,0.399999999999999,58.27,-1.84,1.87,-1.40000000000001,70.11,-44.99,71.5,475,17,25,26000,62.9,106.3,-3.40000000000001,38.6,624.9,102145.23,598.783212874089
"4","1996",570.059999999998,9.39071759999996,-3.668300917,143,-0.199999999999999,-1.4,168.96,1.48,1.81,-1.8,-4.63999999999999,17.37,1.09999999999997,-220,52,-30,-60000,-33.1,-61.7,-36.6,-39.4,-339.6,101575.17,-606.905115753813
"5","1997",1015.28999999999,3.86647470000003,-1.646020936,-125.6,1.8,-1,-97.07,-0.97,1.73999999999999,-5.2,-0.78000000000003,-15.79,-21.6,-380,-57,-13.33,10000,-6,-70.9,-39.1,-16.6,-406.7,100559.88,-111.323444381711
"6","1998",1139.49000000001,6.95114430000001,0.856574492,74.7,0.199999999999999,-0.100000000000001,-173.83,0.59,1.67,-15.7,-0.389999999999986,17.26,-7.19999999999999,-315,-16,-53.33,-30000,-15.5,-110.2,54.5,21.8,-635.4,99420.39,63.2282269904065
"7","1999",1897.2,36.1884362,8.036802171,-10.6,1.3,-3.4,271.94,5.34,1.58,3.7,34.58,-17.71,-60.7,-90,-12,-58.34,-153000,-47.3,-1.69999999999999,-12.4,28.7,-4,97523.19,871.289898362504
"8","2000",1529.28,32.9141036,-1.730160171,-83.7,3.4,-2.2,-12.62,-2.9,1.48,0.5,-4.38999999999999,-16.9399999999999,-51.9,40,1,40.84,-748000,-14,-20.4,-10.7,-23.6,-123.1,95993.91,553.721569734612
"9","2001",1241.28,22.7667277,-2.984066164,0.900000000000006,0.800000000000001,-1.9,-186.38,26.02,1.38,-8.4,0.629999999999995,-86.47,-20.7,-75,-1,10.83,-71000,8.90000000000001,-3.19999999999999,17,-40.1,-16.3,94752.63,316.073241106718
"10","2002",1328.31,20.9720144,-0.660123654,-4.30000000000001,2.2,-2.9,-79.91,-19.34,1.29000000000001,2.4,-18.01,-62.32,18.5,245,6,-38.33,79000,14.9,0.0999999999999943,15.5,-48.5,1.5,93424.32,453.454912478823
"11","2003",511.650000000009,31.6419857,2.042596072,-61.1,0.800000000000001,0.5,104.98,3.96,1.2,5.8,61.79,36.05,7.5,210,10,4.16000000000003,0,-14.9,-1,-32.7,22.5,-6,92912.67,-312.85341614906
"12","2004",1157.49000000001,43.3867484,1.90229023,47.4,1.4,-3.2,167.19,-9.71,1.16,3.2,-28,-137.83,38.7,235,4,2.5,0,28.3,10.4,85.6,27.9,61.0999999999999,91755.18,383.338255223043
"13","2005",757.529999999999,63.1635632,2.920327571,249.8,-0.0999999999999979,0.599999999999998,93.41,7.01,1.14999999999999,4.6,107.26,101.99,49.3,255,-13,60,-20000,13.4,9.69999999999999,14.2,10.9,56.1000000000001,90997.65,33.7299265951429
"14","2006",400.949999999997,55.74316,-2.393392177,102,1.8,-1.4,-234.98,28.47,1.13000000000001,10.3,40.15,7.84000000000003,18.5,535,15,109.17,0,-10.4,16,-29.5,13.3,91.5,90596.7,-272.498402032753
"15","2007",254.520000000004,57.4104932,-0.508400174,384.1,-0.400000000000002,-1.3,-40.91,-4.06,1.11,6.8,27.47,-45.17,19.8,190,52,-105.83,93000,41,31.8,-26.5,90.4,182.3,90342.18,-368.57673066064
"16","2008",521.189999999988,37.2215154,-3.458218548,-22,-0.699999999999999,-0.199999999999999,-23.72,-32.77,1.13,8.7,55.53,181.97,322.4,555,70,60.83,-50000,70.4,69.3,-29.1,20.9,397,89820.99,-51.55505928855
"17","2009",354.150000000009,-10.7120174,-6.527903767,83.1,-0.800000000000001,1.5,80.05,7.8,1.16,-7.2,26.79,-0.799999999999955,-85.7,-1090,-68,117.5,-10000,-33.1,-15.7,-82.6,-59,617.1,89466.84,-168.243387916423
"18","2010",459.62999999999,32.7058023,5.74757338,414.1,-0.0999999999999979,-0.699999999999999,46.08,24.11,1.21000000000001,17.2,46.9200000000001,48.55,-79.4999999999999,1830,0,69.17,170000,29.4,13.3,47,62.3,266.3,89007.21,-12.4117165443354
"19","2011",628.200000000012,42.2747309,1.037298175,31,1.8,-1,172.94,17.47,1.25999999999999,22,90.75,-180.71,49.8,1280,128,104.16,-4000,24.1,56.4,55.6,40.8,-581.7,88379.01,206.509954827792
"20","2012",319.5,46.1722695000001,0.195990757,461.5,0.600000000000001,-0.699999999999999,26.28,25.62,1.32000000000001,-20.7,22.89,-33.84,27.6999999999999,-1630,1,-98.33,0,0,10.1,-25,9.79999999999995,1406.2,88059.51,-51.8383738001132
"21","2013",457.559999999998,48.9409224,0.0221096169999999,37.4000000000001,0.899999999999999,-1.4,134.04,-33.13,1.36,-5.89999999999999,6.38,-18.08,-42.1999999999999,-475,-15,-85,100000,1.89999999999998,2.80000000000001,1.19999999999999,2.20000000000005,25.7000000000003,87601.95,136.57329757199
"22","2014",107.910000000003,49.8525225999999,-0.198190212,-152.3,0.800000000000001,-1.5,336.94,-7,1.37,-3.5,-7.60000000000002,-13.54,-94.6,-715,-90,-15.83,150000,-0.899999999999977,-1.19999999999999,-0.5,-1,-11.4000000000001,87494.04,-162.725031055898
"23","2015",0.0899999999965075,51.8786367,-0.0685496079999997,-19.0999999999999,1.4,-1.5,-628.45,-1.15,1.36,-8.60000000000001,7.57000000000005,-10.84,-43.5,-360,-21,-79.17,138000,-3.90000000000003,-6,-2.5,-4.5,-53.5999999999999,87493.95,-220.193359683799
