"","for_cov","time","gdp.lag1","gdp.lag2","gdp_gr.lag1","gdp_gr.lag2","fdi.lag1","fdi.lag2","ind_gdp.lag1","ind_gdp.lag2","agr_gdp.lag1","agr_gdp.lag2","dev_agr.lag1","dev_agr.lag2","dev_env.lag1","dev_env.lag2","pop_den.lag1","pop_den.lag2","for_rem"
"4",1015.28999999999,-111.323444381711,9.39071759999996,20.610181,-3.668300917,NA,143,81.8,-0.199999999999999,1.2,-1.4,0.399999999999999,168.96,58.27,1.48,-1.84,1.81,1.87,100559.88
"5",1139.49000000001,63.2282269904065,3.86647470000003,9.39071759999996,-1.646020936,-3.668300917,-125.6,143,1.8,-0.199999999999999,-1,-1.4,-97.07,168.96,-0.97,1.48,1.73999999999999,1.81,99420.39
"6",1897.2,871.289898362504,6.95114430000001,3.86647470000003,0.856574492,-1.646020936,74.7,-125.6,0.199999999999999,1.8,-0.100000000000001,-1,-173.83,-97.07,0.59,-0.97,1.67,1.73999999999999,97523.19
"7",1529.28,553.721569734612,36.1884362,6.95114430000001,8.036802171,0.856574492,-10.6,74.7,1.3,0.199999999999999,-3.4,-0.100000000000001,271.94,-173.83,5.34,0.59,1.58,1.67,95993.91
"8",1241.28,316.073241106718,32.9141036,36.1884362,-1.730160171,8.036802171,-83.7,-10.6,3.4,1.3,-2.2,-3.4,-12.62,271.94,-2.9,5.34,1.48,1.58,94752.63
"9",1328.31,453.454912478823,22.7667277,32.9141036,-2.984066164,-1.730160171,0.900000000000006,-83.7,0.800000000000001,3.4,-1.9,-2.2,-186.38,-12.62,26.02,-2.9,1.38,1.48,93424.32
"10",511.650000000009,-312.85341614906,20.9720144,22.7667277,-0.660123654,-2.984066164,-4.30000000000001,0.900000000000006,2.2,0.800000000000001,-2.9,-1.9,-79.91,-186.38,-19.34,26.02,1.29000000000001,1.38,92912.67
"11",1157.49000000001,383.338255223043,31.6419857,20.9720144,2.042596072,-0.660123654,-61.1,-4.30000000000001,0.800000000000001,2.2,0.5,-2.9,104.98,-79.91,3.96,-19.34,1.2,1.29000000000001,91755.18
"12",757.529999999999,33.7299265951429,43.3867484,31.6419857,1.90229023,2.042596072,47.4,-61.1,1.4,0.800000000000001,-3.2,0.5,167.19,104.98,-9.71,3.96,1.16,1.2,90997.65
"13",400.949999999997,-272.498402032753,63.1635632,43.3867484,2.920327571,1.90229023,249.8,47.4,-0.0999999999999979,1.4,0.599999999999998,-3.2,93.41,167.19,7.01,-9.71,1.14999999999999,1.16,90596.7
"14",254.520000000004,-368.57673066064,55.74316,63.1635632,-2.393392177,2.920327571,102,249.8,1.8,-0.0999999999999979,-1.4,0.599999999999998,-234.98,93.41,28.47,7.01,1.13000000000001,1.14999999999999,90342.18
"15",521.189999999988,-51.55505928855,57.4104932,55.74316,-0.508400174,-2.393392177,384.1,102,-0.400000000000002,1.8,-1.3,-1.4,-40.91,-234.98,-4.06,28.47,1.11,1.13000000000001,89820.99
"16",354.150000000009,-168.243387916423,37.2215154,57.4104932,-3.458218548,-0.508400174,-22,384.1,-0.699999999999999,-0.400000000000002,-0.199999999999999,-1.3,-23.72,-40.91,-32.77,-4.06,1.13,1.11,89466.84
"17",459.62999999999,-12.4117165443354,-10.7120174,37.2215154,-6.527903767,-3.458218548,83.1,-22,-0.800000000000001,-0.699999999999999,1.5,-0.199999999999999,80.05,-23.72,7.8,-32.77,1.16,1.13,89007.21
"18",628.200000000012,206.509954827792,32.7058023,-10.7120174,5.74757338,-6.527903767,414.1,83.1,-0.0999999999999979,-0.800000000000001,-0.699999999999999,1.5,46.08,80.05,24.11,7.8,1.21000000000001,1.16,88379.01
"19",319.5,-51.8383738001132,42.2747309,32.7058023,1.037298175,5.74757338,31,414.1,1.8,-0.0999999999999979,-1,-0.699999999999999,172.94,46.08,17.47,24.11,1.25999999999999,1.21000000000001,88059.51
"20",457.559999999998,136.57329757199,46.1722695000001,42.2747309,0.195990757,1.037298175,461.5,31,0.600000000000001,1.8,-0.699999999999999,-1,26.28,172.94,25.62,17.47,1.32000000000001,1.25999999999999,87601.95
"21",107.910000000003,-162.725031055898,48.9409224,46.1722695000001,0.0221096169999999,0.195990757,37.4000000000001,461.5,0.899999999999999,0.600000000000001,-1.4,-0.699999999999999,134.04,26.28,-33.13,25.62,1.36,1.32000000000001,87494.04
"22",0.0899999999965075,-220.193359683799,49.8525225999999,48.9409224,-0.198190212,0.0221096169999999,-152.3,37.4000000000001,0.800000000000001,0.899999999999999,-1.5,-1.4,336.94,134.04,-7,-33.13,1.37,1.36,87493.95
