year,for_cov_area,for_cov_perc,for_cov_roc,gdp,gdp_gr,gni,fdi,ind_gdp,agr_gdp,dev_agri,dev_env,pop_den,armi,cpi,nfi,rice_med,rub_med,corn_med,sug_med,for_prod,prod_rice,prod_rub,prod_cass,prod_corn,prod_sug,for_rem
1993,103971.42,100,NA,509.9874554,,1015,54.1,8,66.4,161.88,0.38,55.07,72.7,214.53,529.97,219.6,820,101,220.83,850000,130.2,346.3,193.9,159.9,1965.8,103971.42
1994,103971.33,99.99991344,0.000087,321.2812326,-37.00213031,1024,68.9,14,44,64.36,2,56.99,76.5,204.21,640.76,261.3,1150,106,268.33,1154000,149.3,371.1,211.5,153.2,2097.4,103971.33
1995,102145.23,98.2435654,1.756348,341.8914136,6.414996866,1084,150.7,15.2,44.4,122.63,0.16,58.86,75.1,274.32,595.77,332.8,1625,123,293.33,1180000,212.2,477.4,208.1,191.8,2722.3,102145.23
1996,101575.17,97.69528011,0.548285,351.2821312,2.746695949,1106,293.7,15,43,291.59,1.64,60.67,73.3,269.68,613.14,333.9,1405,175,263.33,1120000,179.1,415.7,171.5,152.4,2382.7,101575.17
1997,100559.88,96.71877137,0.976509,355.1486059,1.100675013,1133,168.1,16.8,42,194.52,0.67,62.41,68.1,268.9,597.35,312.3,1025,118,250,1130000,173.1,344.8,132.4,135.8,1976,100559.88
1998,99420.39,95.62280673,1.095965,362.0997502,1.957249505,1148,242.8,17,41.9,20.69,1.26,64.08,52.4,268.51,614.61,305.1,710,102,196.67,1100000,157.6,234.6,186.9,157.6,1340.6,99420.39
1999,97523.19,93.79807451,1.824732,398.2881864,9.994051676,1250,232.2,18.3,38.5,292.63,6.6,65.66,56.1,303.09,596.9,244.4,620,90,138.33,947000,110.3,232.9,174.5,186.3,1336.6,97523.19
2000,95993.91,92.32720877,1.470866,431.20229,8.263891505,1347,148.5,21.7,36.3,280.01,3.7,67.14,56.6,298.7,579.96,192.5,660,91,179.17,199000,96.3,212.5,163.8,162.7,1213.5,95993.91
2001,94752.63,91.13334222,1.193867,453.9690177,5.279825341,1414,149.4,22.5,34.4,93.63,29.72,68.52,48.2,299.33,493.49,171.8,585,90,190,128000,105.2,209.3,180.8,122.6,1197.2,94752.63
2002,93424.32,89.85576998,1.277572,474.9410321,4.619701687,1467,145.1,24.7,31.5,13.72,10.38,69.81,50.6,281.32,431.17,190.3,830,96,151.67,207000,120.1,209.4,196.3,74.1,1198.7,93424.32
2003,92912.67,89.36366359,0.492106,506.5830178,6.662297759,1574,84,25.5,32,118.7,14.34,71.01,56.4,343.11,467.22,197.8,1040,106,155.83,207000,105.2,208.4,163.6,96.6,1192.7,92912.67
2004,91755.18,88.2503865,1.113277,549.9697662,8.564587989,1704,131.4,26.9,28.8,285.89,4.63,72.17,59.6,315.11,329.39,236.5,1275,110,158.33,207000,133.5,218.8,249.2,124.5,1253.8,91755.18
2005,90997.65,87.52179205,0.728594,613.1333294,11.48491556,1889,381.2,26.8,29.4,379.3,11.64,73.32,64.2,422.37,431.38,285.8,1530,97,218.33,187000,146.9,228.5,263.4,135.4,1309.9,90997.65
2006,90596.7,87.13615722,0.385635,668.8764894,9.091523383,2062,483.2,28.6,28,144.32,40.11,74.45,74.5,462.52,439.22,304.3,2065,112,327.5,187000,136.5,244.5,233.9,148.7,1401.4,90596.7
2007,90342.18,86.89135918,0.244798,726.2869826,8.583123209,2256,867.3,28.2,26.7,103.41,36.05,75.56,81.3,489.99,394.05,324.1,2255,164,221.67,280000,177.5,276.3,207.4,239.1,1583.7,90342.18
2008,89820.99,86.3900772,0.501282,763.508498,5.124904661,2355,845.3,27.5,26.5,79.69,3.28,76.69,90,545.52,576.02,646.5,2810,234,282.5,230000,247.9,345.6,178.3,260,1980.7,89820.99
2009,89466.84,86.04945474,0.340622,752.7964806,-1.402999106,2314,928.4,26.7,28,159.74,11.08,77.85,82.8,572.31,575.22,560.8,1720,166,400,220000,214.8,329.9,95.7,201,2597.8,89466.84
2010,89007.21,85.60738134,0.442073,785.5022829,4.344574274,2410,1342.5,26.6,27.3,205.82,35.19,79.06,100,619.23,623.77,481.3,3550,166,469.17,390000,244.2,343.2,142.7,263.3,2864.1,89007.21
2011,88379.01,85.00317683,0.604205,827.7770138,5.381872449,2534,1373.5,28.4,26.3,378.76,52.66,80.32,122,709.98,443.06,531.1,4830,294,573.33,386000,268.3,399.6,198.3,304.1,2282.4,88379.01
2012,88059.51,84.69588085,0.307296,873.9492833,5.577863206,2661,1835,29,25.6,405.04,78.28,81.64,101.3,732.87,409.22,558.8,3200,295,475,386000,268.3,409.7,173.3,313.9,3688.6,88059.51
2013,87601.95,84.25579837,0.440082,922.8902057,5.599972823,2787,1872.4,29.9,24.2,539.08,45.15,83,95.4,739.25,391.14,516.6,2725,280,390,486000,270.2,412.5,174.5,316.1,3714.3,87601.95
2014,87494.04,84.15201024,0.103788,972.7427283,5.401782611,2945,1720.1,30.7,22.7,876.02,38.15,84.37,91.9,731.65,377.6,422,2010,190,374.17,636000,269.3,411.3,174,315.1,3702.9,87494.04
2015,87493.95,84.15192367,0.000087,1024.621365,5.333233003,3086,1701,32.1,21.2,247.57,37,85.73,83.3,739.22,366.76,378.5,1650,169,295,774000,265.4,405.3,171.5,310.6,3649.3,87493.95
