Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","1993","1993","1000 ha","70.6","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","1994","1994","1000 ha","71.8","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","1995","1995","1000 ha","73","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","1996","1996","1000 ha","74.2","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","1997","1997","1000 ha","75.4","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","1998","1998","1000 ha","76.6","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","1999","1999","1000 ha","77.8","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2000","2000","1000 ha","79","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2001","2001","1000 ha","78","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2002","2002","1000 ha","77","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2003","2003","1000 ha","76","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2004","2004","1000 ha","75","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2005","2005","1000 ha","74","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2006","2006","1000 ha","73","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2007","2007","1000 ha","72","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2008","2008","1000 ha","71","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2009","2009","1000 ha","70","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2010","2010","1000 ha","69","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2011","2011","1000 ha","69","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2012","2012","1000 ha","69","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2013","2013","1000 ha","69","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2014","2014","1000 ha","69","Fm","Manual Estimation"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2015","2015","1000 ha","69","Q","Official data reported on FAO Questionnaires from countries"
