"Gross national income (GNI) per capita (2011 PPP $)"
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"168"," Afghanistan","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1061","..","1098","..","1064","..","1138","..","1168","..","1289","..","1304","..","1538","..","1620","..","1679","..","1868","..","1875","..","1854","..","1825","..","1822","..","1824",".."
"68"," Albania","4502","..","3188","..","2925","..","3361","..","3742","..","4353","..","4793","..","4290","..","4728","..","5376","..","5809","..","6336","..","6585","..","7009","..","7418","..","7862","..","8409","..","8963","..","9193","..","9397","..","9839","..","10210","..","10301","..","10648","..","10787","..","11083","..","11512","..","11886",".."
"85"," Algeria","9910","..","9384","..","9391","..","9103","..","8784","..","8841","..","9007","..","9038","..","9438","..","9533","..","9637","..","10070","..","10388","..","11006","..","11244","..","11537","..","11684","..","12358","..","12577","..","12547","..","12876","..","12853","..","12874","..","12921","..","13150","..","13338","..","13809","..","13802",".."
"35"," Andorra","39679","..","39137","..","38014","..","36337","..","36190","..","36505","..","37899","..","41357","..","42801","..","44398","..","44215","..","44886","..","45943","..","49328","..","50968","..","52917","..","53867","..","52786","..","47574","..","45492","..","43061","..","41402","..","41386","..","42376","..","44197","..","45260","..","46252","..","47574","a"
"147"," Angola","2050","..","2005","..","1964","..","1439","..","1102","..","1880","..","2215","..","2472","..","2447","..","2295","..","2443","..","2668","..","3088","..","3123","..","3250","..","3504","..","3905","..","4873","..","4756","..","5770","..","5421","..","5361","..","5393","..","5797","..","6075","..","6251","..","5956","..","5790",".."
"70"," Antigua and Barbuda","14765","..","15477","..","15523","..","16271","..","16887","..","15710","..","16391","..","16973","..","17371","..","17548","..","18837","..","17602","..","16841","..","17813","..","18644","..","19449","..","21538","..","23421","..","23028","..","20068","..","18686","..","17962","..","18247","..","18337","..","18933","..","19557","..","20302","..","20764","b"
"47"," Argentina","10376","..","11680","..","13051","..","13713","..","14306","..","13675","..","14225","..","15185","..","15540","..","14827","..","14538","..","13716","..","11513","..","12560","..","13610","..","14963","..","16077","..","17462","..","18000","..","16660","..","18083","..","19074","..","18779","..","19077","..","18429","..","18437","..","17857","..","18461",".."
"83"," Armenia","3518","..","3327","..","1575","..","1684","..","1990","..","2169","..","2400","..","2588","..","2723","..","2826","..","3006","..","3325","..","3811","..","4354","..","4821","..","5594","..","6415","..","7409","..","8019","..","6803","..","7038","..","7271","..","7810","..","8193","..","8330","..","8517","..","8350","..","9144",".."
"3"," Australia","27790","..","27191","..","27030","..","28178","..","29123","..","29536","..","30245","..","31143","..","32300","..","33554","..","34536","..","34753","..","35736","..","36313","..","37299","..","37638","..","38042","..","38971","..","39729","..","39888","..","39920","..","40210","..","41486","..","42123","..","42490","..","43138","..","43637","..","43560",".."
"20"," Austria","31587","..","32192","..","32442","..","32368","..","32951","..","33659","..","34520","..","35057","..","36218","..","37059","..","38502","..","38644","..","39405","..","39716","..","40597","..","41196","..","42600","..","43896","..","44815","..","42640","..","43700","..","44603","..","44597","..","44420","..","44380","..","43984","..","44443","..","45415",".."
"80"," Azerbaijan","8706","..","8512","..","..","..","..","..","3893","..","3387","..","3363","..","3562","..","3880","..","4105","..","4314","..","4692","..","5130","..","5658","..","6017","..","6940","..","8941","..","10495","..","12383","..","14364","..","15246","..","14676","..","15107","..","15903","..","16480","..","16334","..","15751","..","15600","b"
"54"," Bahamas","29221","..","27451","..","26633","..","25872","..","26217","..","31159","..","34305","..","21549","..","22812","..","23698","..","24120","..","24698","..","24255","..","23701","..","23816","..","23631","..","24027","..","23688","..","23338","..","22088","..","22072","..","22026","..","28845","..","28360","..","27575","..","27602","..","26632","..","26681",".."
"43"," Bahrain","37622","..","37353","..","41426","..","43614","..","41408","..","42395","..","42866","..","41429","..","42520","..","42881","..","44452","..","42912","..","41256","..","41847","..","42045","..","42678","..","42372","..","42694","..","41153","..","37212","..","37244","..","35442","..","36142","..","37628","..","36607","..","42178","..","41918","..","41580",".."
"136"," Bangladesh","1320","..","1334","..","1378","..","1416","..","1445","..","1485","..","1513","..","1550","..","1597","..","1641","..","1698","..","1747","..","1796","..","1849","..","1921","..","2018","..","2150","..","2290","..","2426","..","2525","..","2641","..","2774","..","2933","..","3062","..","3170","..","3334","..","3509","..","3677",".."
"58"," Barbados","13612","..","13074","..","12154","..","12118","..","12540","..","12686","..","13128","..","13769","..","13275","..","13259","..","14393","..","13912","..","13915","..","14208","..","14305","..","14783","..","15353","..","15869","..","15663","..","15168","..","15408","..","15411","..","15384","..","15352","..","15320","..","15413","..","15622","..","15843","b"
"53"," Belarus","8428","..","8323","..","7508","..","6922","..","6108","..","5482","..","5662","..","6311","..","6872","..","7154","..","7602","..","7998","..","8473","..","9167","..","10283","..","11337","..","12474","..","13507","..","14848","..","14736","..","15979","..","16815","..","17049","..","16863","..","17264","..","16228","..","15765","..","16323",".."
"17"," Belgium","30781","..","31342","..","31687","..","31564","..","32720","..","33350","..","33854","..","35060","..","35677","..","36822","..","38152","..","38062","..","38510","..","38714","..","39735","..","40281","..","41091","..","42179","..","42589","..","40410","..","42385","..","41665","..","42044","..","41602","..","41583","..","41727","..","41588","..","42156",".."
"106"," Belize","4984","..","5406","..","5925","..","6187","..","6008","..","5938","..","5808","..","5835","..","5756","..","5983","..","6481","..","6509","..","6685","..","7013","..","7016","..","7073","..","7208","..","6936","..","7022","..","7199","..","7035","..","7337","..","7377","..","7276","..","7330","..","7666","..","7419","..","7166",".."
"163"," Benin","1432","..","1449","..","1409","..","1470","..","1443","..","1482","..","1500","..","1549","..","1577","..","1615","..","1659","..","1694","..","1713","..","1718","..","1743","..","1730","..","1743","..","1791","..","1838","..","1823","..","1805","..","1817","..","1840","..","1919","..","1988","..","1980","..","2010","..","2061",".."
