fid,KHUM50_,KHUM50_ID,CODEKHUM,KHUM_NAME,PERIMETER,AREA,HISTO_50,HISTO_60,HISTO_61,HISTO_62,HISTO_70,HISTO_80,HISTO_90,HISTO_100
1,2,160800,160800,,259936.96,1560908692,14391,0,0,0,10,0,0,58
2,3,190303,190303,Santepheap,228067.48,1961870615,18387,121,0,0,15,0,0,2519
3,4,190305,190305,Thma Kaev,128885.25,375478199.2,1516,458,0,0,4,0,0,1728
4,5,220405,220405,Ou Smach,25093.65,21096708.89,34,4,0,0,0,0,0,23
5,6,220403,220403,Kriel,156383.69,1087584737,1249,3326,0,0,2,0,0,1570
6,7,130306,130306,Kantuot,170562.58,960649133.8,550,5250,0,0,10,0,0,2745
7,8,130301,130301,Choam Ksant,91086.81,352267594.1,161,1797,3,0,0,0,0,1302
8,9,220503,220503,Ou Svay,52587.19,161907778.9,289,249,0,0,4,0,0,338
9,10,160900,160900,,108642.62,339477983.8,3475,9,0,0,18,0,0,62
10,11,220203,220203,Kouk Khpos,74778.43,271216081.2,231,5,0,0,0,0,0,57
11,12,220502,220502,Ph'av,122715.37,470174420.4,2076,715,0,0,0,0,0,864
12,13,220504,220504,Preah Pralay,37292.35,68132702.67,37,178,0,0,7,0,0,171
13,14,220104,220104,Trapeang Prei,45270.4,113381861.3,175,50,0,0,0,0,0,23
14,15,190301,190301,Preaek Meas,141788.02,748114662.3,1274,1761,0,0,0,0,0,4031
15,16,220103,220103,Trapeang Tav,85797.94,342107917.2,649,973,0,0,0,0,0,624
16,17,220204,220204,Kouk Mon,87297.36,270757062,81,0,0,0,0,0,0,13
17,18,220101,220101,Anlong Veaeng,129692.33,392090365.2,1273,728,0,0,0,0,0,311
18,19,130302,130302,Tuek Kraham,170244.42,665506029.3,1309,1725,0,0,0,0,0,2613
19,20,220201,220201,Ampil,80609.93,364749600.9,200,0,0,0,0,0,0,27
20,21,220505,220505,Tumnob Dach,56571.19,146506609.2,73,729,0,0,2,0,0,128
21,22,220401,220401,Bansay Reak,50388.33,117062325.4,33,5,0,0,0,0,0,0
22,23,220105,220105,Thlat,88304.85,210682696.3,823,464,0,0,0,0,0,439
23,24,220501,220501,Bak Anlung,63028.59,138321026,182,246,0,0,2,0,0,282
24,25,220106,220106,Lumtong,97070.52,474564185.8,916,1866,0,0,12,0,0,855
25,26,10701,10701,Banteay Chhmar,111201.76,460042544.2,91,0,0,0,0,0,0,8
26,27,130304,130304,Rumdaoh Srae,94033.87,318396778.5,15,1922,0,0,0,0,0,1173
27,28,130305,130305,Yeang,138783.05,680181397.9,858,2853,0,0,5,0,0,3087
28,29,160802,160802,Ta Veaeng Kraom,92305.77,264392101.5,1851,2,0,0,0,0,0,326
29,30,160905,160905,Kaoh Pang,70058.12,232129324.5,1962,9,0,0,20,0,0,202
