"","(Intercept)","corn_med","cpi","for_prod","nfi","rice_med","rub_med","sug_med","time","df","logLik","AICc","delta","weight"
"129",0.00178955097160092,NA,NA,NA,NA,NA,NA,NA,-1.7122040991916e-06,3,-163.398055574711,334.129444482756,0,0.193365361467559
"193",0.00185241451597252,NA,NA,NA,NA,NA,NA,-2.96470927079925e-06,-1.9257698988651e-06,4,-163.249117952648,336.851177081767,2.72173259901137,0.0495863286861192
"145",0.00185016185474037,NA,NA,NA,NA,-2.08257818345458e-06,NA,NA,-1.88553714690972e-06,4,-163.249765957575,336.85247309162,2.7230286088643,0.0495542069095042
"161",0.00181762940113414,NA,NA,NA,NA,NA,-1.89365738137199e-07,NA,-1.74487970984791e-06,4,-163.338994500645,337.030930177761,2.90148569500474,0.045324087153347
"133",0.00180003674596997,NA,NA,3.439525229961e-10,NA,NA,NA,NA,-1.6485507716333e-06,4,-163.35441459663,337.06177036973,2.93232588697435,0.0446305463542835
"137",0.00181998579027403,NA,NA,NA,1.35659071310035e-06,NA,NA,NA,-1.7004342237885e-06,4,-163.360260553427,337.073462283325,2.94401780056927,0.0443703992536863
"130",0.00180874563005436,-2.14810602691316e-06,NA,NA,NA,NA,NA,NA,-1.75222006868986e-06,4,-163.365781655955,337.084504488381,2.95506000562523,0.0441261007493147
"131",0.00174826201699922,NA,2.05014340348951e-06,NA,NA,NA,NA,NA,-1.73940223191795e-06,4,-163.372403661501,337.097748499473,2.96830401671713,0.0438348628192799
"1",0.00133515642874786,NA,NA,NA,NA,NA,NA,NA,NA,2,-166.285603091249,337.202785129867,3.07334064711085,0.0415921372238048
"5",0.00144023979787008,NA,NA,1.32015060047093e-09,NA,NA,NA,NA,NA,3,-165.575036596856,338.483406527045,4.35396204428929,0.0219244059175525
"9",0.00142877085198993,NA,NA,NA,3.78434449667632e-06,NA,NA,NA,NA,3,-165.909742936185,339.152819205703,5.02337472294704,0.0156879688365636
"33",0.00135210439129404,NA,NA,NA,NA,NA,-1.65373140213908e-07,NA,NA,3,-166.225715429132,339.784764191597,5.65531970884092,0.0114377765494312
