"","(Intercept)","corn_med.lag2","cpi.lag2","for_prod.lag2","nfi.lag2","rice_med.lag2","rub_med.lag2","sug_med.lag2","time","df","logLik","AICc","delta","weight"
"129",0.00170883942740447,NA,NA,NA,NA,NA,NA,NA,-1.53577954818044e-06,3,-149.465412442792,306.430824885585,0,0.200887219085679
"1",0.00136506843290925,NA,NA,NA,NA,NA,NA,NA,NA,2,-152.057100464329,308.8200832816,2.3892583960149,0.0608319079730787
"133",0.00174031120128764,NA,NA,4.75811627096587e-10,NA,NA,NA,NA,-1.53522871370412e-06,4,-149.348057667663,309.362782001993,2.93195711640828,0.0463752120444271
"130",0.00176332963851196,-2.84034233253262e-06,NA,NA,NA,NA,NA,NA,-1.76201523792104e-06,4,-149.385293618662,309.43725390399,3.00642901840513,0.044680141551124
"131",0.00161887650713003,NA,3.52694600996026e-06,NA,NA,NA,NA,NA,-1.42357109940588e-06,4,-149.408464551491,309.483595769649,3.05277088406382,0.0436567630957383
"161",0.00173633285312617,NA,NA,NA,NA,NA,-1.50869910366167e-07,NA,-1.62949533062741e-06,4,-149.417067843263,309.500802353193,3.06997746760857,0.0432827822648216
"137",0.00170543701947325,NA,NA,NA,-5.59683580286316e-07,NA,NA,NA,-1.5425514177444e-06,4,-149.457833740598,309.582334147862,3.15150926227767,0.0415538019601925
"145",0.00170610625876921,NA,NA,NA,NA,1.92028998606373e-07,NA,NA,-1.52692347993737e-06,4,-149.464410063219,309.595486793104,3.16466190751964,0.041281427345681
"193",0.00170967839261301,NA,NA,NA,NA,NA,NA,-8.13970968874654e-08,-1.53818257444737e-06,4,-149.465275615317,309.5972178973,3.16639301171529,0.0412457115787991
"3",0.00119349459687662,NA,9.33182324934611e-06,NA,NA,NA,NA,NA,NA,3,-151.545234449829,310.590468899657,4.15964401407251,0.0251013503745036
"5",0.00143502658497929,NA,NA,1.05354705679623e-09,NA,NA,NA,NA,NA,3,-151.621586307065,310.74317261413,4.3123477285456,0.0232561540477537
"2",0.0013560452350682,6.65807228445143e-06,NA,NA,NA,NA,NA,NA,NA,3,-151.698623980686,310.897247961372,4.46642307578747,0.0215318258695987
"17",0.00135366425875234,NA,NA,NA,NA,2.91674588065732e-06,NA,NA,NA,3,-151.847272682185,311.19454536437,4.76372047878522,0.0185576742948197
"65",0.00135968328562678,NA,NA,NA,NA,NA,NA,1.45590166747469e-06,NA,3,-152.00736871225,311.5147374245,5.08391253891506,0.0158122883599998
"9",0.0013685238660927,NA,NA,NA,3.93219055997288e-07,NA,NA,NA,NA,3,-152.051912379776,311.603824759552,5.17299987396677,0.0151234075817733
"132",0.00165837437841821,-4.27918418778683e-06,5.12791668054391e-06,NA,NA,NA,NA,NA,-1.70561849795635e-06,5,-149.264989366037,312.815693017789,6.38486813220413,0.00825079521506121
"134",0.00177989854442255,-2.32683517075495e-06,NA,4.10024529862692e-10,NA,NA,NA,NA,-1.71751129779881e-06,5,-149.299234061499,312.884182408711,6.45335752312667,0.00797303234193545
"165",0.00176613827194588,NA,NA,4.60852271344154e-10,NA,NA,-1.4976533960145e-07,NA,-1.62615090303493e-06,5,-149.302734861496,312.891184008707,6.46035912312209,0.00794516915051796
"163",0.00162195144498868,NA,5.12238047577136e-06,NA,NA,NA,-2.44015651535588e-07,NA,-1.52127224713256e-06,5,-149.3032249198,312.892164125315,6.4613392397298,0.00794127650828896
"135",0.00166260147373422,NA,2.89448778043104e-06,4.26407831899148e-10,NA,NA,NA,NA,-1.44046754213656e-06,5,-149.311028182547,312.907770650809,6.47694576522446,0.00787954978926513
"141",0.00173675181059965,NA,NA,4.80250614430373e-10,-6.33205354340761e-07,NA,NA,NA,-1.54286875059475e-06,5,-149.338612606963,312.96293949964,6.53211461405516,0.00766516734530631
"197",0.00173693584543402,NA,NA,5.06516673112614e-10,NA,NA,NA,5.36793578067447e-07,-1.51991109090572e-06,5,-149.342548398133,312.970811081979,6.53998619639464,0.00763505813799731
"149",0.00174554942962054,NA,NA,4.92486137792353e-10,NA,-2.75790538631788e-07,NA,NA,-1.54886643442911e-06,5,-149.345944236984,312.977602759682,6.54677787409673,0.0076091746838353
"138",0.0017695891303685,-3.50344221725211e-06,NA,NA,-1.09161437046868e-06,NA,NA,NA,-1.82881892444456e-06,5,-149.352510542647,312.990735371009,6.55991048542421,0.00755937419855129
"146",0.00176115882647951,-3.58543789804674e-06,NA,NA,NA,1.12570765764215e-06,NA,NA,-1.76746918821126e-06,5,-149.357111352345,312.999936990405,6.56911210482048,0.00752467484020704
"162",0.00176396166579643,-2.33600520946148e-06,NA,NA,NA,NA,-5.68374577645834e-08,NA,-1.75692568386403e-06,5,-149.380958937236,313.047632160186,6.6168072746014,0.00734735227923496
"194",0.00176241219489373,-2.91229865509429e-06,NA,NA,NA,NA,NA,2.17992739010824e-07,-1.76108317324173e-06,5,-149.384324966784,313.054364219282,6.62353933369747,0.00732266245102053
"195",0.00160914157068029,NA,4.27013697151607e-06,NA,NA,NA,NA,-9.00910902170068e-07,-1.42623801652264e-06,5,-149.394489343045,313.074692971804,6.64386808621879,0.00724860914503543
"139",0.00160658412010569,NA,3.8152511939748e-06,NA,-7.90303412967759e-07,NA,NA,NA,-1.42336188375471e-06,5,-149.394907845086,313.075529975887,6.64470509030195,0.0072455762219961
"169",0.0017341713458875,NA,NA,NA,-6.95181191443666e-07,NA,-1.61033774119561e-07,NA,-1.64516907673783e-06,5,-149.404209477035,313.094133239784,6.66330835419961,0.00717849301404827
"147",0.00161910297687438,NA,3.58354594423862e-06,NA,NA,-1.18103685396669e-07,NA,NA,-1.42716889779941e-06,5,-149.408115958663,313.101946203041,6.67112131745591,0.0071505050657667
"225",0.00173443643747061,NA,NA,NA,NA,NA,-1.76653362902399e-07,6.25389457437346e-07,-1.62638251818804e-06,5,-149.410643881233,313.10700204818,6.6761771625948,0.00713245197065519
"177",0.0017314969247072,NA,NA,NA,NA,4.31534480001019e-07,-1.57880479432059e-07,NA,-1.6140761277434e-06,5,-149.411999908242,313.109714102199,6.67888921661438,0.00712278672778319
"7",0.00126434876022661,NA,8.42393584763367e-06,8.15659902901935e-10,NA,NA,NA,NA,NA,4,-151.229195282841,313.125057232349,6.69423234676418,0.00706835286929585
"6",0.00142520115252489,6.89398778245059e-06,NA,1.04628047772743e-09,NA,NA,NA,NA,NA,4,-151.259164344939,313.184995356545,6.75417047096045,0.00685966369187224
"153",0.00169853396820569,NA,NA,NA,-7.26972928632076e-07,4.11585875813664e-07,NA,NA,-1.52546908560808e-06,5,-149.453545318179,313.192804922073,6.76198003648784,0.00683293042309459
"201",0.0017060770467762,NA,NA,NA,-5.56832795764618e-07,NA,NA,-5.980952492855e-08,-1.54431050939552e-06,5,-149.457760861655,313.201236009025,6.77041112344,0.00680418653594681
"209",0.00170698784292341,NA,NA,NA,NA,1.94236864055509e-07,NA,-8.88070196127594e-08,-1.52943304248788e-06,5,-149.46424642859,313.214207142894,6.78338225730937,0.00676020032068452
"4",0.00121029251910364,5.27662039764254e-06,8.02925170812299e-06,NA,NA,NA,NA,NA,NA,4,-151.353793310643,313.374253287953,6.94342840236777,0.00624030743953543
"19",0.00119646044551639,NA,8.70176346605025e-06,NA,NA,2.20424111378731e-06,NA,NA,NA,4,-151.442673085279,313.552012837225,7.12118795164054,0.0057096040367621
"69",0.00143399592704359,NA,NA,1.16278791015211e-09,NA,NA,NA,2.23975737625037e-06,NA,4,-151.515831863402,313.698330393471,7.26750550788591,0.00530680997946947
"21",0.00141707459671789,NA,NA,9.00941316921484e-10,NA,1.99968988930783e-06,NA,NA,NA,4,-151.519889345465,313.706445357597,7.27562047201195,0.00528532131757695
"11",0.00118000520613318,NA,9.77098555700552e-06,NA,-6.16215555144823e-07,NA,NA,NA,NA,4,-151.533859096393,313.734384859453,7.3035599738684,0.00521200002768122
"67",0.0011917491876799,NA,9.475738651368e-06,NA,NA,NA,NA,-2.43480501135963e-07,NA,4,-151.544095120442,313.75485690755,7.32403202196537,0.00515892198754691
"35",0.00119387416045249,NA,9.28888481912194e-06,NA,NA,NA,9.4908326881033e-09,NA,NA,4,-151.54504020893,313.756747084526,7.32592219894093,0.00515404865299604
"13",0.00143591943149697,NA,NA,1.05148910671792e-09,1.17154685576289e-07,NA,NA,NA,NA,4,-151.621162629,313.908991924668,7.47816703908279,0.00477627107375698
"66",0.00134992632496326,7.03129489050204e-06,NA,NA,NA,NA,NA,1.51753348574747e-06,NA,4,-151.641983041171,313.950632749009,7.51980786342403,0.00467785522578343
"10",0.00136455789853622,6.81788377824502e-06,NA,NA,9.9336762484204e-07,NA,NA,NA,NA,4,-151.674209227546,314.015085121758,7.58426023617352,0.00452950894710252
"18",0.00135347013859972,5.52351863820799e-06,NA,NA,NA,1.05186521822579e-06,NA,NA,NA,4,-151.68018104718,314.027028761027,7.5962038754426,0.00450254014320188
"34",0.00135820820627817,7.45243378873447e-06,NA,NA,NA,NA,-7.50068858176101e-08,NA,NA,4,-151.686768064652,314.040202795971,7.60937791038646,0.00447297929839521
"81",0.00134913737369434,NA,NA,NA,NA,2.930186185053e-06,NA,1.20965668458579e-06,NA,4,-151.81071089046,314.288088447587,7.85726356200206,0.00395156566200435
"49",0.00135080487477949,NA,NA,NA,NA,2.76654636603449e-06,7.98032822038933e-08,NA,NA,4,-151.828030907352,314.322728481371,7.89190359578618,0.00388371377212039
"25",0.00135089701744389,NA,NA,NA,-2.95600937567206e-07,2.96013348856394e-06,NA,NA,NA,4,-151.84511265413,314.356891974926,7.92606708934119,0.0038179365512229
"73",0.00136162601384574,NA,NA,NA,2.02963330509767e-07,NA,NA,1.41286533378699e-06,NA,4,-152.006146744609,314.678960155885,8.24813527029983,0.00325006831577096
"8",0.0012864956305517,5.67884587610429e-06,6.93541190662066e-06,8.52935045436595e-10,NA,NA,NA,NA,NA,5,-151.016452810319,316.318619906352,9.88779502076682,0.00143167650848732
"70",0.00142322040735128,7.38664435130876e-06,NA,1.14993744487383e-09,NA,NA,NA,2.21587012859005e-06,NA,5,-151.14934815264,316.584410590994,10.1535857054097,0.00125351398937222
"23",0.00126310477366534,NA,7.94829203173408e-06,7.35644926347019e-10,NA,1.19591670714277e-06,NA,NA,NA,5,-151.198477838,316.682669961714,10.2518450761295,0.00119341758766786
"15",0.00124364256015165,NA,9.10668903667922e-06,8.17963480293056e-10,-9.45219790331233e-07,NA,NA,NA,NA,5,-151.206123785074,316.697961855862,10.2671369702775,0.00118432757511666
