,(Intercept),corn_med.lag2,cpi.lag2,for_prod.lag2,nfi.lag2,rice_med.lag2,rub_med.lag2,sug_med.lag2,time,df,logLik,AICc,delta,weight
129,692.5357351,,,,,,,,1.179391432,3,-141.339203,290.178406,0,0.22144306
131,757.9199504,,-2.43144183,,,,,,1.132458064,4,-140.3676413,291.4019493,1.223543288,0.120108301
137,695.7525866,,,,0.558994114,,,,1.19893801,4,-141.0923018,292.8512703,2.672864335,0.058191153
130,702.4461632,-1.0000301,,,,,,,1.151101351,4,-141.1348689,292.9364044,2.757998386,0.055766108
193,694.8474093,,,,,,,-0.25588375,1.175051935,4,-141.3032996,293.2732658,3.094859779,0.047121794
133,691.8240733,,,-7.04E-05,,,,,1.162582812,4,-141.3206443,293.3079552,3.12954925,0.046311526
161,691.6014841,,,,,,0.00884293,,1.182100996,4,-141.3342713,293.3352093,3.156803326,0.045684717
145,692.8295811,,,,,-0.017514283,,,1.178396763,4,-141.3389556,293.3445778,3.16617186,0.045471218
139,769.9214086,,-2.714751557,,0.761625975,,,,1.153621513,5,-139.8704082,294.0265308,3.848124794,0.032333476
163,763.3846465,,-2.873348197,,,,0.06075434,,1.142543829,5,-140.1423515,294.5704173,4.392011355,0.024634794
147,757.6209016,,-2.592724997,,,0.27633046,,,1.145038195,5,-140.3040607,294.8938357,4.715429732,0.020956537
195,761.718781,,-2.683704254,,,,,0.330392334,1.133191798,5,-140.3126277,294.9109697,4.732563696,0.02077777
132,757.958905,-0.349955293,-2.303922163,,,,,,1.125019571,5,-140.3431214,294.9719571,4.793551104,0.020153741
135,757.2155089,,-2.432022128,-7.13E-05,,,,,1.11544021,5,-140.3467018,294.9791179,4.800711924,0.020081712
138,703.1913804,-0.801421523,NA,NA,0.471518441,NA,NA,NA,1.173207614,5,-140.964463,296.2146404,6.036234365,0.010827057
162,701.5744548,-1.447215177,NA,NA,NA,NA,0.050197787,NA,1.153831941,5,-141.013254,296.3122223,6.133816271,0.010311475
201,699.3630754,NA,NA,NA,0.607181127,NA,NA,-0.368956932,1.194365896,5,-141.0175064,296.320727,6.142321054,0.01026772
153,700.5004377,NA,NA,NA,0.651961694,-0.251101084,NA,NA,1.18792834,5,-141.0469899,296.3796941,6.201288077,0.00996941
141,694.9453019,NA,NA,-8.66E-05,0.570721039,NA,NA,NA,1.17868703,5,-141.0636559,296.4130261,6.234620139,0.009804637
146,700.2911897,-1.337208993,NA,NA,NA,0.32760894,NA,NA,1.160168351,5,-141.0697769,296.4252681,6.246862076,0.009744806
169,694.88335,NA,NA,NA,0.558214879,NA,0.008185107,NA,1.201418762,5,-141.0879716,296.4616575,6.283251486,0.009569106
134,701.8590518,-1.033646894,NA,-9.11E-05,NA,NA,NA,NA,1.128414935,5,-141.1034087,296.4925317,6.314125754,0.00942252
194,703.9906094,-0.970318731,NA,NA,NA,NA,NA,-0.203550308,1.148489881,5,-141.111878,296.5094702,6.33106425,0.009343056
225,693.3000613,NA,NA,NA,NA,NA,0.025803108,-0.386360474,1.180745533,5,-141.2704669,296.8266481,6.648242129,0.007972869
