"","(Intercept)","prod_cass","prod_corn","prod_rub","prod_sug","time","df","logLik","AICc","delta","weight"
"17",0.00178955097160092,NA,NA,NA,NA,-1.7122040991916e-06,3,-163.398055574711,334.129444482756,0,0.348019593220958
"19",0.00179820820993153,NA,4.7702322680606e-06,NA,NA,-1.84177200651121e-06,4,-163.253537844151,336.860016864772,2.7305723820167,0.0888520466779576
"25",0.00177496519603485,NA,NA,NA,4.83161183929756e-07,-1.70497418484219e-06,4,-163.261766305096,336.876473786662,2.74702930390589,0.0881239308266851
"18",0.00182526221604517,-3.87431605883749e-06,NA,NA,NA,-1.77917769415342e-06,4,-163.298574951232,336.950091078934,2.82064659617788,0.0849391809763323
"21",0.00178645723900086,NA,NA,2.87258359850741e-06,NA,-1.72221764828371e-06,4,-163.319416272714,336.991773721899,2.86232923914315,0.0831872558302156
"1",0.00133515642874786,NA,NA,NA,NA,NA,2,-166.285603091249,337.202785129867,3.07334064711085,0.0748576609996785
"2",0.00135855568022117,-5.05402414686289e-06,NA,NA,NA,NA,3,-166.12350356503,339.580340463394,5.45089598063834,0.0228011458261258
"9",0.00132426485844071,NA,NA,NA,4.15438477775005e-07,NA,3,-166.173470212502,339.680273758338,5.55082927558215,0.0216898442212176
"3",0.00132671893209604,NA,1.56438316243413e-06,NA,NA,NA,3,-166.273054921461,339.879443176254,5.74999869349864,0.0196339347470785
"5",0.00133423515378864,NA,NA,4.60155415113298e-07,NA,NA,3,-166.283875867365,339.901085068063,5.77164058530758,0.0194226223631532
"20",0.0018384325948578,-4.66992809963449e-06,5.18499952564587e-06,NA,NA,-1.92030101287317e-06,5,-163.117632980091,339.985265960181,5.85582147742571,0.0186220812734651
"27",0.00178242792447728,NA,4.24798839835561e-06,NA,4.49411766049491e-07,-1.8160933197514e-06,5,-163.147181383893,340.044362767786,5.91491828502996,0.0180798785583066
"26",0.00180555205478991,-2.87934057051296e-06,NA,NA,3.8877935452883e-07,-1.76067273509289e-06,5,-163.213044788137,340.176089576274,6.04664509351772,0.0169274444002297
"22",0.0018243907156194,-3.980121443451e-06,NA,2.90518344606114e-06,NA,-1.79596492771406e-06,5,-163.213144482784,340.176288965568,6.0468444828125,0.0169257569087474
"23",0.00179525029306283,NA,4.05703988877823e-06,1.8448795261597e-06,NA,-1.83004984680559e-06,5,-163.226897344236,340.203794688472,6.07435020571671,0.016694572685168
"29",0.00177561372880297,NA,NA,8.94409773853555e-07,4.17410845095178e-07,-1.70767006008493e-06,5,-163.256676989046,340.263353978091,6.13390949533567,0.0162047439028591
"4",0.00134194519681809,-6.45052631145773e-06,4.27849373076574e-06,NA,NA,NA,4,-166.047020581519,342.446982339508,8.31753785675255,0.00543842693217991
"10",0.00134704585870441,-4.07592757814669e-06,NA,NA,2.662925630845e-07,NA,4,-166.081643367671,342.516227911814,8.38678342905774,0.00525335576647064
"6",0.0013575179645894,-5.04812346596184e-06,NA,5.0466955546649e-07,NA,NA,4,-166.121190482677,342.595322141824,8.46587765906838,0.00504965513579813
"13",0.0013250272361642,NA,NA,-1.72407858066978e-06,5.1802027202948e-07,NA,4,-166.151993038702,342.656927253874,8.52748277111812,0.00489648399244154
"11",0.00131703725394049,NA,1.36045242988616e-06,NA,4.11243029538473e-07,NA,4,-166.16424491546,342.681431007391,8.55198652463491,0.00483685887963466
"7",0.00132666354137493,NA,1.60009252967306e-06,-6.85320356582352e-08,NA,NA,4,-166.273024270626,342.898989717723,8.76954523496761,0.00433831560384376
"28",0.0018216057854713,-3.86101735691203e-06,4.7729682443533e-06,NA,3.26126783020815e-07,-1.89485163236072e-06,6,-163.064231117234,343.728462234468,9.59901775171198,0.0028655202009378
"24",0.00183729277374585,-4.6991846430501e-06,4.54843421807157e-06,1.90831052341221e-06,NA,-1.91695505993439e-06,6,-163.087518721098,343.775037442197,9.64559295944116,0.00279956010876926
"31",0.00178213013309339,NA,4.42464842012022e-06,-5.84303619922073e-07,4.90835322405172e-07,-1.81824564391278e-06,6,-163.14541476828,343.890829536561,9.76138505380493,0.0026420793868093
"30",0.00181227160155625,-3.35896754962241e-06,NA,1.75829471615571e-06,2.4408455110728e-07,-1.7765958241711e-06,6,-163.193599455752,343.987198911505,9.85775442874916,0.00251779008448006
"12",0.0013346465853719,-5.57856954024142e-06,3.85644702808196e-06,NA,2.11233216747348e-07,NA,5,-166.022163577681,345.794327155362,11.6648826726063,0.00102001511340024
"8",0.00134191589239999,-6.5340419088882e-06,4.59761656881296e-06,-6.51927600806788e-07,NA,NA,5,-166.043944014073,345.837888028146,11.7084435453904,0.000998038933262471
"14",0.00134623847391672,-3.86095605153713e-06,NA,-7.91948316541076e-07,3.19603676813051e-07,NA,5,-166.077063566062,345.904127132125,11.7746826493691,0.000965525714482326
"15",0.00130992531564257,NA,2.94787684090425e-06,-2.90638379558796e-06,5.7789130912326e-07,NA,5,-166.118604672204,345.987209344408,11.857764861652,0.000926238377575416
"32",0.00182336480158545,-3.98467696083519e-06,4.64701137392641e-06,5.27690977216928e-07,2.84595128521801e-07,-1.89664071271879e-06,7,-163.062790529481,348.125581058961,13.9961365762055,0.000317966417363405
"16",0.00132968411451006,-5.29606809339859e-06,4.68810959076906e-06,-2.03959812694808e-06,3.35291355033557e-07,NA,6,-165.997729524704,349.595459049408,15.4660145666523,0.000152475934373029
