"","(Intercept)","prod_cass","prod_corn","prod_rub","prod_sug","time","df","logLik","AICc","delta","weight"
"17",748.975909090909,NA,NA,NA,NA,1,3,-158.081557674198,323.496448681729,0,0.328920743266576
"25",764.482729573332,NA,NA,NA,-0.202643332707641,0.998737267637215,4,-157.25531386938,324.86356891523,1.36712023350117,0.166044645844788
"21",753.289395383528,NA,NA,-1.60841861758678,NA,1.02099005636617,4,-157.529952285088,325.412845746646,1.91639706491708,0.126168496494104
"19",760.133109651791,NA,-1.62878840304853,NA,NA,1.00767654584249,4,-157.719657603077,325.792256382625,2.29580770089626,0.104366941120694
"18",749.053113346695,0.0758256083608337,NA,NA,NA,0.998424152192232,4,-158.080745756722,326.514432689915,3.01798400818632,0.0727351539437874
"27",774.074200033379,NA,-1.48491832187452,NA,-0.195061009579957,1.00578299571481,5,-156.932856464109,327.615712928217,4.11926424648851,0.0419376795701495
"29",763.470394408853,NA,NA,-0.85960961809002,-0.15928821474753,1.01022543547104,5,-157.128201875636,328.006403751272,4.50995506954285,0.0344958589033896
"26",765.669510418504,-0.892814766633199,NA,NA,-0.230031648339576,1.01712155033361,5,-157.149136214894,328.048272429788,4.55182374805895,0.0337812172642815
"23",759.037857714159,NA,-0.964903601199909,-1.28732028831641,NA,1.02134731438809,5,-157.420589634052,328.591179268104,5.09473058637491,0.0257504351663516
"22",753.412424445537,0.115707166038923,NA,-1.61036436072102,NA,1.01861076116225,5,-157.527965179258,328.805930358517,5.30948167678793,0.0231287395691857
"20",762.467281226719,0.689269624513593,-1.8670905600445,NA,NA,0.994474908499979,5,-157.658029297644,329.066058595287,5.56960991355834,0.0203079383846919
"31",772.700186270953,NA,-1.33072705253875,-0.321017827728217,-0.179657546366151,1.00934159093179,6,-156.918225481202,331.436450962404,7.94000228067478,0.00620785657575107
"28",773.706116102638,-0.347560036367341,-1.35640808579555,NA,-0.206379091501795,1.01232997143005,6,-156.918808914665,331.437617829329,7.94116914760031,0.00620423576084773
"30",764.573129127889,-0.698894832313476,NA,-0.712094907457365,-0.188167796565129,1.0226451945107,6,-157.066290425248,331.732580850496,8.2361321687676,0.00535350097871923
"24",760.741832553318,0.488617929717017,-1.16371640363953,-1.22937648337032,NA,1.01137343790243,6,-157.389425206101,332.378850412203,8.88240173047416,0.00387527239020588
"32",772.465746712274,-0.319951252505055,-1.22414147253613,-0.296625097417567,-0.191247006276992,1.01509809902222,7,-156.906390985783,335.812781971567,12.3163332898378,0.000696038833392274
"1",748.975909090909,NA,NA,NA,NA,NA,2,-169.973331865951,344.578242679271,21.0817939975419,8.69436487278069e-06
"2",752.061621665892,3.03061056471511,NA,NA,NA,NA,3,-169.494246945824,346.321827224981,22.8253785432521,3.63599509452808e-06
"9",765.009124165035,NA,NA,NA,-0.209522264110941,NA,3,-169.680800027788,346.694933388909,23.1984847071799,3.01720149717543e-06
"3",754.95721978057,NA,-0.873184042286299,NA,NA,NA,3,-169.938444392832,347.210222118998,23.713773437269,2.33190465038233e-06
"5",749.67139313395,NA,NA,-0.259333032998441,NA,NA,3,-169.968502956455,347.270339246243,23.7738905645142,2.26285392782054e-06
"4",768.014446713055,3.74688599174292,-2.222412617599,NA,NA,NA,4,-169.283915819114,348.920772814698,25.4243241329693,9.91446820676146e-07
"10",761.651776157128,2.50527694537304,NA,NA,-0.132314150211143,NA,4,-169.388202756824,349.129346690118,25.6328980083889,8.93260608911736e-07
"6",753.142285605737,3.0549669859242,NA,-0.393712251551196,NA,NA,4,-169.482649660746,349.318240497963,25.821791816234,8.12756429269515e-07
"13",766.0868773604,NA,NA,0.920665043517951,-0.255872016332855,NA,4,-169.632715492927,349.618372162325,26.121923480596,6.99499890443807e-07
"11",769.680014587704,NA,-0.722851253380951,NA,-0.20585484825956,NA,4,-169.656349552518,349.665640281507,26.1691915997785,6.83161697752107e-07
"7",754.991954340727,NA,-0.893275322789055,0.03836602793736,NA,NA,4,-169.938356891271,350.229654959013,26.7332062772845,5.15287109316664e-07
"12",773.422015846289,3.2785788840743,-1.9818984618092,NA,-0.0984271359788857,NA,5,-169.226727185962,352.203454371925,28.7070056901961,1.92063209248572e-07
"8",768.528922233563,3.7937843904003,-2.44235188184889,0.387744233918938,NA,NA,5,-169.274532135977,352.299064271954,28.8026155902253,1.83097643699372e-07
"14",762.182295122223,2.40451830077608,NA,0.337846332205602,-0.152427808940691,NA,5,-169.382045626947,352.514091253893,29.0176425721644,1.64433476740481e-07
"15",776.217288936453,NA,-1.46093836737558,1.51024794200372,-0.27814171263242,NA,5,-169.551982115399,352.853964230797,29.3575155490683,1.38735550026311e-07
"16",778.314954221709,3.1306484359442,-2.49658701183642,1.16937736930414,-0.159245660836141,NA,6,-169.162676830392,355.925353660784,32.4289049790548,2.98706050536667e-08
