"","(Intercept)","corn_med.lag1","cpi.lag1","for_prod.lag1","nfi.lag1","rice_med.lag1","rub_med.lag1","sug_med.lag1","time","df","logLik","AICc","delta","weight"
"129",0.00168615377899636,NA,NA,NA,NA,NA,NA,NA,-1.55119959520714e-06,3,-157.952076962468,323.315918630819,0,0.219489830363585
"133",0.00170374239457425,NA,NA,4.52996077516828e-10,NA,NA,NA,NA,-1.55341755641562e-06,4,-157.855465379195,326.210930758391,2.89501212757204,0.0516143552718089
"131",0.00159767008701285,NA,3.70515722227076e-06,NA,NA,NA,NA,NA,-1.44935663263593e-06,4,-157.873556696662,326.247113393324,2.93119476250547,0.0506889794577225
"161",0.00170809235803755,NA,NA,NA,NA,NA,-1.33957041040624e-07,NA,-1.61019510165546e-06,4,-157.894720433805,326.28944086761,2.97352223679172,0.0496274834520236
"193",0.00171105699929423,NA,NA,NA,NA,NA,NA,-1.29827727622119e-06,-1.64149405073894e-06,4,-157.909477583183,326.318955166367,3.00303653554789,0.0489005005561422
"130",0.00170653291629683,-2.20123653616784e-06,NA,NA,NA,NA,NA,NA,-1.6106130738474e-06,4,-157.910343402164,326.320686804327,3.00476817350847,0.0488581798982734
"145",0.00168595649803072,NA,NA,NA,NA,2.67491801202252e-08,NA,NA,-1.55061609742458e-06,4,-157.952055454569,326.404110909139,3.08819227832004,0.0468621241315595
"137",0.00168612559207847,NA,NA,NA,-2.73877148533853e-09,NA,NA,NA,-1.55109948377084e-06,4,-157.952076682698,326.404153365396,3.08823473457687,0.0468611293469293
"1",0.00127447444736555,NA,NA,NA,NA,NA,NA,NA,NA,2,-161.103661427591,326.873989521848,3.55807089102944,0.0370500779261425
"3",0.00112171124245332,NA,9.21015714395367e-06,NA,NA,NA,NA,NA,NA,3,-160.522842038516,328.457448782915,5.14153015209638,0.0167859264575978
"5",0.00130028246881051,NA,NA,6.87702281162214e-10,NA,NA,NA,NA,NA,3,-160.933183831526,329.278132368935,5.96221373811647,0.0111361773742175
"17",0.00127166467933051,NA,NA,NA,NA,1.77162364741955e-06,NA,NA,NA,3,-160.995074979282,329.401914664446,6.08599603362768,0.0104678419243712
"65",0.00127305267749748,NA,NA,NA,NA,NA,NA,1.96452923951802e-06,NA,3,-160.99867904774,329.409122801362,6.0932041705434,0.010430183008888
"9",0.00127367604138393,NA,NA,NA,-1.3515392722061e-06,NA,NA,NA,NA,3,-161.029867044641,329.471498795164,6.15558016434557,0.0101099068400058
"163",0.00159894918076493,NA,4.94432500135732e-06,NA,NA,NA,-2.00701196855568e-07,NA,-1.49615918058174e-06,5,-157.75938602154,329.518772043079,6.20285341226054,0.00987374480539728
"165",0.00173613324503333,NA,NA,5.11782923869998e-10,NA,NA,-1.77403458647071e-07,NA,-1.63580783523669e-06,5,-157.764701127183,329.529402254367,6.21348362354797,0.00982140403025254
"132",0.00159859953242642,-3.63236916376311e-06,5.019544243332e-06,NA,NA,NA,NA,NA,-1.50633337192812e-06,5,-157.776568027064,329.553136054129,6.23721742330986,0.00970554322587343
"135",0.00161566438123854,NA,3.67279212202442e-06,4.22426896461854e-10,NA,NA,NA,NA,-1.45540306973354e-06,5,-157.778672017804,329.557344035609,6.24142540479016,0.00968514431987782
"2",0.00127168055602605,1.33373320785247e-06,NA,NA,NA,NA,NA,NA,NA,3,-161.080648200398,329.573061106678,6.25714247585887,0.00960933154792695
"197",0.0017323694017346,NA,NA,4.37420250640866e-10,NA,NA,NA,-1.44091922881091e-06,-1.65955667376365e-06,5,-157.806382365779,329.612764731558,6.29684610073963,0.00942044992469829
"33",0.00127335817327592,NA,NA,NA,NA,NA,2.38055014316139e-08,NA,NA,3,-161.101780234979,329.615325175839,6.29940654502076,0.00940839737274868
"134",0.00172576356955469,-2.30691187045641e-06,NA,4.56145181511907e-10,NA,NA,NA,NA,-1.61773879342562e-06,5,-157.810792303311,329.621584606622,6.30566597580292,0.00937899779683607
"195",0.00161825938830398,NA,3.89255094709424e-06,NA,NA,NA,NA,-1.41554934457961e-06,-1.53478810533525e-06,5,-157.820601141593,329.641202283185,6.32528365236641,0.0092874504447927
"141",0.00169989571851521,NA,NA,5.00812311195666e-10,-6.27619392006078e-07,NA,NA,NA,-1.53355897133534e-06,5,-157.843184231174,329.686368462349,6.37044983153015,0.00908006167289541
"149",0.00170956659698566,NA,NA,4.92145072313897e-10,NA,-5.1498989757004e-07,NA,NA,-1.56674962750406e-06,5,-157.847761351444,329.695522702889,6.37960407207009,0.00903859610739204
