,(Intercept),corn_med,cpi,for_prod,nfi,rice_med,rub_med,sug_med,time,df,logLik,AICc,delta,weight
129,748.9759091,,,,,,,,1,3,-158.0815577,323.4964487,0,0.192735667
133,747.1449921,,,-0.000530002,,,,,0.885065783,4,-157.255652,324.8642451,1.367796423,0.097263271
131,787.2047863,,-1.602918483,,,,,,1.014774065,4,-157.7351129,325.823167,2.326718271,0.06021735
137,753.422135,,,,0.599331963,,,,1.04742563,4,-157.9019586,326.1568583,2.66040961,0.050963763
161,746.9782575,,,,,,0.0529498,,0.99420414,4,-157.9278434,326.208628,2.712179325,0.0496615
145,746.2496938,,,,,0.377449572,,,1.005205364,4,-157.9758287,326.3045986,2.808149962,0.047334749
193,747.9843478,,,,,,,0.294112827,1.003321795,4,-158.0408158,326.4345727,2.938124055,0.044356427
130,747.6784035,0.419781215,,,,,,,1.000363274,4,-158.0431717,326.4392846,2.942835907,0.04425205
165,744.3339824,,,-0.000572047,,,0.07065882,,0.868213863,5,-156.9642038,327.6784077,4.181958994,0.023815584
135,780.3554291,,-1.388473414,-0.000502219,,,,,0.903888196,5,-156.9787014,327.7074029,4.210954197,0.023472806
149,744.4064418,,,-0.000530295,,0.379017611,,,0.890229401,5,-157.1406822,328.0313643,4.534915658,0.019962626
141,750.2178469,,,-0.000502302,0.401308601,,,,0.922828657,5,-157.1715763,328.0931526,4.596703876,0.019355328
163,803.7936635,,-2.461378535,,,,0.102976031,,1.011414765,5,-157.2287806,328.2075613,4.711112581,0.018279192
134,746.4653049,0.227069798,,-0.000523586,,,,,0.886653668,5,-157.2436848,328.2373696,4.740920908,0.018008776
197,746.9668453,,,-0.000525723,,,,0.057226507,0.886640202,5,-157.2540481,328.2580963,4.761647603,0.017823109
139,805.2349046,,-2.080221246,,0.895941518,,,,1.090069941,5,-157.3487809,328.4475618,4.951113155,0.016212184
147,795.8462992,,-2.176878947,,,0.6987919,,,1.029701206,5,-157.4030889,328.5561778,5.059729074,0.015355214
195,801.1154499,,-2.304739437,,,,,0.838665719,1.030714867,5,-157.4578759,328.6657518,5.169303079,0.014536578
132,797.5992231,1.113890959,-2.183112871,,,,,,1.021085654,5,-157.5002959,328.7505919,5.254143199,0.013932832
169,751.2874834,,,,0.559944835,,0.048836099,,1.038963318,5,-157.769966,329.289932,5.793483311,0.010639548
138,752.087631,0.583617056,,,0.662605495,,,,1.052937572,5,-157.8284454,329.4068908,5.910442115,0.010035197
153,751.0499636,,,,0.49561804,0.221904474,,,1.042278921,5,-157.8703687,329.4907375,5.994288783,0.009623185
177,745.3305197,NA,NA,NA,NA,0.273633339,0.044238829,NA,0.998931285,5,-157.8758315,329.5016629,6.00521424,0.009570759
201,752.4981253,NA,NA,NA,0.569713221,NA,NA,0.208900339,1.047441255,5,-157.8815284,329.5130567,6.016608038,0.009516391
162,747.1173373,-0.079847791,NA,NA,NA,NA,0.055805095,NA,0.993822501,5,-157.9268876,329.6037751,6.107326441,0.009094378
225,746.9585881,NA,NA,NA,NA,NA,0.052384785,0.012157079,0.994403292,5,-157.9277906,329.6055812,6.109132482,0.009086169
209,745.7470353,NA,NA,NA,NA,0.346364619,NA,0.21569213,1.007212765,5,-157.9544458,329.6588916,6.16244295,0.008847175
146,746.2446226,0.0067585,NA,NA,NA,0.375259436,NA,NA,1.005181009,5,-157.9758223,329.7016446,6.205195882,0.00866006
194,746.9982736,0.360934182,NA,NA,NA,NA,NA,0.25568904,1.003200175,5,-158.0130437,329.7760874,6.279638712,0.008343646
167,798.6403755,NA,-2.348888801,-0.000553105,NA,NA,0.117812353,NA,0.888809875,6,-156.2706016,330.1412032,6.644754473,0.006951395
151,788.7245752,NA,-1.93931133,-0.00049171,NA,0.665177049,NA,NA,0.920417627,6,-156.6569344,330.9138687,7.417420056,0.004723781
143,794.6858858,NA,-1.771416744,-0.000447943,0.675317093,NA,NA,NA,0.972626343,6,-156.754544,331.1090881,7.61263939,0.004284483
171,823.3483747,NA,-2.995085886,NA,0.940158188,NA,0.106916371,NA,1.090298114,6,-156.7829105,331.1658211,7.669372384,0.004164655
140,828.2919592,1.732277203,-3.164965717,NA,1.238417314,NA,NA,NA,1.128667492,6,-156.8113403,331.2226805,7.726231849,0.004047922
136,788.5442498,0.830197653,-1.834729354,-0.000469832,NA,NA,NA,NA,0.915743249,6,-156.8428796,331.2857591,7.789310461,0.003922246
199,789.7579704,NA,-1.85015137,-0.000453578,NA,NA,NA,0.526879111,0.924642322,6,-156.869765,331.3395299,7.843081238,0.0038182
229,744.9038078,NA,NA,-0.000624418,NA,NA,0.095602585,-0.501816071,0.848458854,6,-156.8740142,331.3480285,7.851579775,0.00380201
166,745.3207077,-0.654091896,NA,-0.000605055,NA,NA,0.09507048,NA,0.857817729,6,-156.8973426,331.3946851,7.898236444,0.003714342
173,746.9803475,NA,NA,-0.000547439,0.329090719,NA,0.067479336,NA,0.89993938,6,-156.9068171,331.4136343,7.917185584,0.003679316
181,742.9635101,NA,NA,-0.000567773,NA,0.230869835,0.06317689,NA,0.87314358,6,-156.9238663,331.4477327,7.951283986,0.003617118
179,809.2766864,NA,-2.850604977,NA,NA,0.581463235,0.092376285,NA,1.024181393,6,-156.9946757,331.5893514,8.092902706,0.00336985
203,818.3186475,NA,-2.749857676,NA,0.876182063,NA,NA,0.812784851,1.103858211,6,-157.0793722,331.7587444,8.262295724,0.003096188
157,746.9678991,NA,NA,-0.00051242,0.258050447,0.297978033,NA,NA,0.91340772,6,-157.1109308,331.8218616,8.325412934,0.003000003
150,744.6046314,-0.304320745,NA,-0.00053897,NA,0.477660381,NA,NA,0.889445183,6,-157.1267928,331.8535855,8.357136819,0.002952792
211,809.0673608,NA,-2.840155223,NA,NA,0.679785532,NA,0.811260419,1.044715104,6,-157.1361014,331.8722028,8.375754163,0.002925433
213,744.4743992,NA,NA,-0.000532753,NA,0.383755956,NA,-0.032827961,0.88939079,6,-157.1401669,331.8803339,8.383885195,0.002913564
142,749.5006362,0.349477006,NA,-0.000489462,0.444259343,NA,NA,NA,0.929314165,6,-157.1439592,331.8879185,8.391469814,0.002902536
227,808.9231115,NA,-2.71667136,NA,NA,NA,0.086235292,0.471842401,1.020929351,6,-157.1514645,331.902929,8.406480301,0.002880833
205,750.1853065,NA,NA,-0.000501758,0.400368751,NA,NA,0.008141281,0.922964201,6,-157.171544,331.9430881,8.446639388,0.002823564
155,807.6551912,NA,-2.396632136,NA,0.702310881,0.510817286,NA,NA,1.084708765,6,-157.1849145,331.9698289,8.473380255,0.002786063
164,805.7328039,0.435841272,-2.578275028,NA,NA,NA,0.089766544,NA,1.014315274,6,-157.2000249,332.0000497,8.503601037,0.002744281
196,812.2516496,1.151016058,-2.924216165,NA,NA,NA,NA,0.862499608,1.037689835,6,-157.2007151,332.0014302,8.504981551,0.002742387
198,746.3755115,0.219715912,NA,-0.000521108,NA,NA,NA,0.035915625,0.887590355,6,-157.243065,332.0861299,8.589681256,0.002628673
148,799.2001506,0.572979302,-2.342955419,NA,NA,0.537629785,NA,NA,1.029505211,6,-157.3575661,332.3151322,8.818683541,0.002344279
185,750.2510157,NA,NA,NA,0.511164958,0.109780841,0.045699652,NA,1.036960615,6,-157.7626976,333.1253952,9.628946559,0.001563374
170,751.1583896,0.190063216,NA,NA,0.586187758,NA,0.041846789,NA,1.041969467,6,-157.7648202,333.1296405,9.633191778,0.001560059
233,751.4599315,NA,NA,NA,0.567404872,NA,0.052085788,-0.071100823,1.038394894,6,-157.7681608,333.1363216,9.639872869,0.001554856
202,751.5535073,0.545313622,NA,NA,0.638524172,NA,NA,0.140556051,1.052586331,6,-157.8194571,333.2389142,9.742465508,0.001477109
154,752.4664545,0.644059522,NA,NA,0.691763628,-0.048365669,NA,NA,1.05463018,6,-157.8277279,333.2554558,9.759007159,0.001464943
178,745.436612,-0.592656922,NA,NA,NA,0.427444411,0.06053529,NA,0.998755794,6,-157.8393375,333.278675,9.782226363,0.001448034
217,750.4888483,NA,NA,NA,0.480204698,0.201273749,NA,0.17671765,1.042770635,6,-157.8559841,333.3119682,9.815519535,0.001424128
241,745.341582,NA,NA,NA,NA,0.273934843,0.044599152,-0.007959356,0.998806107,6,-157.8758088,333.3516175,9.855168859,0.001396173
226,747.1108553,-0.079001238,NA,NA,NA,NA,0.055630981,0.003094955,0.993877248,6,-157.9268842,333.4537685,9.957319807,0.001326654
210,745.7586302,-0.017289553,NA,NA,NA,0.351882188,NA,0.216283477,1.007280573,6,-157.9544037,333.5088073,10.01235866,0.001290643
175,813.723799,NA,-2.757727557,-0.000497447,0.700254288,NA,0.119254269,NA,0.959901745,7,-156.013283,334.0265661,10.53011741,0.000996268
183,803.7060185,NA,-2.70272984,-0.000540536,NA,0.524782487,0.107908726,NA,0.903118071,7,-156.0633323,334.1266647,10.63021601,0.000947633
168,797.8946258,-0.150951663,-2.306783907,-0.000561062,NA,NA,0.12260084,NA,0.886041457,7,-156.2670498,334.5340996,11.03765087,0.000772977
