"","(Intercept)","armi","cpi","for_prod","nfi","time","df","logLik","AICc","delta","weight"
"17",748.975909090909,NA,NA,NA,NA,1,3,-158.081557674198,323.496448681729,0,0.346337479931181
"21",747.14499210708,NA,NA,-0.000530002284792691,NA,0.885065782621666,4,-157.25565196412,324.864245104711,1.36779642298251,0.174777801896839
"19",787.204786300332,NA,-1.60291848254649,NA,NA,1.01477406467985,4,-157.735112888224,325.823166952919,2.3267182711906,0.108207917630356
"25",753.422134989027,NA,NA,NA,0.599331963473974,1.04742562956021,4,-157.901958557451,326.156858291374,2.66040960964472,0.0915796303069792
"18",749.705253054259,-1.51373275412316,NA,NA,NA,0.999652698272445,4,-158.058491271632,326.469923719736,2.97347503800671,0.0783100663634887
"23",780.355429097779,NA,-1.38847341400341,-0.000502219413714474,NA,0.903888196271025,5,-156.978701439537,327.707402879074,4.2109541973453,0.0421795951367266
"29",750.217846909556,NA,NA,-0.000502301903904119,0.401308600618473,0.922828657141634,5,-157.17157627877,328.09315255754,4.59670387581099,0.0347806687694901
"22",747.636379307687,-0.994905719176396,NA,-0.000526521787554639,NA,0.885592284428943,5,-157.244953797138,328.239907594276,4.743458912547,0.0323199348844882
"27",805.234904565132,NA,-2.08022124557097,NA,0.8959415176415,1.09006994055377,5,-157.348780918515,328.44756183703,4.95111315530073,0.0291325788937164
"20",791.859675336312,1.72012717734795,-1.83284645310329,NA,NA,1.01728796138885,5,-157.711623561938,329.173247123877,5.6767984421478,0.0202674156115372
"26",754.195707832534,-1.56441175108801,NA,NA,0.60200237579936,1.0472780122651,5,-157.87691759878,329.503835197559,6.00738651583021,0.0171795619283077
"31",794.685885761399,NA,-1.77141674441463,-0.000447942996113138,0.675317093489742,0.972626342884719,6,-156.754544035851,331.109088071702,7.6126393899732,0.00769902717697315
"24",785.402992479977,1.87307468097441,-1.63818132786937,-0.000503775457131034,NA,0.906282058165948,6,-156.94886551928,331.497731038561,8.00128235683195,0.00633932627351732
"30",750.765427911388,-1.05670833632892,NA,-0.000498373804544633,0.404660957238241,0.923703319296988,6,-157.159420200053,331.918840400106,8.4223917183769,0.00513570853839898
"28",813.8146904821,2.78199677898545,-2.47992003936528,NA,0.9481840022602,1.09852623083589,6,-157.286371139458,332.172742278916,8.67629359718711,0.00452341335831932
"32",802.961617093616,2.66900791576573,-2.15618200205876,-0.000446057322531936,0.726366532803644,0.981233580731893,7,-156.693928036324,335.387856072647,11.8914073909182,0.000906385995340827
"5",743.44553682212,NA,NA,-0.00160089723570212,NA,NA,3,-165.994578018698,339.32248937073,15.8260406890014,0.000126741377138697
"13",730.343488388231,NA,NA,-0.00152003242395544,-1.8037546182115,NA,4,-164.961253638806,340.275448454083,16.7789997723539,7.87020393475356e-05
"6",743.571479010081,-0.256140765456976,NA,-0.0016001651827901,NA,NA,4,-165.994257638596,342.341456453662,18.8450077719334,2.80128985955033e-05
"7",742.22241729307,NA,0.0512580331851093,-0.00160108213316519,NA,NA,4,-165.994405889491,342.341752955452,18.8453042737228,2.80087459660462e-05
"15",710.491372619384,NA,0.810367586393076,-0.00151977629968244,-1.87467088225659,NA,5,-164.915574178898,343.581148357795,20.0846996760666,1.50717045664734e-05
"14",730.404724848812,-0.122382630509747,NA,-0.00151968920764049,-1.8036084151024,NA,5,-164.961173304418,343.672346608837,20.1758979271081,1.43998816909194e-05
"1",748.975909090909,NA,NA,NA,NA,NA,2,-169.973331865951,344.578242679271,21.0817939975419,9.15474162479503e-06
"9",732.513507980552,NA,NA,NA,-2.2190602562824,NA,3,-168.86695061054,345.067234554414,21.5707858726853,7.1690705646743e-06
"8",741.032422004027,-0.450605018753326,0.110412901439623,-0.0016000076822873,NA,NA,5,-165.993643597994,345.737287195989,22.24083851426,5.12817423930078e-06
"2",749.940681867102,-2.00235859209953,NA,NA,NA,NA,3,-169.959644311018,347.252621955369,23.7561732736402,2.40387571809741e-06
"3",751.684422419478,NA,-0.113566664560996,NA,NA,NA,3,-169.972743136824,347.278819606981,23.7823709252524,2.37259309888256e-06
"16",704.772661947576,-2.02682061871861,1.08520471607734,-0.00151400531200298,-1.89630089774456,NA,6,-164.898700812505,347.397401625011,23.900952943282,2.23600878137068e-06
"11",712.316995866753,NA,0.824410733989223,NA,-2.2911342620833,NA,4,-168.833822573938,348.020586324347,24.5241376426186,1.63738446921083e-06
"10",733.372297367878,-1.7301562822965,NA,NA,-2.21566763371743,NA,4,-168.855654149904,348.064249476278,24.5678007945493,1.60202516485108e-06
"4",745.457651262632,-2.3453220093431,0.194900008616761,NA,NA,NA,4,-169.958309962103,350.269561100677,26.7731124189485,5.31853472462157e-07
"12",700.569038151716,-4.1586600417213,1.3882161423306,NA,-2.33227026153445,NA,5,-168.783798492947,351.317596985894,27.821148304165,3.1492990211509e-07
