"","(Intercept)","corn_med.lag1","cpi.lag1","for_prod.lag1","for_rem","nfi.lag1","rice_med.lag1","rub_med.lag1","sug_med.lag1","time","df","logLik","AICc","delta","weight"
"265",-4862.09192912017,NA,NA,NA,0.0601357562212337,NA,NA,NA,NA,1.06241760132523,4,-122.115095260614,254.730190521228,0,0.170610405413122
"269",-4836.38694963685,NA,NA,-0.000163730953687376,0.0598491897988011,NA,NA,NA,NA,1.04971185360227,5,-120.481737544911,254.963475089823,0.233284568595082,0.151826791569759
"333",-4815.99448436596,NA,NA,-0.000175964803480442,0.0596023941068424,NA,NA,0.0349508636345978,NA,1.05646922931617,6,-119.242349816711,256.484699633421,1.75450911219349,0.0709608325177104
"329",-4845.84372156797,NA,NA,NA,0.059937503811879,NA,NA,0.030743544488152,NA,1.06919661788171,5,-121.303793798437,256.607587596875,1.87739707564702,0.0667319659949536
"297",-4834.64566293491,NA,NA,NA,0.0598110545723874,NA,0.197141601907695,NA,NA,1.07546980342343,5,-121.700001710935,257.40000342187,2.66981290064228,0.0449017233476564
"266",-4861.48340708806,0.324913491558881,NA,NA,0.0601110645162462,NA,NA,NA,NA,1.06745512766945,5,-121.763202356551,257.526404713102,2.79621419187384,0.0421517216879799
"393",-4873.56528354209,NA,NA,NA,0.0602372361047975,NA,NA,NA,0.22118501740472,1.06962412688444,5,-121.789877430817,257.579754861635,2.84956434040697,0.0410421856505595
"301",-4807.06659780821,NA,NA,-0.000166206737846406,0.0595025820235531,NA,0.207810958574524,NA,NA,1.06327832013456,6,-119.940048337915,257.88009667583,3.14990615460215,0.0353192997244956
"267",-4907.82953925939,NA,0.291165740952337,NA,0.0605464215547184,NA,NA,NA,NA,1.06977759499249,5,-121.960136768529,257.920273537057,3.19008301582949,0.0346168694057139
"281",-4877.62983123158,NA,NA,NA,0.0602963525988649,-0.0787920932660692,NA,NA,NA,1.0633852481148,5,-122.055630211699,258.111260423399,3.38106990217108,0.0314641145299692
"270",-4836.75148449745,0.268914841072527,NA,-0.00015820098662693,0.0598384323953273,NA,NA,NA,NA,1.05431029829092,6,-120.203137291208,258.406274582416,3.67608406118802,0.0271490103806229
"397",-4846.1988502882,NA,NA,-0.00015728114108018,0.0599383068574642,NA,NA,NA,0.169634410535472,1.05573930069651,6,-120.262139887351,258.524279774703,3.79408925347485,0.0255934894172743
"271",-4879.53932794212,NA,0.273767863633593,-0.000162790134381409,0.0602369635048977,NA,NA,NA,NA,1.05670507821451,6,-120.321707034179,258.643414068358,3.91322354713014,0.0241134759597714
"285",-4841.57836349331,NA,NA,-0.000162322478529514,0.059903026787162,-0.025204145833892,NA,NA,NA,1.05013068568057,6,-120.474777274046,258.949554548092,4.21936402686384,0.0206910370305361
"361",-4828.25784035662,NA,NA,NA,0.0597301874988603,NA,0.140497285861744,0.0270079293673167,NA,1.07767484490643,6,-121.090781968833,260.181563937665,5.45137341643721,0.0111751874903841
"345",-4863.4506940254,NA,NA,NA,0.0601191042821248,-0.0903208189394507,NA,0.0311303110129811,NA,1.07039113194749,6,-121.219410937438,260.438821874876,5.70863135364777,0.00982634406999882
"457",-4851.31780571479,NA,NA,NA,0.0599914544309866,NA,NA,0.0276244932723968,0.073751267042993,1.07091178270503,6,-121.273969586758,260.547939173515,5.81774865228766,0.00930459440391286
"365",-4798.01643419867,NA,NA,-0.000176341047015176,0.0593904904668638,NA,0.143120511298071,0.0311544968119712,NA,1.0650785399712,7,-118.972646226977,260.560677069339,5.83048654811159,0.00924552224026004
"330",-4847.15706057752,0.0794636672225856,NA,NA,0.059949305584852,NA,NA,0.027976955154744,NA,1.06981860030706,6,-121.288250707059,260.576501414117,5.84631089288956,0.00917265870899839
"331",-4849.63374857604,NA,0.022644441737358,NA,0.0599722841184006,NA,NA,0.0303027992834903,NA,1.06967183152522,6,-121.302962009562,260.605924019124,5.87573349789574,0.00903870468692197
"313",-4862.53764988017,NA,NA,NA,0.0600836147693961,-0.194790518327279,0.272711723619605,NA,NA,1.08286531795034,6,-121.380375524721,260.760751049441,6.03056052821336,0.00836538503052991
"425",-4847.25791799591,NA,NA,NA,0.0599301414278037,NA,0.179017241787362,NA,0.194496498603401,1.0806068147779,6,-121.442856565337,260.885713130675,6.15552260944702,0.00785870096785454
"394",-4871.81236906009,0.293697922370358,NA,NA,0.0602042775658523,NA,NA,NA,0.197996196088199,1.07342215544714,6,-121.497827558256,260.995655116512,6.26546459528419,0.00743835951025258
"349",-4823.00052932492,NA,NA,-0.00017408354243551,0.0596749465495911,-0.0343027954498809,NA,0.0350527720986822,NA,1.05705896190492,7,-119.227847917141,261.071080449666,6.34088992843817,0.00716306285122484
"334",-4814.55370052871,-0.0651055495749479,NA,-0.000178115043421731,0.0595886298251697,NA,NA,0.0372689761884857,NA,1.05580410647106,7,-119.229995078612,261.075374772608,6.34518425137998,0.00714769909878832
"461",-4813.43856382828,NA,NA,-0.00017760011793815,0.0595768235214669,NA,NA,0.036288230091152,-0.030698043039251,1.05563703245652,7,-119.236265654,261.087915923384,6.35772540215595,0.00710301914365388
"335",-4808.33078677595,NA,-0.0453139436205525,-0.000176433166126725,0.0595319030471031,NA,NA,0.0358440403604511,NA,1.05548439983733,7,-119.238311953544,261.092008522473,6.36181800124524,0.00708849910006061
"298",-4842.53484047558,0.180642900824017,NA,NA,0.0598946616738879,NA,0.138044954351128,NA,NA,1.07435790237365,6,-121.626509823661,261.253019647322,6.52282912609377,0.00654020207424008
"299",-4863.43709341619,NA,0.165206694011894,NA,0.0600776638332495,NA,0.176742191485612,NA,NA,1.07829525619865,6,-121.652911903163,261.305823806326,6.57563328509849,0.00636978669843406
"409",-4898.39667024795,NA,NA,NA,0.0604917450295565,-0.118630686487002,NA,NA,0.248892781139858,1.07198379072926,6,-121.655557520999,261.311115041998,6.58092452076971,0.00635295694949399
"268",-4884.00125983523,0.283556974377663,0.142855624910605,NA,0.0603156935037233,NA,NA,NA,NA,1.07042498602636,6,-121.730659901349,261.461319802698,6.73112928147032,0.00589331103868306
"282",-4872.12037295392,0.312377374812359,NA,NA,0.0602217158916435,-0.0538205785517639,NA,NA,NA,1.06792173637955,6,-121.735087406943,261.470174813885,6.73998429265731,0.00586727604865695
"395",-4895.4398974133,NA,0.149438891859431,NA,0.0604338564192457,NA,NA,NA,0.190341674330811,1.0723966745644,6,-121.754446690443,261.508893380886,6.77870285965827,0.00575478220175831
"283",-4942.26568819293,NA,0.36097707797097,NA,0.0608874642136473,-0.119014809559106,NA,NA,NA,1.07300388597384,6,-121.831017759274,261.662035518548,6.93184499731984,0.00533058041211684
"317",-4827.85908409943,NA,NA,-0.000159175494903812,0.0597074145803527,-0.137061410948216,0.260533376595409,NA,NA,1.06899781335078,7,-119.757596011399,262.130576638182,7.40038611695411,0.00421727661474877
"429",-4817.01970567792,NA,NA,-0.000160743294507647,0.0595981408220289,NA,0.194459961103613,NA,0.139508878439996,1.06736375776387,7,-119.786459200976,262.188303017336,7.45811249610864,0.00409729245274651
"303",-4831.14242343058,NA,0.137505301354381,-0.000165531395959978,0.0597257404007111,NA,0.190788711361703,NA,NA,1.06567954617219,7,-119.901520861213,262.41842633781,7.68823581658239,0.0036519625862426
"302",-4810.66982454165,0.0754842105199808,NA,-0.000164358866881585,0.0595409480113759,NA,0.182997961274781,NA,NA,1.06294924020562,7,-119.925153462081,262.465691539547,7.73550101831944,0.00356666903593645
"398",-4845.48923631606,0.246896943183322,NA,-0.000152890417803963,0.059918945314352,NA,NA,NA,0.151579852262539,1.05931972498848,7,-120.025347667773,262.666079950931,7.9358894297032,0.003226628910914
"272",-4861.51268494653,0.223182215909836,0.15748362453689,-0.000158600231012444,0.0600633267658595,NA,NA,NA,NA,1.05755108850034,7,-120.157235734412,262.929856084208,8.19966556298044,0.00282794371407285
"286",-4837.83068145826,0.267788303277687,NA,-0.000157930943039318,0.059849684990739,-0.00524688029449456,NA,NA,NA,1.05437822497897,7,-120.202832596657,263.0210498087,8.29085928747173,0.00270189392957784
"399",-4871.68755209159,NA,0.175058388025592,-0.000158063056470321,0.0601671492421733,NA,NA,NA,0.13324706689717,1.05891814052194,7,-120.205889715687,263.027164046758,8.29697352553029,0.00269364653129308
"413",-4858.91729757462,NA,NA,-0.000153502357694351,0.060069107362483,-0.0576205779676025,NA,NA,0.184330994995725,1.05721901444404,7,-120.226611096749,263.068606808884,8.33841628765572,0.0026384047744251
"287",-4897.72159701896,NA,0.309764952803554,-0.000159272828607331,0.0604176665425651,-0.0607272201076516,NA,NA,NA,1.05863374063047,7,-120.283412000039,263.182208615463,8.45201809423543,0.00249271774501086
"377",-4854.10532226375,NA,NA,NA,0.0599835482818748,-0.178627038603895,0.212190379164168,0.0258666222575321,NA,1.08436350751911,7,-120.807569466666,264.230523548716,9.50033302748795,0.00147582346076419
"441",-4882.65131279471,NA,NA,NA,0.0602751335493618,-0.228720440351605,0.263952577714818,NA,0.235254720424265,1.09036702957692,7,-121.000297073363,264.615978762112,9.88578824088376,0.00121712133096011
"489",-4833.67857243156,NA,NA,NA,0.0597836956104302,NA,0.140152981226204,0.0239529874898018,0.0724518381811731,1.07933901325472,7,-121.061411507614,264.738207630612,10.0080171093845,0.00114496500308548
"362",-4822.04840847729,-0.123657403809165,NA,NA,0.0596627138388464,NA,0.173777767950561,0.0304282791701942,NA,1.07871523815492,7,-121.064441026674,264.744266668733,10.0140761475055,0.00114150155871937
"363",-4817.29914478085,NA,-0.0614523965041939,NA,0.0596278630304953,NA,0.145876702173317,0.0280609912352293,NA,1.07670982974805,7,-121.084844592832,264.785073801049,10.0548832798211,0.00111844685504376
"473",-4873.9340840985,NA,NA,NA,0.060223747965955,-0.105125091202803,NA,0.0268647787275916,0.102359267460893,1.07296739648782,7,-121.163708964115,264.942802543615,10.2126120223872,0.0010336297277978
"347",-4880.09409187215,NA,0.0886608788111931,NA,0.0602738892314,-0.099575660754226,NA,0.0294442705214077,NA,1.07237415638699,7,-121.207439987064,265.030264589512,10.3000740682844,0.00098940214926292
"346",-4863.37725985952,0.0459522641036134,NA,NA,0.0601173382562687,-0.0860481194589537,NA,0.0295121509205216,NA,1.0706943046037,7,-121.214363523474,265.044111662332,10.3139211411038,0.000982575646498084
"458",-4854.17275690798,0.106642863176005,NA,NA,0.0600180591722223,NA,NA,0.0232892020004522,0.0884690520930734,1.07208878151924,7,-121.247071791762,265.109528198908,10.3793376776803,0.000950957209611774
"459",-4849.59032841108,NA,-0.0109650446634306,NA,0.0599756748725795,NA,NA,0.0277765165969948,0.0752030317651438,1.07071543388777,7,-121.273785576797,265.162955768978,10.4327652477498,0.000925889855796759
"315",-4906.25817600201,NA,0.237125908827919,NA,0.0604896941219119,-0.211519099335747,0.249921815358015,NA,NA,1.08755589709795,7,-121.282527071693,265.18043875877,10.450248237542,0.000917831466845166
"332",-4847.5091262274,0.0790978854349299,0.00213962234317494,NA,0.0599525375726249,NA,NA,0.027948045109383,NA,1.06986063910736,7,-121.288243599777,265.191871814938,10.4616812937102,0.000912599625719289
"314",-4862.4696430912,-0.011146836381063,NA,NA,0.0600825482429753,-0.197715356290022,0.277493077345735,NA,NA,1.08304497530827,7,-121.380161216925,265.375707049234,10.6455165280062,0.000832455395316307
"426",-4854.06509337647,0.163288613751702,NA,NA,0.0600026563018415,NA,0.126063718794088,NA,0.189498597758401,1.07946972980971,7,-121.381526280665,265.378437176714,10.6482466554862,0.000831319815886484
"366",-4778.34438814048,-0.351284739696457,NA,-0.000188191925718722,0.0591759828501442,NA,0.23783967040384,0.0411496601906835,NA,1.06718755290138,8,-118.720480899614,265.440961799228,10.7107712779997,0.000805732874390572
"410",-4891.39313897206,0.268343523075916,NA,NA,0.0604062646102864,-0.092823180276984,NA,NA,0.22167812399917,1.0749406095574,7,-121.415697888693,265.446780392771,10.7165898715436,0.00080339216490032
"427",-4851.13962876088,NA,0.0239739926643226,NA,0.0599660321751827,NA,0.176482863182518,NA,0.189926236009391,1.08089612168845,7,-121.441986319518,265.499357254421,10.7691667331927,0.000782547433623473
"396",-4869.79894377794,0.297239358360369,-0.0136105434680929,NA,0.0601859724321417,NA,NA,NA,0.200525722476565,1.07321543528326,7,-121.497568931386,265.610522478156,10.8803319569286,0.000740238126319877
"381",-4815.58559901226,NA,NA,-0.000170201441222396,0.0595642123699186,-0.11414073712634,0.188840287128777,0.0302808443501008,NA,1.06979108394895,8,-118.834999564673,265.669999129346,10.9398086081185,0.000718548784676534
"411",-4933.67253804223,NA,0.215854664022348,NA,0.0608134623687682,-0.136208951247362,NA,NA,0.208447233798831,1.07633820017799,7,-121.5835312585,265.782447132386,11.0522566111578,0.000679263823786507
"300",-4861.65352342762,0.152155343999645,0.11684286197545,NA,0.0600700368445281,NA,0.132937015907382,NA,NA,1.07653155901291,7,-121.604654270175,265.824693155734,11.0945026345061,0.0006650662022587
"367",-4773.66684871398,NA,-0.135170122585417,-0.000177769320473597,0.0591626671388301,NA,0.154974272430221,0.0335043870531318,NA,1.06285387784944,8,-118.937604791517,265.875209583034,11.1450190618061,0.000648478191676875
"493",-4795.304777112,NA,NA,-0.00017806208129092,0.0593633217264303,NA,0.143299600868721,0.0325568297725748,-0.0322983334169361,1.06421373365482,8,-118.965736113738,265.931472227476,11.2012817062479,0.000630489846947126
"284",-4911.29373684392,0.244213080426307,0.212060470644884,NA,0.0605852583340384,-0.0828989815169427,NA,NA,NA,1.07258241141785,7,-121.671321931202,265.95802847779,11.2278379565618,0.00062217345905602
"350",-4822.60175849482,-0.0796298149525569,NA,-0.000176347366026431,0.0596722309303261,-0.0409784044523762,NA,0.0379078599276222,NA,1.05636022501113,8,-119.209885504349,266.419771008698,11.6895804874701,0.00049390720800006
"462",-4810.55370965333,-0.0808946779358041,NA,-0.000180972202608217,0.0595487697352634,NA,NA,0.0397412930705565,-0.0438454940917363,1.0544541909754,8,-119.218292959558,266.436585919116,11.7063953978881,0.000489772112444253
"477",-4820.54504608813,NA,NA,-0.000175392268474624,0.0596501326265741,-0.030843550629283,NA,0.0359576270283113,-0.0210060272488746,1.05643003581238,8,-119.225143203189,266.450286406379,11.7200958851511,0.000486428519438492
"351",-4818.49501703814,NA,-0.0235251863448825,-0.000174468161045782,0.0596328947523434,-0.0317233595302847,NA,0.0355088105978345,NA,1.05650333226445,8,-119.226840317596,266.453680635193,11.7234901139647,0.000485603694699222
"336",-4809.51480512243,-0.0600173982952993,-0.0304597876371862,-0.00017826182796684,0.0595423218272207,NA,NA,0.0376881988204501,NA,1.05519409033495,8,-119.228244149762,266.456488299524,11.7262977782958,0.00048492246688954
"463",-4808.04572825501,NA,-0.0340743184136923,-0.000177715598763546,0.0595275183022437,NA,NA,0.0367662821188278,-0.0262545416449912,1.05501693849756,8,-119.234108870832,266.468217741665,11.7380272204368,0.000482086855044221
"445",-4844.36345470239,NA,NA,-0.000151004824599632,0.0598669273893259,-0.164863234944279,0.254746342160907,NA,0.172219048780653,1.0752013035873,8,-119.526212894912,267.052425789823,12.3222352685952,0.000359969847473771
"319",-4863.2905088213,NA,0.190214848050494,-0.000157522113528431,0.0600370661488865,-0.151080187067527,0.242378536830098,NA,NA,1.07290449047051,8,-119.684385968356,267.368771936711,12.6385814154835,0.000307306984499615
"318",-4827.23548332063,-0.072959075413466,NA,-0.000159994712758637,0.0596984977105875,-0.155908160273249,0.291765959503898,NA,NA,1.07010234865808,8,-119.746921647683,267.493843295366,12.7636527741383,0.00028867789551587
"430",-4820.07131814029,0.0661566398944777,NA,-0.000159182149879413,0.0596307447395988,NA,0.172855777341739,NA,0.138018012749511,1.06703168303576,8,-119.774868920883,267.549737841767,12.8195473205388,0.000280721828525714
