,(Intercept),armi,cpi,for_prod,for_rem,nfi,rice_med,time,df,logLik,AICc,delta,weight
73,-4816.379491,,,,0.059629952,,,1.071421123,4,-127.4562966,265.2655344,0,0.215783707
74,-4892.570726,3.055809084,,,0.060430527,,,1.07308111,5,-125.8555166,265.4610331,0.195498765,0.195689099
105,-4806.009466,,,,0.059498793,,0.259075954,1.074836916,5,-126.6240377,266.9980753,1.732540936,0.090740709
77,-4738.730535,NA,NA,-0.000124194,0.058793386,NA,NA,1.043486842,5,-126.7604889,267.2709779,2.005443486,0.079166625
78,-4813.036425,3.118809793,NA,-0.000129722,0.059573231,NA,NA,1.043937696,6,-124.970754,267.5415079,2.275973533,0.069150811
75,-4877.508838,NA,0.372836358,NA,0.060189649,NA,NA,1.068655069,5,-127.1686414,268.0872828,2.821748402,0.052636108
89,-4799.421169,NA,NA,NA,0.059458289,0.126273243,NA,1.081207621,5,-127.3289564,268.4079128,3.142378464,0.044839405
106,-4875.356621,2.654316837,NA,NA,0.060234232,NA,0.17996868,1.075235811,6,-125.4297506,268.4595013,3.193966879,0.043697597
90,-4876.628819,3.033939439,NA,NA,0.060268943,0.114644704,NA,1.081954486,6,-125.7342294,269.0684588,3.802924475,0.032227313
76,-4888.001803,3.118902958,-0.03746126,NA,0.06039082,NA,NA,1.073393307,6,-125.8529354,269.3058709,4.040336523,0.028620072
109,-4727.548017,NA,NA,-0.000125362,0.05865332,NA,0.261128721,1.046666964,6,-125.8569611,269.3139222,4.048387848,0.028505089
79,-4801.879062,NA,0.400609123,-0.000128248,0.059367471,NA,NA,1.039603,6,-126.4064092,270.4128185,5.147284104,0.016455084
107,-4834.334186,NA,0.16662401,NA,0.059761644,NA,0.233956627,1.073269555,6,-126.5708717,270.7417435,5.476209111,0.013959664
121,-4805.308094,NA,NA,NA,0.059491875,0.00575687,0.257282979,1.075259449,6,-126.6237952,270.8475905,5.582056081,0.013240079
93,-4730.606603,NA,NA,-0.000118856,0.058713324,0.085343452,NA,1.051301873,6,-126.7000413,271.0000827,5.734548284,0.0122681
110,-4795.739622,2.716773446,NA,-0.000129816,0.059376028,NA,0.180232961,1.046074522,7,-124.5071812,271.0143623,5.748827973,0.01218082
94,-4805.878093,3.10303956,NA,-0.000125237,0.059502444,0.071252565,NA,1.050460124,7,-124.921249,271.8424981,6.576963728,0.008050987
91,-4859.931407,NA,0.327192794,NA,0.060018954,0.075159544,NA,1.074818753,6,-127.126888,271.853776,6.588241641,0.008005716
