"","(Intercept)","corn_med","cpi","for_prod","for_rem","nfi","rice_med","rub_med","sug_med","time","df","logLik","AICc","delta","weight"
"186",19.0096833554912,0.0129608290177501,NA,NA,-0.000184532899937581,0.00898955275554353,-0.00676254860187936,NA,0.00738493778647369,NA,6,-104.661618322062,226.923236644124,0,0.266233744495813
"249",17.7919174741324,NA,NA,NA,-0.000171431991736864,0.00409785003072615,-0.00158715154865569,0.000439231821585213,0.00672550356216593,NA,6,-105.061529635274,227.723059270548,0.799822626423691,0.178477643773784
"250",18.2387802662234,0.00722571161782153,NA,NA,-0.000176144521993718,0.0067506961184131,-0.00444159165107935,0.000220303035426165,0.0068796476315812,NA,7,-103.646039575724,229.292079151447,2.36884250732345,0.0814470737913423
"446",16.29279057739,0.0109740411901045,NA,1.41862161101489e-06,-0.000154897870228179,0.00843525566061802,-0.0055961388582716,NA,0.00813716615213093,0.000704533517770905,8,-101.120758224472,229.318439525867,2.39520288174319,0.0803806295169458
"442",18.9338881880508,0.0127204007729679,NA,NA,-0.000183613354627066,0.00926517275666478,-0.00678715090619067,NA,0.00745658472704312,0.000369072738237183,7,-103.751291376835,229.50258275367,2.57934610954638,0.0733103358789104
"251",17.2493970012625,NA,0.00384510817738548,NA,-0.000166665257752247,0.00412770078543612,-0.00193478586325679,0.000404826488077921,0.00595642733874601,NA,7,-103.761754690544,229.523509381088,2.60027273696426,0.0725472659184789
"190",17.891599666362,0.0121080220216675,NA,7.23686347282587e-07,-0.000172433083556121,0.00838228344745651,-0.00609638894128722,NA,0.00766841968615112,NA,7,-103.804270247104,229.608540494207,2.68530385008336,0.0695275263383659
"188",18.5920030366721,0.012207173055958,0.00204438016612344,NA,-0.000180610406572904,0.00876014657336852,-0.00666542893793201,NA,0.00701990327682154,NA,7,-104.352828870374,230.705657740748,3.78242109662384,0.0401717540589281
"218",17.8113746009083,-0.00275211460807106,NA,NA,-0.000171820579369805,0.00282469739963073,NA,0.000529876241876358,0.00660939397760722,NA,6,-106.77497555054,231.14995110108,4.22671445695573,0.0321694560708328
"217",17.9826874224757,NA,NA,NA,-0.000173655127477792,0.00313788101386714,NA,0.000459868229531496,0.00635203075536448,NA,5,-108.765287693098,231.280575386196,4.35733874207224,0.0301355425449312
"253",17.3599049168132,NA,NA,3.02020371203084e-07,-0.00016676584263046,0.00399758763755099,-0.00145756291327818,0.000422830045051132,0.00690671508065428,NA,7,-104.925946190569,231.851892381138,4.92865573701451,0.0226474393626315
"505",17.8486739671846,NA,NA,NA,-0.000172037482060806,0.00424493020385689,-0.00164236754509232,0.000430725117609008,0.00680752169470542,0.000125723136393634,7,-104.967268420454,231.934536840907,5.01130019678328,0.0217306686198514
"221",16.9115494011527,NA,NA,9.51091734650661e-07,-0.000162157426247645,0.00310394464386078,NA,0.000402631407256828,0.00703423663769676,NA,6,-107.444874483456,232.489748966912,5.56651232278841,0.0164630504025863
"220",17.2242185603695,-0.00391558805762069,0.0041841045266635,NA,-0.000166687416045079,0.00248864827962756,NA,0.00052644999811743,0.00574179223814035,NA,7,-105.354216536275,232.708433072551,5.78519642842656,0.0147578692265985
