"","(Intercept)","for_rem","prod_cass","prod_corn","prod_rice","prod_rub","prod_sug","time","df","logLik","AICc","delta","weight"
"46",15.7988183376078,-0.00014945117299126,NA,0.0102323974564668,0.00576893600358088,NA,0.000267604239637968,NA,5,-159.911364974999,333.572729949999,0,0.176026840189097
"14",16.2953246570246,-0.000154429437800054,NA,0.00977628919483636,0.0063280694098714,NA,NA,NA,4,-161.708456854442,333.769854885355,0.197124935356669,0.159504800158094
"38",15.7916356033364,-0.000149069310830331,NA,0.0126837276597249,NA,NA,0.000285620426912622,NA,4,-161.804422944385,333.96178706524,0.389057115241428,0.144909285132753
"6",16.468990871094,-0.000155969961355608,NA,0.0124088891374694,NA,NA,NA,NA,3,-163.93091110578,335.195155544894,1.62242559489556,0.0782120468156566
"30",16.9414869012055,-0.000161491964518552,NA,0.00958926126735978,0.0103773999979263,-0.00435045528234891,NA,NA,5,-160.790051497154,335.330102994309,1.75737304430976,0.0731088891769529
"62",16.2688707939004,-0.000154563849043569,NA,0.0100030791858345,0.0100494625026119,-0.00463644942458745,0.000279222453577901,NA,6,-158.926311718613,335.452623437225,1.87989348722658,0.0687646456071109
"40",15.6360416675364,-0.000147428689027379,0.00153331659750197,0.0124076213853908,NA,NA,0.000338081665845323,NA,5,-161.482975832219,336.715951664437,3.14322171443854,0.0365625914895119
"16",16.311061709525,-0.000154610495935839,-0.000566990031077208,0.00987157058242297,0.00635463581748856,NA,NA,NA,5,-161.653785220128,337.057570440256,3.4848404902574,0.0308216153020331
"48",15.7067735521748,-0.000148493441312301,0.00112949626348859,0.0101002444581493,0.00563149307558663,NA,0.000308124698653262,NA,6,-159.737710564721,337.075421129442,3.50269117944339,0.030547745772587
"102",16.0082347239455,-0.000151518066440543,NA,0.0129126997086153,NA,NA,0.000294650431953943,0.000123974288796636,5,-161.670449280139,337.090898560277,3.51816861027856,0.0303122578237494
"78",16.2987283845453,-0.000154467547066221,NA,0.00978216400332657,0.00632458443735232,NA,NA,2.43159664550993e-06,5,-161.708405806936,337.166811613873,3.59408166387391,0.0291832715372456
"54",15.7167207118611,-0.000148300885066376,NA,0.0123982337331365,NA,0.000832510204678874,0.000282714930912365,NA,5,-161.745226309822,337.240452619643,3.66772266964449,0.0281282708222009
"110",15.9223825523153,-0.000150848134386966,NA,0.0104369972138245,0.00565128416888596,NA,0.000274250101102662,8.05310334927524e-05,6,-159.85789377498,337.31578754996,3.74305759996082,0.027088456683537
"22",16.2992633072147,-0.000154171926780008,NA,0.0120440276583339,NA,0.0010481492451533,NA,NA,4,-163.835157008839,338.023255194149,4.45052524414996,0.0190177710872883
"70",16.5497784402191,-0.000156876159437366,NA,0.012493822364298,NA,NA,NA,4.95318598703149e-05,4,-163.908568262471,338.170077701413,4.59734775141413,0.0176716667562398
"8",16.48152528807,-0.000156113667921549,-0.000324245166472682,0.0124748490400068,NA,NA,NA,NA,4,-163.913197218899,338.179335614268,4.60660566426918,0.0175900544165329
"32",16.9969405104385,-0.000162106122082745,-0.000954537236424265,0.00973382511480581,0.0107026426514796,-0.00467369086184164,NA,NA,6,-160.639428782658,338.878857565316,5.30612761531756,0.0123984650272881
"94",17.0542359097365,-0.000162749975937254,NA,0.00975746009642359,0.0104015575307467,-0.00449252459871149,NA,6.72877015333086e-05,6,-160.754740760261,339.109481520521,5.53675157052265,0.0110481246565815
"126",16.5157925156586,-0.000157346351316367,NA,0.0104026669345453,0.010100811942605,-0.00496551083008491,0.00029218483862359,0.000154243230037131,7,-158.748375289644,339.496750579289,5.92402062929011,0.0091032015455391
