"","(Intercept)","corn_med","cpi","for_prod","for_rem","nfi","rice_med","rub_med","sug_med","time","df","logLik","AICc","delta","weight"
"265",-4816.37949130912,NA,NA,NA,0.0596299521563387,NA,NA,NA,NA,1.07142112328112,4,-127.456296597345,265.26553437116,0,0.156174375404524
"393",-4828.9629445239,NA,NA,NA,0.0597501868742408,NA,NA,NA,0.403920106265077,1.07612712380885,5,-126.139807114262,266.029614228525,0.764079857364038,0.106583982808107
"329",-4797.76272611679,NA,NA,NA,0.0594176281187745,NA,NA,0.0318009919185885,NA,1.06768589303574,5,-126.529252893267,266.808505786534,1.54297141537313,0.0722034238380713
"297",-4806.00946622435,NA,NA,NA,0.0594987932817778,NA,0.259075954289509,NA,NA,1.07483691628985,5,-126.624037653621,266.998075307243,1.73254093608244,0.0656739735358863
"269",-4738.73053452554,NA,NA,-0.000124194321069712,0.0587933861915038,NA,NA,NA,NA,1.04348684203268,5,-126.760488928379,267.270977856758,2.00544348559743,0.0572971813403114
"266",-4817.37321188657,0.413897194321394,NA,NA,0.059626892118797,NA,NA,NA,NA,1.07177564053928,5,-126.836194873567,267.422389747134,2.15685537597329,0.053119574026377
"267",-4877.5088378898,NA,0.372836358056057,NA,0.0601896489923716,NA,NA,NA,NA,1.06865506947015,5,-127.168641386405,268.087282772809,2.82174840164862,0.0380956069835803
"281",-4799.42116910291,NA,NA,NA,0.059458289430675,0.126273242596202,NA,NA,NA,1.08120762132482,5,-127.328956417747,268.407912835493,3.14237846433269,0.0324527096467334
"333",-4701.73691958839,NA,NA,-0.00014892469011428,0.0583812354627685,NA,NA,0.0367801842077531,NA,1.03360432066779,6,-125.446626522969,268.493253045939,3.22771867477809,0.0310970772805582
"425",-4819.1916643341,NA,NA,NA,0.0596311464839872,NA,0.207399705668253,NA,0.356743799485819,1.07831194743569,6,-125.565141104124,268.730282208248,3.46474783708771,0.0276216325978384
"397",-4768.06980512997,NA,NA,-9.51972258831553e-05,0.059095817175301,NA,NA,NA,0.359822424927595,1.05420121052303,6,-125.701324487414,269.002648974827,3.7371146036669,0.0241049176658945
"394",-4828.66098954911,0.328989803044773,NA,NA,0.0597373222284283,NA,NA,NA,0.36887336372473,1.07600059165511,6,-125.712779004663,269.025558009327,3.76002363816605,0.0238303828045544
"301",-4727.54801716631,NA,NA,-0.000125362429097821,0.0586533197802819,NA,0.26112872149613,NA,NA,1.0466669642897,6,-125.856961109417,269.313922218833,4.04838784767293,0.0206306792151731
"457",-4815.9253453953,NA,NA,NA,0.0596068753095231,NA,NA,0.0173011484434816,0.310535070485331,1.07300698081815,6,-125.91569079631,269.431381592621,4.16584722146052,0.0194539388924246
"361",-4793.48117999902,NA,NA,NA,0.059358867787345,NA,0.199587694875806,0.025468139559878,NA,1.07106119577324,6,-126.039315846728,269.678631693455,4.41309732229473,0.0171916622416069
"409",-4819.3777405755,NA,NA,NA,0.0596533449453117,0.0689391207650534,NA,NA,0.393430850159223,1.0813478728873,6,-126.098137063142,269.796274126285,4.53073975512427,0.0162095941185341
"395",-4833.18211892921,NA,0.0269288174926537,NA,0.0597887391801498,NA,NA,NA,0.397628343502678,1.07585403609694,6,-126.138476882227,269.876953764454,4.61141939329366,0.0155687153964012
"270",-4746.51016268268,0.372314918112651,NA,-0.000113181036651071,0.058864818446038,NA,NA,NA,NA,1.04628289442086,6,-126.233995740674,270.067991481348,4.80245711018773,0.0141504244336033
"271",-4801.87906187187,NA,0.400609123332436,-0.000128247883979915,0.0593674705506374,NA,NA,NA,NA,1.03960299998966,6,-126.406409237824,270.412818475648,5.14728410448777,0.0119094371280004
"330",-4802.21124309905,0.190244278197309,NA,NA,0.0594617476068355,NA,NA,0.0249822999451115,NA,1.06864974289675,6,-126.4347305004,270.4694610008,5.20392662963945,0.0115768783031878
"345",-4784.398169441,NA,NA,NA,0.059282873531435,0.102590026100296,NA,0.0310952660346626,NA,1.07571977348305,6,-126.438438911657,270.476877823314,5.21134345215319,0.0115340259834911
"331",-4816.56994625326,NA,0.106739297028013,NA,0.0595927643497325,NA,NA,0.0295692344433281,NA,1.06715613388169,6,-126.508679933887,270.617359867775,5.35182549661448,0.0107516628435637
"298",-4809.09020382674,0.200251067267188,NA,NA,0.0595301967381487,NA,0.194120814775135,NA,NA,1.07415203568935,6,-126.525714276125,270.651428552249,5.3858941810887,0.0105700664180131
"299",-4834.3341860804,NA,0.166624010489268,NA,0.0597616437864975,NA,0.233956627234908,NA,NA,1.0732695549472,6,-126.570871740852,270.741743481704,5.47620911054378,0.0101033658294178
"282",-4793.78120857929,0.457549587508725,NA,NA,0.059386695502512,0.176448632266884,NA,NA,NA,1.08548824891278,6,-126.578753926425,270.75750785285,5.49197348168929,0.0100240422572886
"313",-4805.30809388186,NA,NA,NA,0.0594918747842696,0.00575687017155498,0.257282978733261,NA,NA,1.07525944886821,6,-126.623795226043,270.847590452086,5.58205608092555,0.00958256339137524
"285",-4730.60660282601,NA,NA,-0.00011885609099043,0.0587133236711149,0.0853434518015295,NA,NA,NA,1.05130187296801,6,-126.700041327789,271.000082655578,5.73454828441777,0.00887908962314127
"268",-4846.22491594974,0.35766018859454,0.176794040168056,NA,0.0598927086844961,NA,NA,NA,NA,1.07041584568631,6,-126.780285583267,271.160571166533,5.89503679537256,0.00819443099303666
"283",-4859.93140661713,NA,0.327192793885806,NA,0.0600189535200618,0.075159543789629,NA,NA,NA,1.07481875288004,6,-127.126888005872,271.853776011745,6.58824164058444,0.00579417066131584
"365",-4699.77548914589,NA,NA,-0.000145649484357892,0.0583481263263981,NA,0.189878493825204,0.0306458974253358,NA,1.03756496173762,7,-124.957924691998,271.915849383995,6.65031501283488,0.00561710084893436
"429",-4754.61676294891,NA,NA,-0.00010031531879874,0.058936625814038,NA,0.21605886278665,NA,0.308305631724881,1.05529844894428,7,-125.051438060266,272.102876120533,6.83734174937246,0.00511563890314851
"461",-4728.51474989373,NA,NA,-0.000125747409905504,0.0586658278664279,NA,NA,0.0265583779758826,0.202318784251618,1.04237524323371,7,-125.191742282886,272.383484565773,7.11795019461249,0.00444597003936353
"398",-4772.04903567229,0.30532123832629,NA,-8.85382005334004e-05,0.0591296510715435,NA,NA,NA,0.330381678919429,1.05561749438132,7,-125.321616645958,272.643233291916,7.37769892075562,0.0039044764931945
"349",-4697.57112542546,NA,NA,-0.000145594412130326,0.0583407561768895,0.0484613957909094,NA,0.0363354684675901,NA,1.03816149641911,7,-125.424905754076,272.849811508153,7.58427713699228,0.00352131537379738
"335",-4718.06268194537,NA,0.0913091125885801,-0.000148556657380985,0.0585336152828883,NA,NA,0.0348587436667876,NA,1.03323536793623,7,-125.430024552881,272.860049105763,7.59451473460211,0.00350333652318672
"334",-4704.47374600014,0.0465512158972088,NA,-0.000146368354707918,0.0584098211198396,NA,NA,0.035026236881685,NA,1.03442518688371,7,-125.440742142625,272.881484285251,7.61594991409038,0.00346598969109954
"489",-4811.0628062943,NA,NA,NA,0.0595428734469419,NA,0.188130411727374,0.0119918741267886,0.296399314571884,1.07594630578738,7,-125.457410326041,272.914820652081,7.64928628092093,0.00340869675029642
"426",-4821.47555088456,0.161597860748815,NA,NA,0.0596544582240372,NA,0.155775086966479,NA,0.35127187213488,1.07770596315063,7,-125.494994246207,272.989988492413,7.72445412125273,0.00328296216329862
"427",-4791.83577202803,NA,-0.168474102206729,NA,0.0593782624432848,NA,0.227767098797122,NA,0.39147391884862,1.08023501690508,7,-125.515864601725,273.03172920345,7.76619483228956,0.00321515561042983
"441",-4822.56212884723,NA,NA,NA,0.0596644082751036,-0.0269768675654949,0.215473085283139,NA,0.35901197951083,1.07635404128358,7,-125.559323197819,273.118646395637,7.85311202447684,0.00307842210395564
"410",-4812.59466380346,0.362380407843608,NA,NA,0.0595740037022669,0.115332508173086,NA,NA,0.347768193871286,1.08472186257276,7,-125.595629391856,273.191258783711,7.92572441255101,0.00296866087638895
"396",-4798.74000528632,0.380652540549203,-0.190667593775847,NA,0.0594623351516115,NA,NA,NA,0.407918199952056,1.07791430003767,7,-125.654036522448,273.308073044895,8.04253867373501,0.00280023638595601
"399",-4782.27721451269,NA,0.103368262421417,-9.83054831204165e-05,0.0592224374229627,NA,NA,NA,0.334231206391136,1.05243704640704,7,-125.681386954551,273.362773909102,8.09723953794196,0.00272468658022722
"413",-4763.56857116938,NA,NA,-9.29710539344437e-05,0.0590512554910215,0.0426155553656614,NA,NA,0.354369581029582,1.05794121400349,7,-125.685017685976,273.370035371951,8.10450100079078,0.00271481191202031
"458",-4824.53612401815,0.28530542864336,NA,NA,0.0596932484708964,NA,NA,0.00552698336218272,0.343694428846973,1.07502063962872,7,-125.696908173191,273.393816346382,8.12828197522106,0.00268272263234792
"303",-4759.75334167124,NA,0.196277548279722,-0.000127216235156904,0.0589504464406057,NA,0.231569344259242,NA,NA,1.04440409948481,7,-125.777941070002,273.555882140004,8.29034776884373,0.00247390850240701
"302",-4731.98531085245,0.12748010344579,NA,-0.000121406232767235,0.058699992775643,NA,0.219713409425196,NA,NA,1.04711995768334,7,-125.815138778413,273.630277556826,8.36474318566593,0.00238357528533596
"317",-4731.40579111475,NA,NA,-0.000128377955047391,0.0586896535688446,-0.0471560103548605,0.275864825547881,NA,NA,1.04252827773988,7,-125.839966984014,273.679933968028,8.41439959686772,0.0023251240108271
"473",-4806.26292560881,NA,NA,NA,0.0595092392439822,0.0693811677595798,NA,0.0173220545876425,0.29986571241133,1.07825743576878,7,-125.872613484542,273.745226969084,8.47969259792342,0.00225044252595337
"459",-4803.96924768813,NA,-0.0716996332869622,NA,0.059496287926383,NA,NA,0.0182596364326102,0.322113721376843,1.07356123694306,7,-125.906758230451,273.813516460903,8.5479820897425,0.0021748987879231
"362",-4791.38677620161,-0.0723235184328708,NA,NA,0.0593365610287699,NA,0.218385499693815,0.0274638943850248,NA,1.07101267408771,7,-126.029534079856,274.059068159712,8.79353378855114,0.00192361509905732
