"","(Intercept)","corn_med.lag2","cpi.lag2","for_prod.lag2","for_rem","nfi.lag2","rice_med.lag2","rub_med.lag2","sug_med.lag2","time","df","logLik","AICc","delta","weight"
"265",-5052.37469022592,NA,NA,NA,0.0622382869959537,NA,NA,NA,NA,1.0807655515518,4,-115.926464051082,242.519594768831,0,0.247619875827807
"269",-5093.28071000158,NA,NA,-0.000170040284239433,0.0626628385443715,NA,NA,NA,NA,1.03952147866497,5,-114.457683434461,243.201081154636,0.68148638580584,0.176117540983803
"329",-5059.42774451106,NA,NA,NA,0.0622954400851394,NA,NA,0.016824818733173,NA,1.08583027919813,5,-115.69735988703,245.680434059774,3.16083929094319,0.0509821293317436
"266",-5029.08531219002,-0.212481222216948,NA,NA,0.0620087908489566,NA,NA,NA,NA,1.07511829233667,5,-115.811467817585,245.908649920885,3.38905515205434,0.0454843010932542
"267",-4995.2170309003,NA,-0.234900533443439,NA,0.061687494822733,NA,NA,NA,NA,1.07710415192718,5,-115.825405230654,245.936524747022,3.41692997819186,0.0448547648448047
"393",-5066.23627681973,NA,NA,NA,0.0623781773368453,NA,NA,NA,0.105046301921432,1.08232534003077,5,-115.850081838503,245.98587796272,3.46628319388941,0.0437614465750929
"281",-5064.99972154063,NA,NA,NA,0.0623724192091753,-0.0423906107510381,NA,NA,NA,1.07907070902789,5,-115.909186668946,246.104087623606,3.58449285477508,0.0412498874438151
"297",-5052.17362631104,NA,NA,NA,0.0622378741102451,NA,-0.00971255738230263,NA,NA,1.08021461130861,5,-115.925498084471,246.136710454656,3.61711568582592,0.0405825011936895
"333",-5104.49061623573,NA,NA,-0.000179322308064594,0.0627587567290941,NA,NA,0.0214142320075133,NA,1.04371634576762,6,-114.028339712977,246.518217887493,3.99862311866232,0.033534784794753
"270",-5064.63113009785,-0.272343550046415,NA,-0.000175033137160831,0.0623811524627231,NA,NA,NA,NA,1.03107217727131,6,-114.239120703576,246.939779868691,4.42018509986084,0.0271615470480218
"271",-5039.57314082461,NA,-0.219982500815712,-0.000169292586758355,0.0621451591801499,NA,NA,NA,NA,1.03627396428342,6,-114.355053326123,247.171645113785,4.65205034495418,0.0241883143648115
"397",-5100.32809496497,NA,NA,-0.000167662453641769,0.06273379631519,NA,NA,NA,0.0577416599725744,1.04095561438183,6,-114.431330036265,247.324198534069,4.80460376523817,0.022411919299186
"285",-5099.97869693354,NA,NA,-0.000169504957267208,0.0627340316452883,-0.022921994349777,NA,NA,NA,1.03873486777511,6,-114.451851444953,247.365241351444,4.84564658261334,0.0219566821733168
"301",-5093.25712028769,NA,NA,-0.000170029086295298,0.0626627676759235,NA,-0.00100939176363102,NA,NA,1.03946693750673,6,-114.45767135812,247.376881177779,4.857286408948,0.0218292673209569
"330",-5011.69331042577,-0.488678804949788,NA,NA,0.0618148558223907,NA,NA,0.0307274693545528,NA,1.07702740297792,6,-115.225863532509,248.913265526556,6.39367075772503,0.0101255246877998
"331",-4959.13676978116,NA,-0.425184813887517,NA,0.0613241427365891,NA,NA,0.0243819778669429,NA,1.08147782469796,6,-115.402748911824,249.267036285187,6.74744151635653,0.00848393226952065
"334",-5046.80010745487,-0.641801977325568,NA,-0.000199223536219601,0.0621790046274025,NA,NA,0.0401824890501674,NA,1.02748135295182,7,-113.067290136699,249.46791360673,6.94831883789979,0.00767321269378358
"395",-4984.567877839,NA,-0.377953737255842,NA,0.0615958821971323,NA,NA,NA,0.183086753747141,1.07759295700499,6,-115.627638555953,249.716815573445,7.19722080461443,0.00677530516951716
"345",-5072.74653411427,NA,NA,NA,0.0624368682788286,-0.0446204987148098,NA,0.0168955224994955,NA,1.08406756604156,6,-115.677775203794,249.817088869126,7.2974941002951,0.00644398901986797
