"","(Intercept)","for_rem","prod_cass.lag1","prod_corn.lag1","prod_rub.lag1","prod_sug.lag1","time","df","logLik","AICc","delta","weight"
"34",-4862.09192912017,0.0601357562212337,NA,NA,NA,NA,1.06241760132523,4,-122.115095260614,254.730190521228,0,0.521866099848342
"50",-4817.17819225958,0.0596749066106791,NA,NA,NA,-0.021814688759091,1.05697792196344,5,-121.989131288504,257.978262577007,3.24807205577935,0.102860634960899
"36",-4875.06003688429,0.0602806188841267,0.187234328717644,NA,NA,NA,1.0574646088546,5,-122.037788474717,258.075576949435,3.34538642820695,0.097975537206991
"42",-4873.19872033744,0.060247713899009,NA,NA,0.103357799268671,NA,1.06890074686053,5,-122.090034817916,258.180069635832,3.44987911460419,0.092988095908335
"38",-4843.97227898507,0.0599487204374058,NA,-0.106813384580922,NA,NA,1.06293253241986,5,-122.092565545013,258.185131090026,3.45494056879801,0.0927530659381257
"58",-4824.0896411839,0.0597412903974613,NA,NA,0.233493722648908,-0.0306446046112947,1.06942206291727,6,-121.8800446529,261.760089305801,7.02989878457282,0.0155251555794582
"52",-4833.15062327307,0.0598463015706459,0.11909329691508,NA,NA,-0.018063192576133,1.05476296201467,6,-121.96130419091,261.922608381819,7.19241786059138,0.0143134851585088
"54",-4799.25440636151,0.059489888892727,NA,-0.106013126611037,NA,-0.0217854933292109,1.05749627526635,6,-121.966670351446,261.933340702892,7.203150181664,0.0142368824144441
"40",-4846.04098048921,0.0599848156904672,0.250864874280327,-0.197043821004092,NA,NA,1.05673128021918,6,-121.969372934094,261.938745868188,7.20855534696028,0.0141984580090204
"46",-4847.97471387654,0.0599850633487349,NA,-0.204238766636076,0.191044011462309,NA,1.07538549197111,6,-122.025414419925,262.050828839851,7.32063831862274,0.0134246407728912
"44",-4881.73813479185,0.0603468701390503,0.173138749370647,NA,0.0712302557399839,NA,1.06230542224222,6,-122.026245922248,262.052491844497,7.32230132326896,0.0134134827924879
"62",-4777.35978334004,0.0592556348302112,NA,-0.303493775695707,0.388298838141499,-0.0364152120754042,1.07915640209583,7,-121.741531052308,266.098446720001,11.3682561987728,0.00177408170877912
"60",-4828.24568579985,0.0597863163986148,0.0338284793374386,NA,0.220624590855086,-0.0290923256780589,1.06810703751159,7,-121.878111916728,266.37160844884,11.6414179276121,0.00154759494496883
"48",-4849.78339990659,0.0600183275316797,0.244052689412797,-0.287057229314676,0.181314316824836,NA,1.0687184158172,7,-121.908282975796,266.431950566976,11.7017600457485,0.00150159971786809
"56",-4812.57839442509,0.0596374028755552,0.182246903194216,-0.171774774151425,NA,-0.0160265177523151,1.05442829413017,7,-121.909951509931,266.435287635247,11.7050971140189,0.00149909633655083
"64",-4786.07541139737,0.0593515775549432,0.0989732821836676,-0.325860493378532,0.362055867055203,-0.0322989290003231,1.07602637770915,8,-121.725513871393,271.451027742787,16.7208372215591,0.000122088685317381
