,(Intercept),agr_gdp.lag1,dev_agr.lag1,dev_env.lag1,fdi.lag1,gdp.lag1,gdp_gr.lag1,ind_gdp.lag1,pop_den.lag1,time,df,logLik,AICc,delta,weight
257,0.001767538,,,,,,,,,-1.62E-06,3,-142.0777709,291.7555419,0,0.13256584
1,0.001349315,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-144.6493111,294.0486223,2.293080442,0.042120696
129,0.004295055,NA,NA,NA,NA,NA,NA,NA,-0.002055785,NA,3,-143.2566923,294.1133846,2.35784279,0.040778624
321,0.001984118,NA,NA,NA,NA,NA,NA,-0.000189746,NA,-1.78E-06,4,-141.8120543,294.4812514,2.72570955,0.033927458
385,0.003298727,NA,NA,NA,NA,NA,NA,NA,-0.00114333,-1.21E-06,4,-141.8453627,294.5478683,2.792326395,0.032816001
258,0.001963825,0.000127014,NA,NA,NA,NA,NA,NA,NA,-1.76E-06,4,-141.846963,294.5510688,2.79552694,0.032763528
273,0.001417844,NA,NA,NA,NA,1.04E-05,NA,NA,NA,-1.33E-06,4,-141.9194213,294.6959855,2.940443681,0.030473504
265,0.001701844,NA,NA,NA,1.11E-06,NA,NA,NA,NA,-1.62E-06,4,-141.9396729,294.7364887,2.980946835,0.029862574
17,0.000822498,NA,NA,NA,NA,1.99E-05,NA,NA,NA,NA,3,-143.6625321,294.9250641,3.16952228,0.027175567
261,0.001793392,NA,NA,-5.85E-06,NA,NA,NA,NA,NA,-1.63E-06,4,-142.0372558,294.9316544,3.176112504,0.027086167
259,0.001782332,NA,-1.96E-07,NA,NA,NA,NA,NA,NA,-1.67E-06,4,-142.0716479,295.0004387,3.244896794,0.026170453
289,0.001767625,NA,NA,NA,NA,NA,5.47E-06,NA,NA,-1.63E-06,4,-142.0756615,295.0084659,3.252924079,0.026065625
49,0.000465127,NA,NA,NA,NA,3.55E-05,-0.000128623,NA,NA,NA,4,-142.5545211,295.966185,4.210643106,0.016147381
3,0.001328627,NA,1.56E-06,NA,NA,NA,NA,NA,NA,NA,3,-144.373459,296.346918,4.591376102,0.013348331
9,0.00127674,NA,NA,NA,1.23E-06,NA,NA,NA,NA,NA,3,-144.4643211,296.5286422,4.773100379,0.012188943
33,0.001371007,NA,NA,NA,NA,NA,-5.29E-05,NA,NA,NA,3,-144.4812264,296.5624527,4.806910876,0.011984618
5,0.001386736,NA,NA,-9.28E-06,NA,NA,NA,NA,NA,NA,3,-144.5258618,296.6517236,4.896181721,0.011461442
2,0.00149513,0.000114456,NA,NA,NA,NA,NA,NA,NA,NA,3,-144.5494203,296.6988405,4.943298666,0.011194584
65,0.001468014,NA,NA,NA,NA,NA,NA,-0.0001277,NA,NA,3,-144.5513926,296.7027852,4.947243304,0.011172526
133,0.004586206,NA,NA,-1.67E-05,NA,NA,NA,NA,-0.002212108,NA,4,-142.9773316,296.8118061,5.05626428,0.010579808
161,0.004574262,NA,NA,NA,NA,NA,-5.30E-05,NA,-0.002235452,NA,4,-142.9870322,296.8312074,5.0756655,0.010477674
131,0.004248495,NA,1.28E-06,NA,NA,NA,NA,NA,-0.002035136,NA,4,-142.9968712,296.8508853,5.095343465,0.010375089
145,0.003035372,NA,NA,NA,NA,1.25E-05,NA,NA,-0.001407963,NA,4,-143.0604353,296.9780134,5.222471501,0.00973613
18,0.000889495,0.000260755,NA,NA,NA,3.00E-05,NA,NA,NA,NA,4,-143.0651421,296.987427,5.231885187,0.009690411
274,0.001409005,0.000273707,NA,NA,NA,2.38E-05,NA,NA,NA,-1.32E-06,5,-141.2493845,297.1141536,5.358611789,0.009095443
193,0.004428171,NA,NA,NA,NA,NA,NA,-9.06E-05,-0.002089933,NA,4,-143.1953976,297.247938,5.492396185,0.008506932
130,0.004339835,5.80E-05,NA,NA,NA,NA,NA,NA,-0.002035435,NA,4,-143.2325195,297.322182,5.566640098,0.008196927
137,0.004207081,NA,NA,NA,4.16E-07,NA,NA,NA,-0.0020115,NA,4,-143.2332558,297.3236545,5.568112683,0.008190894
81,0.000899274,NA,NA,NA,NA,2.41E-05,NA,-0.000201687,NA,NA,4,-143.3471397,297.5514222,5.795880339,0.00730924
337,0.001528828,NA,NA,NA,NA,1.56E-05,NA,-0.000247344,NA,-1.41E-06,5,-141.4869799,297.5893445,5.833802623,0.007171954
449,0.003347037,NA,NA,NA,NA,NA,NA,-0.000167315,-0.001036345,-1.39E-06,5,-141.6386223,297.8926292,6.137087331,0.006162828
19,0.000830173,NA,1.11E-06,NA,NA,1.91E-05,NA,NA,NA,NA,4,-143.5208085,297.8987598,6.143217983,0.006143966
21,0.000872945,NA,NA,-1.09E-05,NA,1.97E-05,NA,NA,NA,NA,4,-143.5231069,297.9033567,6.147814888,0.00612986
386,0.003336652,0.000111621,NA,NA,NA,NA,NA,NA,-0.001042154,-1.37E-06,5,-141.6697578,297.9549001,6.19935829,0.005973902
290,0.002089497,0.00020318,NA,NA,NA,NA,4.54E-05,NA,NA,-1.94E-06,5,-141.7032203,298.0218253,6.266283397,0.005777307
389,0.003666293,NA,NA,-1.13E-05,NA,NA,NA,NA,-0.001378916,-1.15E-06,5,-141.7197748,298.0549342,6.299392312,0.005682454
25,0.000798358,NA,NA,NA,7.28E-07,1.92E-05,NA,NA,NA,NA,4,-143.6039349,298.0650126,6.309470759,0.005653891
322,0.002036114,7.45E-05,NA,NA,NA,NA,NA,-0.000134932,NA,-1.81E-06,5,-141.7581325,298.1316496,6.376107704,0.005468616
325,0.002022884,NA,NA,-6.75E-06,NA,NA,NA,-0.000198399,NA,-1.79E-06,5,-141.7602414,298.1358673,6.380325478,0.005457095
393,0.003037675,NA,NA,NA,8.30E-07,NA,NA,NA,-0.000984465,-1.27E-06,5,-141.7728646,298.1611138,6.405571966,0.005388642
260,0.002002806,0.000179685,6.42E-07,NA,NA,NA,NA,NA,NA,-1.68E-06,5,-141.7878815,298.1911476,6.435605776,0.005308326
266,0.001883973,0.000104826,NA,NA,7.43E-07,NA,NA,NA,NA,-1.73E-06,5,-141.7906073,298.1965991,6.441057262,0.005293877
329,0.001932156,NA,NA,NA,3.67E-07,NA,NA,-0.000163677,NA,-1.76E-06,5,-141.8012637,298.217912,6.462370128,0.005237762
401,0.002719445,NA,NA,NA,NA,6.16E-06,NA,NA,-0.000865487,-1.14E-06,5,-141.802503,298.2203907,6.464848803,0.005231275
353,0.001985032,NA,NA,NA,NA,NA,1.04E-05,-0.000189726,NA,-1.80E-06,5,-141.8035547,298.2224941,6.466952196,0.005225776
281,0.001396302,NA,NA,NA,1.01E-06,9.30E-06,NA,NA,NA,-1.37E-06,5,-141.8116991,298.2387829,6.48324101,0.005183388
323,0.001983058,NA,2.29E-08,NA,NA,NA,NA,-0.000190219,NA,-1.78E-06,5,-141.8119614,298.2393074,6.48376558,0.005182029
262,0.001977989,0.000123889,NA,-4.82E-06,NA,NA,NA,NA,NA,-1.75E-06,5,-141.8187614,298.2529074,6.497365569,0.005146911
269,0.001726397,NA,NA,-9.85E-06,1.37E-06,NA,NA,NA,NA,-1.62E-06,5,-141.8293801,298.2741447,6.518602866,0.005092546
387,0.003308423,NA,-1.69E-07,NA,NA,NA,NA,NA,-0.00114101,-1.25E-06,5,-141.8405117,298.2964081,6.540866217,0.005036172
305,0.001210795,NA,NA,NA,NA,1.65E-05,-4.33E-05,NA,NA,-1.09E-06,5,-141.844043,298.3034707,6.547928826,0.005018419
417,0.003303633,NA,NA,NA,NA,NA,-1.21E-06,NA,-0.001147041,-1.20E-06,5,-141.8452553,298.3058953,6.550353427,0.005012339
