"","(Intercept)","agr_gdp","dev_agri","dev_env","fdi","gdp","gdp_gr","pop_den","time","df","logLik","AICc","delta","weight"
"193",-398.117931530102,NA,NA,NA,NA,NA,NA,812.639052113128,1.14618849400918,4,-137.027607313076,284.72188129282,0,0.211885632653027
"209",84.0797973909304,NA,NA,NA,NA,-4.87897020677211,NA,577.291835627138,1.16216418149282,5,-135.67941326764,285.644540820995,0.9226595281757,0.133582183663911
"145",966.532948113132,NA,NA,NA,NA,-8.0369339453376,NA,NA,1.18986773235321,4,-137.742652253363,286.151971173393,1.43008988057306,0.103648122015867
"146",916.241524413533,-78.2847001893296,NA,NA,NA,-9.06433403699322,NA,NA,1.0293778696761,5,-136.689368867877,287.664452021469,2.94257072864934,0.0486553268600379
"225",-393.913112604022,NA,NA,NA,NA,NA,-9.72172476686254,808.09402384354,1.18671900850642,5,-136.878315117302,288.042344520318,3.32046322749829,0.0402783879819128
"197",-404.38335490836,NA,NA,1.24429292010947,NA,NA,NA,815.449404916236,1.15201431054858,5,-136.941739219871,288.169192725457,3.44731143263766,0.0378030937369706
"194",-403.625388138597,10.5184698804983,NA,NA,NA,NA,NA,825.283966542698,1.16741548811057,5,-137.008136302569,288.301986890853,3.58010559803336,0.0353745933847032
"195",-398.235691257124,NA,0.0259240383281409,NA,NA,NA,NA,812.679696693971,1.14327763877226,5,-137.022314623714,288.330343533142,3.60846224032264,0.0348765798797645
"201",-398.296616150021,NA,NA,NA,0.000446157974243097,NA,NA,812.74497143129,1.14624147259458,5,-137.027606388686,288.340927063087,3.61904577026701,0.0346925086763224
"177",1000.93805604421,NA,NA,NA,NA,-8.96306819224277,14.5231621270527,NA,1.13080435862588,5,-137.48870121252,289.263116710755,4.54123541793541,0.0218768489373249
"210",200.571978185974,-36.7655607824666,NA,NA,NA,-5.862881438723,NA,485.632649076878,1.09119047301822,6,-135.46384972338,289.389237908298,4.66735661547881,0.020539879805383
