"","(Intercept)","agr_gdp.lag1","dev_agr.lag1","dev_env.lag1","fdi.lag1","for_rem","gdp.lag1","gdp_gr.lag1","pop_den.lag1","time","df","logLik","AICc","delta","weight"
"402",-6743.74414371232,-16.9758686123146,NA,NA,NA,0.0897387941585303,NA,NA,-635.973320078505,1.10400938742123,6,-89.7822361361534,198.564472272307,0,0.564439898026337
"401",-6806.15594616589,NA,NA,NA,NA,0.0903521008542324,NA,NA,-616.652770057787,1.09681007948467,5,-94.006181372099,202.627747359583,4.06327508727585,0.074009714742239
"410",-6714.42238944386,-16.3940340053047,NA,NA,-0.0282911416577064,0.0895004792888818,NA,NA,-639.33391793485,1.10528838656039,7,-89.51675741672,203.215333015258,4.65086074295147,0.0551691288596706
"434",-6804.80670231503,-15.5826666580887,NA,NA,NA,0.0902662177892999,0.243409188115466,NA,-631.506563933776,1.10575729862785,7,-89.6322870726703,203.446392327159,4.88192005485203,0.0491498542462316
"406",-6747.27843922617,-17.2555972957289,NA,0.160364429379498,NA,0.0897478757899603,NA,NA,-634.300148535258,1.10125115205203,7,-89.6914082870626,203.564634755943,5.00016248363664,0.0463282843058158
"404",-6708.95276545273,-17.234818020677,-0.0167010719981451,NA,NA,0.0892448890278617,NA,NA,-627.772876653846,1.10315040225587,7,-89.7199060303289,203.621630242476,5.05715797016913,0.0450266674137625
"466",-6750.66264176385,-16.6775497424472,NA,NA,NA,0.0898164988349615,NA,0.302615508199027,-635.79731861116,1.10253186216287,7,-89.7733167352465,203.728451652311,5.16397938000441,0.0426848569227512
"433",-6983.52730041412,NA,NA,NA,NA,0.0918648178316435,0.77178173299634,NA,-607.517529981814,1.10422561112512,6,-92.7350976794742,204.470195358948,5.90572308664164,0.0294582016447638
"465",-6862.61434620212,NA,NA,NA,NA,0.091001150296714,NA,2.93472769527057,-618.238574080264,1.08370814222646,6,-93.3473067924238,205.694613584848,7.13014131254087,0.0159708191227656
"409",-6754.03119344127,NA,NA,NA,-0.0468731082805033,0.0899224306762448,NA,NA,-623.317785148525,1.09933796031876,6,-93.5223665869709,206.044733173942,7.48026090163495,0.0134060146095032
"403",-6816.30901201866,NA,0.00501094381674844,NA,NA,0.0904974838371077,NA,NA,-619.20163411512,1.09710075653859,6,-94.0025239399576,207.005047879915,8.44057560760839,0.00829411398437703
"405",-6806.29240287973,NA,NA,0.00479600125664305,NA,0.0903526746989758,NA,NA,-616.593209412915,1.09672404138026,6,-94.0061287129601,207.01225742592,8.44778515361335,0.00826426940998234
"441",-6938.72427030637,NA,NA,NA,-0.0593798441876377,0.0915015607805755,0.864156858019962,NA,-614.867508332975,1.10831555444312,7,-91.8491476792591,207.880113540336,9.31564126802954,0.0053549066664387
"414",-6707.39270956531,-16.6792977266921,NA,0.324982706006991,-0.0419843369336953,0.0894035366738591,NA,NA,-637.569755032174,1.1003177988842,8,-89.1926035848293,208.785207169659,10.2207348973519,0.00340575435999679
"442",-6792.85828759105,-14.2789124259437,NA,NA,-0.0356538893527171,0.0901818546021768,0.343082004365855,NA,-633.912677708933,1.10808490262962,8,-89.2266737585212,208.853347517042,10.2888752447356,0.00329167411913769
"412",-6664.24262051659,-16.6847278378469,-0.0226315332028456,NA,-0.0312186544643168,0.0888065307286397,NA,NA,-628.56928916553,1.10425672872969,8,-89.4016314756207,209.203262951241,10.6387906789347,0.00276333578877626
"473",-6808.34750927291,NA,NA,NA,-0.0590091939934848,0.0905907558087202,NA,3.52489828928236,-626.948155783209,1.08425574027523,7,-92.5402999527399,209.262418087298,10.6979458149912,0.00268279993504162
"474",-6728.93893672623,-15.5226844235605,NA,NA,-0.0320518864014364,0.0896756190240692,NA,0.805442183094945,-639.312196658258,1.10152581919206,8,-89.4563768883008,209.312753776602,10.7482815042948,0.00261612222965781
"436",-6769.01765623345,-15.7934744425664,-0.0189151125160278,NA,NA,0.0897380569693261,0.257817731745647,NA,-621.954589368552,1.10488790600807,8,-89.5515165973637,209.503033194727,10.9385609224206,0.00237869839997153
"438",-6803.80469915017,-15.9236022714963,NA,0.14154384800701,NA,0.0902386343385092,0.226979919453262,NA,-630.331248427539,1.10320479551531,8,-89.561167360308,209.522334720616,10.9578624483092,0.00235585256279306
