,(Intercept),agr_gdp.lag2,dev_agr.lag2,dev_env.lag2,fdi.lag2,gdp.lag2,pop_den.lag2,time,df,logLik,AICc,delta,weight
97,-438.6015823,,,,,,807.6329534,1.09521393,4,-125.2038642,261.2648713,0,0.340860479
105,-364.9323386,,,,-0.441955482,,789.7383898,0.988492859,5,-123.934144,262.4836726,1.218801335,0.185317871
99,-471.5020692,,-0.324976626,,,,839.4502874,1.057734978,5,-124.6486024,263.9125894,2.647718075,0.090705156
98,-455.7383196,-23.58196074,,,,,802.542077,1.088282985,5,-124.9184476,264.4522798,3.187408509,0.069253175
113,-384.8890509,,,,,-0.789652344,787.7517529,1.073151142,5,-125.1651161,264.9456168,3.680745531,0.054114408
101,-438.7818561,,,0.080846809,,,807.6038006,1.095754435,5,-125.2032657,265.0219161,3.757044797,0.052088846
107,-397.6393863,,-0.355084753,,-0.461402277,,823.7161147,0.942845683,6,-123.1709294,265.3418589,4.076987562,0.044388457
109,-354.8182981,,,1.756435164,-0.526127509,,785.6969468,0.979910173,6,-123.6565382,266.3130763,5.048205037,0.027313217
106,-380.2298088,-15.23175565,,,-0.416586545,,787.4773326,0.99014207,6,-123.80365,266.6073001,5.342428788,0.023576698
121,-339.0227471,,,,-0.438331548,-0.389789407,780.0713323,0.97847728,6,-123.9234598,266.8469195,5.582048219,0.020914635
100,-493.3787925,-26.75268099,-0.349036989,NA,NA,NA,836.0305822,1.047097294,6,-124.2602608,267.5205215,6.255650224,0.014934114
115,-428.7441926,NA,-0.321045324,NA,NA,-0.622751758,823.386269,1.040788761,6,-124.6231539,268.2463079,6.981436587,0.010389077
103,-471.8180208,NA,-0.338276141,-0.462138278,NA,NA,840.9190407,1.053111522,6,-124.6288076,268.2576151,6.992743848,0.010330507
114,-327.7053741,-32.45410539,NA,NA,NA,-1.977055005,750.8501344,1.030436714,6,-124.7073397,268.4146795,7.149808161,0.009550267
102,-456.694919,-24.02235274,NA,0.285481171,NA,NA,802.3440626,1.090062148,6,-124.9108558,268.8217117,7.556840382,0.007791653
117,-385.1912623,NA,NA,0.042136817,NA,-0.786590709,787.8136419,1.073518391,6,-125.1649535,269.3299069,8.065035616,0.006043332
108,-417.3402255,-18.28544399,-0.36959456,NA,-0.431741985,NA,822.3901867,0.942960253,7,-122.967697,270.1172121,8.852340819,0.004076761
111,-387.8069934,NA,-0.323949154,1.209472196,-0.517657509,NA,817.9538618,0.940938261,7,-123.0355012,270.2528205,8.987949209,0.003809503
123,-385.1255692,NA,-0.353789879,NA,-0.459597756,-0.186466182,818.9677142,0.938220923,7,-123.1682916,270.5184013,9.253529996,0.003335786
65,647.2534872,NA,NA,NA,NA,NA,NA,1.387106823,3,-131.615319,270.8306379,9.565766635,0.002853624
110,-370.8588478,-16.32671413,NA,1.818363922,-0.501902641,NA,783.130856,0.981375329,7,-123.5023232,271.1864645,9.921593201,0.002388526
125,-342.5766863,NA,NA,1.739165307,-0.523573777,-0.185661479,781.1321455,0.975224017,7,-123.6540706,271.4899595,10.22508815,0.002052234
122,-306.4298143,-21.0233718,NA,NA,-0.395804587,-1.197769035,756.912071,0.959992663,7,-123.7200563,271.6219307,10.35705943,0.001921188
116,-369.8829152,-35.23821971,-0.344675953,NA,NA,-1.899732416,785.9418892,0.992027983,7,-124.0514928,272.2848037,11.01993241,0.001379205
73,705.1129577,NA,NA,NA,-0.515444946,NA,NA,1.255097075,4,-130.750819,272.3587809,11.09390958,0.001329122
81,808.3910259,NA,NA,NA,NA,-4.715757124,NA,1.21243826,4,-130.7763179,272.4097786,11.14490726,0.001295659
104,-493.2795748,-26.40874964,-0.356389891,-0.266250747,NA,NA,836.9207355,1.04457035,7,-124.2534865,272.6887911,11.42391984,0.001126948
119,-427.1355431,NA,-0.33493386,-0.488813041,NA,-0.651048433,824.2098801,1.035128434,7,-124.6009986,273.3838153,12.11894403,0.000796125
118,-328.9195887,-32.83768738,NA,0.263530683,NA,-1.971941193,750.8010506,1.032228702,7,-124.7007269,273.5832721,12.31840078,0.00072056
66,618.386813,-28.38589574,NA,NA,NA,NA,NA,1.37654921,4,-131.4052947,273.6677323,12.402861,0.000690764
67,650.4409141,NA,-0.10486723,NA,NA,NA,NA,1.378723423,4,-131.5859216,274.028986,12.76411475,0.000576613
69,646.912819,NA,NA,0.125493203,NA,NA,NA,1.387929459,4,-131.6145847,274.0863122,12.82144088,0.00056032
82,810.6231497,-56.35725927,NA,NA,NA,-6.458334688,NA,1.126933277,5,-129.9682916,274.5519678,13.28709652,0.000443936
89,844.7937034,NA,NA,NA,-0.466125618,-4.249833428,NA,1.110317113,5,-130.0171809,274.6497463,13.38487502,0.000422754
77,710.6107444,NA,NA,2.081977108,-0.614771838,NA,NA,1.243306451,5,-130.5611912,275.737767,14.47289571,0.000245373
74,682.7223288,-18.57455989,NA,NA,-0.48425189,NA,NA,1.25617741,5,-130.6562484,275.9278815,14.66301016,0.000223123
75,710.5111261,NA,-0.143789929,NA,-0.524600197,NA,NA,1.241257342,5,-130.6904718,275.9963283,14.73145696,0.000215616
112,-407.6475026,-18.77848794,-0.337610341,1.257634909,-0.489437619,NA,816.3627217,0.940979964,8,-122.8181413,276.0362827,14.7714114,0.000211352
83,811.7649749,NA,-0.106995106,NA,NA,-4.719322985,NA,1.203752675,5,-130.7428831,276.1011509,14.8362796,0.000204607
85,808.9526145,NA,NA,-0.113514733,NA,-4.723174082,NA,1.211419427,5,-130.7756637,276.1667121,14.90184079,0.000198008
124,-350.327372,-23.48978909,-0.366209901,NA,-0.412828186,-1.082098469,794.4569401,0.916154505,8,-122.893303,276.186606,14.92173467,0.000196048
127,-383.6589552,NA,-0.323652104,1.20416457,-0.516806261,-0.06245213,816.3887922,0.939397686,8,-123.0352037,276.4704074,15.20553605,0.000170113
126,-309.8782481,-21.09756022,NA,1.743819284,-0.481124852,-0.995946106,757.8939973,0.956665465,8,-123.4432573,277.2865147,16.02164339,0.000113115
68,621.1135719,-29.66605553,-0.132542091,NA,NA,NA,NA,1.365477267,5,-131.357671,277.3307266,16.06585531,0.000110642
70,616.7957285,-28.95793412,NA,0.371820792,NA,NA,NA,1.378773818,5,-131.3987887,277.412962,16.14809074,0.000106185
71,650.5985919,NA,-0.106103556,-0.044241595,NA,NA,NA,1.378334574,5,-131.5858341,277.7870529,16.5221816,8.81E-05
90,839.23141,-45.80467844,NA,NA,-0.371672152,-5.760535662,NA,1.061515799,6,-129.4804965,277.9609929,16.69612162,8.07E-05
120,-369.5363839,-34.89143194,-0.352436436,-0.28131844,NA,-1.903450458,786.7843876,0.989250256,8,-124.0437624,278.4875249,17.22265356,6.20E-05
84,815.807212,-58.19193002,-0.162093285,NA,NA,-6.520465205,NA,1.11099141,6,-129.8854233,278.7708467,17.50597537,5.39E-05
93,842.9347677,NA,NA,1.662998926,-0.547670824,-4.059664594,NA,1.107377762,6,-129.8884363,278.7768726,17.51200134,5.37E-05
91,849.9829992,NA,-0.142040394,NA,-0.475220034,-4.245476778,NA,1.096794191,6,-129.9535553,278.9071106,17.64223928,5.03E-05
86,809.244964,-56.76582837,NA,0.281845609,NA,-6.45255217,NA,1.128843059,6,-129.9639446,278.9278892,17.66301791,4.98E-05
78,686.8769222,-19.85094378,NA,2.155980874,-0.584965865,NA,NA,1.244041926,6,-130.451153,279.9023059,18.63743464,3.06E-05
79,713.8184981,NA,-0.096641064,1.922793306,-0.613330738,NA,NA,1.234906269,6,-130.5345522,280.0691045,18.80423319,2.81E-05
76,687.0581722,-19.96068362,-0.160000347,NA,-0.492111498,NA,NA,1.24085805,6,-130.5812532,280.1625065,18.89763518,2.69E-05
87,813.5071409,NA,-0.115355571,-0.298857416,NA,-4.739128709,NA,1.200391646,6,-130.7385369,280.4770737,19.21220241,2.29E-05
41,-864.9023645,NA,NA,NA,-1.210266238,NA,1257.096505,NA,4,-135.2837924,281.4247277,20.15985643,1.43E-05
72,620.2673364,-29.8903583,-0.127854783,0.175221932,NA,NA,NA,1.366917178,6,-131.356279,281.712558,20.44768667,1.24E-05
57,-308.1048703,NA,NA,NA,-1.005191237,-7.006655354,998.2061386,NA,5,-133.926887,282.4691587,21.20428737,8.47E-06
43,-886.4032839,NA,-0.793692451,NA,-1.174429656,NA,1284.803843,NA,5,-134.0237935,282.6629717,21.39810038,7.69E-06
94,837.3432171,-45.90700495,NA,1.678056152,-0.453744683,-5.572019861,NA,1.058440814,7,-129.341721,282.8652603,21.60038897,6.95E-06
92,845.5893416,-47.62185069,-0.180068158,NA,-0.379454194,-5.814945506,NA,1.042436398,7,-129.3729229,282.927664,21.66279271,6.74E-06
128,-349.1027589,-23.3395109,-0.33639083,1.188255843,-0.469580098,-0.953992925,792.0688994,0.917456892,9,-122.7599117,283.5198234,22.25495215,5.01E-06
49,-420.4885539,NA,NA,NA,NA,-9.732936204,1073.661064,NA,4,-136.3667614,283.5906656,22.32579435,4.84E-06
95,846.9907088,NA,-0.105641103,1.487250833,-0.54581689,-4.076521694,NA,1.097630861,7,-129.8542672,283.8903526,22.62548129,4.16E-06
