,(Intercept),armi,cpi,for_prod,nfi,time,df,logLik,AICc,delta,weight
17,748.9759091,,,,,1,3,-158.0815577,323.4964487,0,0.34633748
21,747.1449921,,,-0.000530002,,0.885065783,4,-157.255652,324.8642451,1.367796423,0.174777802
19,787.2047863,,-1.602918483,,,1.014774065,4,-157.7351129,325.823167,2.326718271,0.108207918
25,753.422135,,,,0.599331963,1.04742563,4,-157.9019586,326.1568583,2.66040961,0.09157963
18,749.7052531,-1.513732754,,,,0.999652698,4,-158.0584913,326.4699237,2.973475038,0.078310066
23,780.3554291,,-1.388473414,-0.000502219,,0.903888196,5,-156.9787014,327.7074029,4.210954197,0.042179595
29,750.2178469,,,-0.000502302,0.401308601,0.922828657,5,-157.1715763,328.0931526,4.596703876,0.034780669
22,747.6363793,-0.994905719,,-0.000526522,,0.885592284,5,-157.2449538,328.2399076,4.743458913,0.032319935
27,805.2349046,,-2.080221246,,0.895941518,1.090069941,5,-157.3487809,328.4475618,4.951113155,0.029132579
20,791.8596753,1.720127177,-1.832846453,,,1.017287961,5,-157.7116236,329.1732471,5.676798442,0.020267416
26,754.1957078,-1.564411751,NA,NA,0.602002376,1.047278012,5,-157.8769176,329.5038352,6.007386516,0.017179562
31,794.6858858,NA,-1.771416744,-0.000447943,0.675317093,0.972626343,6,-156.754544,331.1090881,7.61263939,0.007699027
24,785.4029925,1.873074681,-1.638181328,-0.000503775,NA,0.906282058,6,-156.9488655,331.497731,8.001282357,0.006339326
30,750.7654279,-1.056708336,NA,-0.000498374,0.404660957,0.923703319,6,-157.1594202,331.9188404,8.422391718,0.005135709
28,813.8146905,2.781996779,-2.479920039,NA,0.948184002,1.098526231,6,-157.2863711,332.1727423,8.676293597,0.004523413
32,802.9616171,2.669007916,-2.156182002,-0.000446057,0.726366533,0.981233581,7,-156.693928,335.3878561,11.89140739,0.000906386
5,743.4455368,NA,NA,-0.001600897,NA,NA,3,-165.994578,339.3224894,15.82604069,0.000126741
13,730.3434884,NA,NA,-0.001520032,-1.803754618,NA,4,-164.9612536,340.2754485,16.77899977,7.87E-05
6,743.571479,-0.256140765,NA,-0.001600165,NA,NA,4,-165.9942576,342.3414565,18.84500777,2.80E-05
7,742.2224173,NA,0.051258033,-0.001601082,NA,NA,4,-165.9944059,342.341753,18.84530427,2.80E-05
15,710.4913726,NA,0.810367586,-0.001519776,-1.874670882,NA,5,-164.9155742,343.5811484,20.08469968,1.51E-05
14,730.4047248,-0.122382631,NA,-0.001519689,-1.803608415,NA,5,-164.9611733,343.6723466,20.17589793,1.44E-05
1,748.9759091,NA,NA,NA,NA,NA,2,-169.9733319,344.5782427,21.081794,9.15E-06
9,732.513508,NA,NA,NA,-2.219060256,NA,3,-168.8669506,345.0672346,21.57078587,7.17E-06
8,741.032422,-0.450605019,0.110412901,-0.001600008,NA,NA,5,-165.9936436,345.7372872,22.24083851,5.13E-06
2,749.9406819,-2.002358592,NA,NA,NA,NA,3,-169.9596443,347.252622,23.75617327,2.40E-06
3,751.6844224,NA,-0.113566665,NA,NA,NA,3,-169.9727431,347.2788196,23.78237093,2.37E-06
16,704.7726619,-2.026820619,1.085204716,-0.001514005,-1.896300898,NA,6,-164.8987008,347.3974016,23.90095294,2.24E-06
11,712.3169959,NA,0.824410734,NA,-2.291134262,NA,4,-168.8338226,348.0205863,24.52413764,1.64E-06
10,733.3722974,-1.730156282,NA,NA,-2.215667634,NA,4,-168.8556541,348.0642495,24.56780079,1.60E-06
4,745.4576513,-2.345322009,0.194900009,NA,NA,NA,4,-169.95831,350.2695611,26.77311242,5.32E-07
12,700.5690382,-4.158660042,1.388216142,NA,-2.332270262,NA,5,-168.7837985,351.317597,27.8211483,3.15E-07
