,(Intercept),corn_med.lag1,cpi.lag1,for_prod.lag1,nfi.lag1,rice_med.lag1,rub_med.lag1,sug_med.lag1,time,df,logLik,AICc,delta,weight
129,707.6342186,,,,,,,,1.265723759,3,-148.8535794,305.1189234,0,0.241888045
131,740.9180892,,-1.25824227,,,,,,1.227918614,4,-148.6174438,307.7348877,2.615964248,0.065398078
133,706.4742928,,,-0.000227016,,,,,1.246763751,4,-148.6227888,307.7455776,2.626654181,0.06504946
145,700.7626717,,,,,0.515603588,,,1.296989408,4,-148.631176,307.7623521,2.643428611,0.064506158
161,704.4235976,,,,,,0.046696517,,1.275002396,4,-148.711242,307.922484,2.803560582,0.05954276
137,710.6174978,,,,0.354221511,,,,1.258932684,4,-148.757847,308.015694,2.896770552,0.056831441
130,705.7099753,0.372504213,,,,,,,1.271403438,4,-148.8178764,308.1357529,3.016829405,0.053520261
193,706.9107305,,,,,,,0.077143855,1.268356875,4,-148.8505233,308.2010467,3.082123249,0.051801203
147,743.5771155,,-1.717967277,,,0.712973165,,,1.257339644,5,-148.2112065,310.422413,5.303489503,0.017059893
163,753.7697503,,-1.962655016,,,,0.084094756,,1.223463526,5,-148.215769,310.4315381,5.312614608,0.016982233
135,740.0990245,,-1.271604171,-0.000229481,,,,,1.208351226,5,-148.3761567,310.7523133,5.633389865,0.014465696
149,699.4071533,,,-0.000232377,,0.528224291,,,1.278346923,5,-148.3841244,310.7682489,5.649325447,0.014350894
139,752.0381571,,-1.517680584,,0.505484986,,,,1.210432456,5,-148.4274087,310.8548174,5.735893961,0.013742978
165,702.7777166,,,-0.000244976,,,0.052429724,,1.255681546,5,-148.4404919,310.8809838,5.762060338,0.013564347
132,747.8994404,0.85986215,-1.690075283,,,,,,1.228054324,5,-148.4500099,310.9000198,5.781096314,0.013435854
141,709.9980848,,,-0.000250206,0.432468842,,,,1.236535676,5,-148.4790379,310.9580757,5.839152266,0.013051445
195,744.9078406,,-1.551693419,,,,,0.402286549,1.232832644,5,-148.5452032,311.0904064,5.971482983,0.01221584
177,699.351428,,,,,0.442131185,0.034767259,,1.299442403,5,-148.5554198,311.1108396,5.991916165,0.012091672
134,704.9865831,0.293990053,NA,-0.000220958,NA,NA,NA,NA,1.251752261,5,-148.6002366,311.2004732,6.081549748,0.011561726
153,702.9415376,NA,NA,NA,0.159137431,0.452679677,NA,NA,1.290122813,5,-148.6148651,311.2297302,6.110806706,0.011393826
146,700.974765,-0.252914256,NA,NA,NA,0.597720275,NA,NA,1.298112619,5,-148.6200894,311.2401787,6.121255254,0.011334457
197,706.4392449,NA,NA,-0.000226873,NA,NA,NA,0.003814955,1.246905903,5,-148.6227813,311.2455625,6.126639088,0.011303986
169,707.3619322,NA,NA,NA,0.335683636,NA,0.045079433,NA,1.268245409,5,-148.6243032,311.2486064,6.129682926,0.011286796
209,700.742856,NA,NA,NA,NA,0.515385746,NA,0.002422468,1.297058883,5,-148.631173,311.262346,6.143422536,0.011209523
225,705.8527323,NA,NA,NA,NA,NA,0.055974958,-0.220407317,1.269322967,5,-148.6915984,311.3831967,6.264273275,0.010552242
138,708.5316757,0.462808011,NA,NA,0.390424367,NA,NA,NA,1.265295175,5,-148.7031876,311.4063751,6.287451689,0.010430656
162,704.5729318,-0.053820853,NA,NA,NA,NA,0.048568205,NA,1.274553679,5,-148.710718,311.421436,6.302512599,0.010352403
201,710.6592526,NA,NA,NA,0.354825313,NA,NA,-0.003909987,1.25878765,5,-148.7578394,311.5156787,6.396755268,0.009875899
194,705.2951072,0.364886557,NA,NA,NA,NA,NA,0.048432273,1.272940406,5,-148.8166828,311.6333657,6.514442235,0.009311534
167,754.0028674,NA,-2.042045976,-0.000262404,NA,NA,0.091748629,NA,1.200683341,6,-147.890109,313.780218,8.661294529,0.003183011
179,754.4273393,NA,-2.27259869,NA,NA,0.621960281,0.073219433,NA,1.249705027,6,-147.9029389,313.8058779,8.686954418,0.003142434
151,742.7868249,NA,-1.741914176,-0.000237789,NA,0.728638924,NA,NA,1.237710342,6,-147.9417561,313.8835121,8.764588653,0.003022791
171,766.2387042,NA,-2.269031523,NA,0.544466106,NA,0.087309887,NA,1.204458573,6,-147.9868788,313.9737576,8.854834104,0.002889426
143,753.0375406,NA,-1.578054711,-0.000261896,0.593405369,NA,NA,NA,1.185059697,6,-148.1121675,314.2243349,9.105411469,0.002549174
140,764.8310223,1.153210062,-2.176855325,NA,0.661392412,NA,NA,NA,1.205221186,6,-148.1374524,314.2749048,9.155981381,0.002485526
211,747.4750709,NA,-2.003701574,NA,NA,0.710368137,NA,0.394010364,1.262045082,6,-148.1391803,314.2783606,9.159437117,0.002481235
155,749.0996432,NA,-1.792591846,NA,0.26751679,0.615768678,NA,NA,1.244074311,6,-148.163972,314.3279439,9.20902048,0.002420477
164,754.835617,0.301487958,-2.038319224,NA,NA,NA,0.075051911,NA,1.223990172,6,-148.1992738,314.3985475,9.279624072,0.002336521
148,744.9913886,0.200783506,-1.781472492,NA,NA,0.655078221,NA,NA,1.254982283,6,-148.2045212,314.4090424,9.290118985,0.002324292
227,754.042072,NA,-1.988147558,NA,NA,NA,0.082187267,0.056851066,1.224259029,6,-148.2144858,314.4289715,9.310048073,0.002301247
136,746.4460106,0.775040412,-1.659952617,-0.000214263,NA,NA,NA,NA,1.209771139,6,-148.23824,314.47648,9.357556586,0.002247226
181,697.6883313,NA,NA,-0.000245382,NA,0.443394371,0.040475873,NA,1.280159398,6,-148.2796469,314.5592938,9.440370329,0.002156076
173,706.2786628,NA,NA,-0.000266809,0.41671604,NA,0.050933252,NA,1.245571495,6,-148.3048884,314.6097768,9.490853376,0.002102334
199,743.3370042,NA,-1.506034192,-0.00021786,NA,NA,NA,0.322303226,1.21327914,6,-148.3293933,314.6587865,9.539863059,0.002051443
157,702.6827908,NA,NA,-0.000244509,0.244410938,0.432241623,NA,NA,1.266827578,6,-148.3453742,314.6907485,9.571825029,0.00201892
150,699.6895897,-0.40400294,NA,-0.000242039,NA,0.659921483,NA,NA,1.279366017,6,-148.3555702,314.7111403,9.592216898,0.001998439
196,752.3813971,0.886548559,-2.017194552,NA,NA,NA,NA,0.430068666,1.233311931,6,-148.3662368,314.7324737,9.613550225,0.001977236
203,754.7199366,NA,-1.746735102,NA,0.476695602,NA,NA,0.334262642,1.215511464,6,-148.3772994,314.7545988,9.635675357,0.001955483
213,700.0159228,NA,NA,-0.000235315,NA,0.535264768,NA,-0.076517337,1.275916717,6,-148.3810614,314.7621227,9.643199253,0.001948141
