,(Intercept),agr_gdp,dev_agri,dev_env,fdi,gdp,gdp_gr,ind_gdp,pop_den,time,df,logLik,AICc,delta,weight
257,0.001708839,,,,,,,,,-1.54E-06,3,-149.4654124,306.4308249,0,0.117480628
273,0.001069787,,,,,2.25E-05,,,,-1.72E-06,4,-148.6316588,307.9299844,1.499159465,0.055517247
1,0.001365068,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-152.0571005,308.8200833,2.389258396,0.03557504
2,0.001987237,0.000389758,NA,NA,NA,NA,NA,NA,NA,NA,3,-150.7581788,309.0163575,2.585532622,0.032249648
289,0.001780251,NA,NA,NA,NA,NA,5.49E-05,NA,NA,-2.00E-06,4,-149.1966885,309.0600436,2.629218721,0.031552856
385,0.003091612,NA,NA,NA,NA,NA,NA,NA,-0.001027316,-1.29E-06,4,-149.2612948,309.1892563,2.75843143,0.029578796
259,0.001737196,NA,7.19E-07,NA,NA,NA,NA,NA,NA,-1.76E-06,4,-149.3603287,309.3873241,2.956499171,0.026789871
265,0.001642006,NA,NA,NA,1.04E-06,NA,NA,NA,NA,-1.43E-06,4,-149.3690557,309.4047781,2.973953214,0.026557092
321,0.001807981,NA,NA,NA,NA,NA,NA,-0.000100226,NA,-1.45E-06,4,-149.3889262,309.4445191,3.013694211,0.026034598
258,0.001605831,-0.000105724,NA,NA,NA,NA,NA,NA,NA,-1.83E-06,4,-149.4225028,309.5116723,3.080847438,0.025174957
261,0.001707908,NA,NA,1.31E-06,NA,NA,NA,NA,NA,-1.54E-06,4,-149.4626959,309.5920585,3.161233584,0.024183163
65,0.001768365,NA,NA,NA,NA,NA,NA,-0.000343074,NA,NA,3,-151.1577068,309.8154136,3.384588738,0.02162779
18,0.001364364,0.000450861,NA,NA,NA,2.38E-05,NA,NA,NA,NA,4,-149.8289185,310.3245036,3.89367876,0.016767359
129,0.003374972,NA,NA,NA,NA,NA,NA,NA,-0.00143706,NA,3,-151.4407412,310.3814825,3.950657573,0.016296407
