"","(Intercept)","prod_cass.lag1","prod_corn.lag1","prod_rub.lag1","prod_sug.lag1","time","df","logLik","AICc","delta","weight"
"17",0.00168615377899636,NA,NA,NA,NA,-1.55119959520714e-06,3,-157.952076962468,323.315918630819,0,0.340240512531026
"19",0.00169242650753377,NA,5.79244635006735e-06,NA,NA,-1.66484572232718e-06,4,-157.676988849247,325.853977698495,2.53805906767604,0.0956430682662018
"18",0.00176307629373099,5.25666781447035e-06,NA,NA,NA,-1.9002190736613e-06,4,-157.694454640909,325.888909281819,2.57299065100028,0.093987089944788
"21",0.00171650861902894,NA,NA,-1.51134962147864e-06,NA,-1.73430406546018e-06,4,-157.90801560036,326.316031200721,3.000112569902,0.0759136471338732
"25",0.00169418893363404,NA,NA,NA,-4.23454129591049e-08,-1.58500996082744e-06,4,-157.949725883287,326.399451766575,3.08353313575594,0.0728123941079204
"1",0.00127447444736555,NA,NA,NA,NA,NA,2,-161.103661427591,326.873989521848,3.55807089102944,0.0574329001121529
"5",0.00136548995927118,NA,NA,7.54145435765477e-06,NA,NA,3,-160.05668237233,327.525129450541,4.20921081972278,0.041473196349004
"9",0.00129282192673624,NA,NA,NA,8.2835628480284e-07,NA,3,-160.406431062387,328.224626830656,4.90870819983684,0.0292330131335194
"20",0.00175274411665028,4.1176183965703e-06,4.44116704910976e-06,NA,NA,-1.91747744474886e-06,5,-157.540533094282,329.081066188564,5.76514755774537,0.0190502262559022
"23",0.00171332792475366,NA,5.60304021486207e-06,-1.25269114263289e-06,NA,-1.79762424804977e-06,5,-157.642993161506,329.285986323013,5.97006769219388,0.0171950045969797
"26",0.00174345508267516,6.25633293580078e-06,NA,NA,1.92539126881758e-07,-1.82147155220352e-06,5,-157.656066732493,329.312133464987,5.99621483416797,0.0169716675710122
"27",0.00168916882642446,NA,5.8308714657314e-06,NA,1.85735683550916e-08,-1.65161783211663e-06,5,-157.676543938203,329.353087876406,6.03716924558694,0.0166276693246008
"22",0.00176986607688194,5.02353481362932e-06,NA,-5.99987010610757e-07,NA,-1.95046252080219e-06,5,-157.687730314247,329.375460628494,6.05954199767501,0.0164427024461443
"2",0.00128432135129824,-3.29583652970946e-06,NA,NA,NA,NA,3,-160.996866742771,329.405498191424,6.08957956060493,0.0161975982815558
"3",0.00126123603829931,NA,3.2100604359395e-06,NA,NA,NA,3,-161.018670951721,329.449106609324,6.13318797850508,0.015848244990996
"29",0.00170657674120943,NA,NA,-2.20730068509165e-06,1.32097454822666e-07,-1.71750446876213e-06,5,-157.895312269827,329.790624539653,6.47470590883444,0.0133604627289331
"13",0.00135151208549384,NA,NA,5.85005172803357e-06,2.90535168700198e-07,NA,4,-160.002230255211,330.504460510422,7.18854187960329,0.00935005118412392
"6",0.00136560356628412,-1.94066012337931e-06,NA,7.07044489767992e-06,NA,NA,4,-160.009798604381,330.519597208762,7.20367857794366,0.00927955384275734
"7",0.00136415558600783,NA,2.77134607225767e-07,7.52559006418834e-06,NA,NA,4,-160.056044723473,330.612089446946,7.29617081612719,0.00886018238182764
"11",0.00128018751552337,NA,3.12299233106904e-06,NA,8.39414872570919e-07,NA,4,-160.326412168674,331.152824337347,7.83690570652857,0.00676119672059527
"10",0.00129311523530603,-1.44561809350904e-07,NA,NA,8.22099269360774e-07,NA,4,-160.406236314899,331.312472629798,7.99655399897881,0.00624246887911706
"4",0.0012674646439589,-5.06071436653607e-06,5.36599214100056e-06,NA,NA,NA,4,-160.799955861717,332.099911723435,8.78399309261602,0.00421081498046166
"28",0.00173557546836289,5.08700737712436e-06,4.45499683870662e-06,NA,1.84198570081406e-07,-1.84854128888038e-06,6,-157.504210850238,333.008421700475,9.69250306965642,0.00267353407956299
"24",0.00176109703736239,3.85362076339261e-06,4.49320522124183e-06,-8.14070226952762e-07,NA,-1.9838072919544e-06,6,-157.52665066458,333.053301329161,9.73738269834189,0.00261420858709866
"30",0.00175041322509157,6.44283325053065e-06,NA,-2.58396250079867e-06,4.296597326632e-07,-1.94750430809449e-06,6,-157.584512256329,333.169024512659,9.85310588184007,0.00246723925844365
"31",0.00169378693526905,NA,5.95079368017206e-06,-2.51003261758301e-06,2.4515323461011e-07,-1.76611515953654e-06,6,-157.604081061156,333.208162122313,9.89224349149384,0.00241942766850027
"8",0.00135529052156272,-2.99952296507692e-06,2.37221935760482e-06,6.76440917735268e-06,NA,NA,5,-159.978239882059,333.956479764118,10.6405611332993,0.00166424603771969
"14",0.001355186157351,-1.34454098905806e-06,NA,5.95358732333511e-06,2.18635684716286e-07,NA,5,-159.982886163292,333.965772326584,10.6498536957654,0.00165653141861095
"15",0.00134612052107555,NA,8.90319514459478e-07,5.66537975189648e-06,3.13511119342652e-07,NA,5,-159.996079541687,333.992159083373,10.6762404525547,0.00163481971309273
"12",0.00128033714736652,-1.9097593018851e-06,4.09688865911547e-06,NA,7.69899255557951e-07,NA,5,-160.299213172175,334.598426344349,11.2825077135304,0.00120731501794405
"32",0.00174104612223725,5.65711219397891e-06,4.90190361680949e-06,-3.24606342201536e-06,5.14056943582841e-07,-2.00260134380378e-06,7,-157.391571463624,337.398527542632,14.0826089118131,0.000297705153939839
"16",0.00134482145373229,-2.38397128905296e-06,2.35594058514168e-06,5.64067283026685e-06,2.19641685427856e-07,NA,6,-159.951620215341,337.903240430683,14.587321799864,0.000231307301594229
