"","(Intercept)","prod_cass.lag1","prod_corn.lag1","prod_rub.lag1","prod_sug.lag1","time","df","logLik","AICc","delta","weight"
"17",707.634218599352,NA,NA,NA,NA,1.26572375939611,3,-148.853579371127,305.118923448137,0,0.355796895108959
"25",725.677806757705,NA,NA,NA,-0.176492412253307,1.2091085421317,4,-148.151221295697,306.802442591395,1.68351914325814,0.153331229038363
"19",721.301066999902,NA,-1.83267036651086,NA,NA,1.26370949912744,4,-148.292156934964,307.084313869929,1.96539042179194,0.133175104540824
"21",713.569028457477,NA,NA,-0.831899110643017,NA,1.21049618072217,4,-148.723551659351,307.947103318702,2.82817987056472,0.0865108736872794
"18",706.360809292567,-0.531065807386116,NA,NA,NA,1.2783831665487,4,-148.80446112385,308.1089222477,2.98999879956341,0.0797870051852465
"27",737.691876664436,NA,-1.72449609394134,NA,-0.168216466135167,1.20986793168628,5,-147.622179769815,309.24435953963,4.12543609149333,0.0452246369197383
"26",726.237790181515,-1.2691507749308,NA,NA,-0.211736926865278,1.22805649311687,5,-147.877416884707,309.754833769414,4.63591032127755,0.0350370084818899
"29",725.821236465736,NA,NA,-0.0449261628806127,-0.174760354742488,1.20668162238926,5,-148.150888292558,310.301776585116,5.18285313697947,0.0266538466610401
"20",721.846782671363,0.106773517021068,-1.87151667344514,NA,NA,1.26112156470058,5,-148.290326207989,310.580652415978,5.46172896784094,0.0231847692390624
"23",721.337416990665,NA,-1.82697588186235,-0.0110478208269123,NA,1.26298232228476,5,-148.292138460185,310.58427692037,5.46535347223272,0.0231427906394914
"22",712.159650306883,-0.37235372545947,NA,-0.759494997304438,NA,1.22417896829779,5,-148.700126159338,311.400252318677,6.28132887053999,0.0153896562769037
"31",737.960506428505,NA,-2.28420024130749,1.13722610170295,-0.209374379658418,1.27154756714988,6,-147.453592902744,312.907185805488,7.78826235735096,0.00724440082153931
"28",736.15312035871,-0.691251561409637,-1.45984402861952,NA,-0.188682708591149,1.2200715207448,6,-147.550396579193,313.100793158386,7.98186971024882,0.00657599037148567
"30",724.657111677979,-1.46781198682735,NA,0.522568223025944,-0.2374005751367,1.25925166481691,6,-147.837895743467,313.675791486933,8.55686803879632,0.00493289496293336
"24",721.900365003575,0.107358082455781,-1.8638033397332,-0.0153771842591671,NA,1.26009525705519,6,-148.290290465117,314.580580930234,9.46165748209677,0.00313782946477686
"32",735.80587349191,-0.994611953789096,-2.02720208141898,1.38876362100509,-0.247925889170842,1.29987168889136,7,-147.310431995262,317.236248605908,12.1173251577716,0.000831684156190028
"5",802.577216366353,NA,NA,-5.79602374912924,NA,NA,3,-158.875837548009,325.1634398019,20.0445163537627,1.57975861143405e-05
"6",805.257167399182,2.47444496206394,NA,-5.90429324058057,NA,NA,4,-158.437133594294,327.374267188588,22.2553437404512,5.23016830079611e-06
"13",815.703272368557,NA,NA,-4.91601807506413,-0.191611044188888,NA,4,-158.617843423703,327.735686847405,22.6167633992683,4.36550391920064e-06
"7",794.414464011991,NA,1.28255254730594,-6.2211676860565,NA,NA,4,-158.790251794167,328.080503588335,22.9615801401979,3.67416265443632e-06
"9",820.929244238188,NA,NA,NA,-0.438739352370009,NA,3,-160.348840348559,328.109445403,22.9905219548631,3.62137703617161e-06
"1",784.637142857143,NA,NA,NA,NA,NA,2,-161.759536110206,328.185738887078,23.0668154389416,3.48583498050259e-06
"2",786.638276261696,2.11174881887492,NA,NA,NA,NA,3,-161.518360926674,330.44848655923,25.3295631110933,1.12449469204117e-06
"3",799.180888851251,NA,-1.96790377497588,NA,NA,NA,3,-161.573475263459,330.5587152328,25.4397917846629,1.06419584128229e-06
"14",811.896702851484,2.03053196320764,NA,-5.40750489207868,-0.103940680345527,NA,5,-158.373165797019,330.746331594038,25.627408145901,9.68904966894373e-07
"8",803.196155672208,2.381370703421,0.307992824265971,-6.0023150529903,NA,NA,5,-158.432641294883,330.865282589766,25.7463591416289,9.12959057653898e-07
"11",832.664138664071,NA,-1.67607739590038,NA,-0.430855851765434,NA,4,-160.195191446655,330.89038289331,25.771459445173,9.0157288148733e-07
"15",808.920013331023,NA,0.912991570073997,-5.28386210547785,-0.177413813120079,NA,5,-158.57492203463,331.149844069261,26.0309206211238,7.91880341226031e-07
"10",820.252573821639,0.418380433258298,NA,NA,-0.425766092701951,NA,4,-160.339451922052,331.178903844105,26.0599803959678,7.80457595581627e-07
"4",810.415679538578,3.10589213101299,-3.08983258313764,NA,NA,NA,4,-161.09895197205,332.697903944099,27.5789804959625,3.65176339439968e-07
"12",834.005100840114,1.25636898275311,-2.1578320821677,NA,-0.38963205096608,NA,5,-160.121852299237,334.243704598474,29.1247811503367,1.6859173642783e-07
"16",810.047024772262,1.95289762482143,0.268545823722977,-5.49691066420294,-0.103116675005561,NA,6,-158.369733869599,334.739467739199,29.6205442910621,1.31577819666733e-07
