,(Intercept),corn_med,cpi,for_prod,for_rem,nfi,rice_med,rub_med,sug_med,time,df,logLik,AICc,delta,weight
265,-4816.379491,,,,0.059629952,,,,,1.071421123,4,-127.4562966,265.2655344,0,0.156174375
393,-4828.962945,,,,0.059750187,,,,0.403920106,1.076127124,5,-126.1398071,266.0296142,0.764079857,0.106583983
329,-4797.762726,,,,0.059417628,,,0.031800992,,1.067685893,5,-126.5292529,266.8085058,1.542971415,0.072203424
297,-4806.009466,,,,0.059498793,,0.259075954,,,1.074836916,5,-126.6240377,266.9980753,1.732540936,0.065673974
269,-4738.730535,NA,NA,-0.000124194,0.058793386,NA,NA,NA,NA,1.043486842,5,-126.7604889,267.2709779,2.005443486,0.057297181
266,-4817.373212,0.413897194,NA,NA,0.059626892,NA,NA,NA,NA,1.071775641,5,-126.8361949,267.4223897,2.156855376,0.053119574
267,-4877.508838,NA,0.372836358,NA,0.060189649,NA,NA,NA,NA,1.068655069,5,-127.1686414,268.0872828,2.821748402,0.038095607
281,-4799.421169,NA,NA,NA,0.059458289,0.126273243,NA,NA,NA,1.081207621,5,-127.3289564,268.4079128,3.142378464,0.03245271
333,-4701.73692,NA,NA,-0.000148925,0.058381235,NA,NA,0.036780184,NA,1.033604321,6,-125.4466265,268.493253,3.227718675,0.031097077
425,-4819.191664,NA,NA,NA,0.059631146,NA,0.207399706,NA,0.356743799,1.078311947,6,-125.5651411,268.7302822,3.464747837,0.027621633
397,-4768.069805,NA,NA,-9.52E-05,0.059095817,NA,NA,NA,0.359822425,1.054201211,6,-125.7013245,269.002649,3.737114604,0.024104918
394,-4828.66099,0.328989803,NA,NA,0.059737322,NA,NA,NA,0.368873364,1.076000592,6,-125.712779,269.025558,3.760023638,0.023830383
301,-4727.548017,NA,NA,-0.000125362,0.05865332,NA,0.261128721,NA,NA,1.046666964,6,-125.8569611,269.3139222,4.048387848,0.020630679
457,-4815.925345,NA,NA,NA,0.059606875,NA,NA,0.017301148,0.31053507,1.073006981,6,-125.9156908,269.4313816,4.165847221,0.019453939
361,-4793.48118,NA,NA,NA,0.059358868,NA,0.199587695,0.02546814,NA,1.071061196,6,-126.0393158,269.6786317,4.413097322,0.017191662
409,-4819.377741,NA,NA,NA,0.059653345,0.068939121,NA,NA,0.39343085,1.081347873,6,-126.0981371,269.7962741,4.530739755,0.016209594
