,(Intercept),corn.med.lag1,cpi.lag1,for_prod.lag1,for_rem.lag1,nfi.lag1,rice_med.lag1,rub_med.lag1,sug_med.lag1,time,df,logLik,AICc,delta,weight
265,-4610.366677,,,,0.056982544,,,,,1.000953781,4,-120.885887,252.2717739,0,0.171207724
269,-4583.939328,,,-0.000154201,0.056690932,,,,,0.989430138,5,-119.2586143,252.5172287,0.245454756,0.151434048
333,-4563.503087,,,-0.00016579,0.056447072,,,0.032916682,,0.996135887,6,-118.024386,254.048772,1.776998027,0.070413047
329,-4594.151101,,,,0.05678748,,,0.028930178,,1.007608596,5,-120.078721,254.1574419,1.885667993,0.066689238
297,-4585.148219,NA,NA,NA,0.056685973,NA,0.184553507,NA,NA,1.013522927,5,-120.4773115,254.954623,2.682849115,0.044766184
266,-4609.107753,0.306199581,NA,NA,0.056952106,NA,NA,NA,NA,1.005763922,5,-120.5345775,255.069155,2.797381115,0.042274625
393,-4620.039504,NA,NA,NA,0.057065166,NA,NA,NA,0.209197637,1.007710323,5,-120.5587441,255.1174882,2.845714251,0.041265238
267,-4652.411156,NA,0.281614913,NA,0.05735323,NA,NA,NA,NA,1.007692783,5,-120.7227337,255.4454673,3.173693389,0.035023907
301,-4556.900274,NA,NA,-0.000156587,0.056373247,NA,0.194884285,NA,NA,1.002524552,6,-118.7238951,255.4477902,3.176016323,0.034983252
281,-4624.551389,NA,NA,NA,0.05712765,-0.076272145,NA,NA,NA,1.001741818,5,-120.8232156,255.6464312,3.374657305,0.031675672
270,-4583.7889,0.253578181,NA,-0.000148995,0.056675569,NA,NA,NA,NA,0.993802661,6,-118.9802917,255.9605833,3.688809397,0.027071266
397,-4592.415032,NA,NA,-0.000148086,0.056765941,NA,NA,NA,0.160641494,0.995075424,6,-119.0372989,256.0745977,3.802823809,0.025571173
271,-4623.563506,NA,0.264299823,-0.000153239,0.057040645,NA,NA,NA,NA,0.995826655,6,-119.0908494,256.1816989,3.909924952,0.024237841
285,-4588.945922,NA,NA,-0.000152762,0.056742346,-0.025595113,NA,NA,NA,0.989802089,6,-119.2505484,256.5010968,4.229322877,0.020660345
