,(Intercept),agr_gdp.lag2,dev_agr.lag2,dev_env.lag2,fdi.lag2,for_rem.lag2,gdp.lag2,gdp_gr.lag2,ind_gdp.lag2,pop_den.lag2,time,df,logLik,AICc,delta,weight
913,-6401.593795,,,,,0.083532962,,,25.46465091,-541.4661903,0.936526461,6,-77.65138441,174.9391325,0,0.656568569
945,-6371.15862,NA,NA,NA,NA,0.083342113,-0.301042248,NA,27.67724158,-544.3566958,0.924687162,7,-77.25576587,179.7115317,4.772399284,0.060390239
977,-6404.086039,NA,NA,NA,NA,0.083597712,NA,1.009552261,24.88833082,-543.8250151,0.938546659,7,-77.33989852,179.879797,4.940664583,0.055517309
917,-6405.689728,NA,NA,-0.173509354,NA,0.083571949,NA,NA,25.73970424,-540.830309,0.934340313,7,-77.39114295,179.9822859,5.043153449,0.052744021
921,-6369.29283,NA,NA,NA,-0.019713233,0.083132966,NA,NA,24.35521117,-535.5994918,0.933719023,7,-77.47926163,180.1585233,5.219390809,0.048295178
915,-6413.66517,NA,0.013091268,NA,NA,0.083726969,NA,NA,25.54053755,-546.2517411,0.937832571,7,-77.57351495,180.3470299,5.407897437,0.043951134
914,-6387.606085,-1.596513049,NA,NA,NA,0.083390577,NA,NA,24.12636366,-542.7350171,0.939653075,7,-77.5961236,180.3922472,5.453114753,0.042968606
1009,-6348.240602,NA,NA,NA,NA,0.083300553,-0.578994169,2.099411897,28.52163868,-551.930784,0.917957051,8,-76.15207457,184.3041491,9.365016694,0.006077046
949,-6372.195281,NA,NA,-0.204631023,NA,0.083364302,-0.338569126,NA,28.27744395,-543.9670794,0.920633049,8,-76.88155674,185.7631135,10.82398102,0.0029301
985,-6355.231226,NA,NA,NA,-0.030338896,0.083004374,NA,1.35660259,22.9827705,-535.6069827,0.934920455,8,-76.95104289,185.9020858,10.96295332,0.002733412
981,-6409.046567,NA,NA,-0.197619175,NA,0.083649793,NA,1.129231759,25.13328284,-543.3804075,0.936296226,8,-76.99328969,185.9865794,11.04744692,0.002620339
947,-6383.929968,NA,0.014796944,NA,NA,0.083555923,-0.309675543,NA,27.82646829,-549.8486554,0.92582392,8,-77.15199767,186.3039953,11.36486288,0.002235792
946,-6350.509546,-2.142877033,NA,NA,NA,0.083139247,-0.319582859,NA,26.01723041,-546.2377653,0.928154618,8,-77.15300455,186.3060091,11.36687665,0.002233542
953,-6357.088467,NA,NA,NA,-0.010896892,0.083144741,-0.263605161,NA,26.78882219,-540.7543001,0.924607608,8,-77.20745689,186.4149138,11.47578133,0.002115173
978,-6398.75518,-0.595921307,NA,NA,NA,0.083541714,NA,0.965096543,24.41417429,-544.1947518,0.939624753,8,-77.33256411,186.6651282,11.72599577,0.001866433
979,-6405.755511,NA,0.001898228,NA,NA,0.083623742,NA,0.976793083,24.91803548,-544.4423757,0.93867049,8,-77.3385446,186.6770892,11.73795675,0.001855304
925,-6387.916242,NA,NA,-0.137106538,-0.010322679,0.083354315,NA,NA,25.1010478,-537.8916685,0.933328881,8,-77.35457184,186.7091437,11.77001122,0.001825806
919,-6412.923007,NA,0.008185143,-0.160199838,NA,0.083690259,NA,NA,25.76605264,-543.8711887,0.935324636,8,-77.36144893,186.7228979,11.78376541,0.001813293
