"","(Intercept)","prod_cass.lag2","prod_corn.lag2","prod_rub.lag2","prod_sug.lag2","time","df","logLik","AICc","delta","weight"
"17",692.535735145706,NA,NA,NA,NA,1.17939143246358,3,-141.33920299413,290.17840598826,0,0.331056787279141
"25",715.172719908524,NA,NA,NA,-0.214287347774327,1.06439612544547,4,-140.366553663881,291.39977399443,1.22136800616988,0.1797569966807
"19",707.565825457089,NA,-1.74151775555244,NA,NA,1.13729223834783,4,-140.839064625774,292.344795918214,2.16638992995451,0.112066781664502
"21",701.087072030976,NA,NA,-1.46179757621388,NA,1.06999800544893,4,-140.934583273401,292.535833213469,2.35742722520922,0.101857656164973
"18",692.603547802886,0.39253770996515,NA,NA,NA,1.18861214882843,4,-141.311022873221,293.288712413109,3.11030642484911,0.0699049673945238
"27",731.933368713264,NA,-1.85199343790576,NA,-0.221643599751948,1.01567864440206,5,-139.740513116674,293.766740519062,3.5883345308024,0.0550434381486397
"26",719.653075444202,-0.940791835083774,NA,NA,-0.258238023466358,1.01871119163578,5,-140.230449119554,294.746612524823,4.56820653656325,0.0337232211564734
"29",717.210996709028,NA,NA,-0.812866982527709,-0.188568536421185,1.01736709331314,5,-140.245393579008,294.776501443731,4.59809545547142,0.0332229929750419
"23",710.11347227589,NA,-1.35214671524253,-1.00995207134939,NA,1.07112520780561,5,-140.664188209461,295.614090704637,5.4356847163773,0.0218553898296864
"20",710.567258268687,0.993838788233851,-2.06939649931419,NA,NA,1.1527114330208,5,-140.66612052184,295.617955329394,5.43954934113412,0.0218131991652827
"22",701.011108992533,0.281883866971807,NA,-1.44048777204137,NA,1.07821417783355,5,-140.919549147113,296.124812579939,5.94640659167976,0.0169299903745154
"28",732.560091952753,-0.316233683592987,-1.75483560964293,NA,-0.236031071169157,1.00287808737227,6,-139.726020006972,297.913578475483,7.73517248722334,0.00692199262540128
"31",731.812625389742,NA,-1.8090856474904,-0.106709073005519,-0.218096931212051,1.01063361834512,6,-139.738650281797,297.938839025132,7.76043303687254,0.00683511575051943
"30",721.088849867877,-0.857427153766732,NA,-0.730916250911366,-0.231217581472359,0.980471677084862,6,-140.132340568555,298.726219598649,8.54781361038886,0.00461071580986402
"24",712.14716793818,0.819406953091248,-1.68987064617196,-0.835149831267214,NA,1.09529030246068,6,-140.550216895392,299.561972252322,9.38356626406244,0.00303589657093163
"32",732.436387129974,-0.320016319521121,-1.7070492483036,-0.1159515729955,-0.232349307514198,0.997242977277327,7,-139.723819350057,302.780972033447,12.6025660451874,0.000607141683515004
"5",751.913188087961,NA,NA,-5.84567615950482,NA,NA,3,-148.870063384353,305.240126768705,15.0617207804453,0.000177538025155097
"13",776.636982447166,NA,NA,-4.27671921497881,-0.342202365977537,NA,4,-147.776922891646,306.22051244996,16.0421064616999,0.000108743507993014
"10",789.1869055003,-4.52731468256606,NA,NA,-0.697905641891779,NA,4,-147.954202536844,306.575071740354,16.3966657520946,9.10776397085976e-05
"9",781.280709015194,NA,NA,NA,-0.557240023050541,NA,3,-149.582299315969,306.664598631938,16.4861926436787,8.70905934225546e-05
"11",809.231519149636,NA,-3.76885056692446,NA,-0.540266470940299,NA,4,-148.470527214282,307.607721095231,17.4293151069717,5.43469040604185e-05
"14",783.678903741791,-3.50485429170083,NA,-3.42825016769531,-0.49376155961875,NA,5,-146.722485081479,307.730684448673,17.5522784604133,5.11062077497682e-05
"6",750.355626704348,-1.39685410527338,NA,-5.78446380255683,NA,NA,4,-148.693755049633,308.054176765933,17.8757707776734,4.34738589415955e-05
"7",760.558398404673,NA,-1.28740807273613,-5.41986143704052,NA,NA,4,-148.760086975194,308.186840617055,18.0084346287952,4.06837149387841e-05
"15",792.967574224968,NA,-2.07930617660671,-3.43873353434533,-0.374972662133106,NA,5,-147.464415775955,309.214545837624,19.036139849364,2.43364512476965e-05
"12",805.273904474096,-3.6019196852738,-2.38705553324901,NA,-0.658402777856872,NA,5,-147.5221547854,309.330023856515,19.1516178682549,2.29710853947203e-05
"1",732.564,NA,NA,NA,NA,NA,2,-152.451486459119,309.608855271178,19.4304492829187,1.99817740578227e-05
"3",764.736126858575,NA,-4.11935043003527,NA,NA,NA,3,-151.457438202206,310.414876404411,20.2364704161517,1.33539202622928e-05
"8",756.105690202689,-1.15033396821328,-0.81534079821721,-5.52558988452561,NA,NA,5,-148.654568882747,311.594852051208,21.4164460629488,7.40253249669741e-06
"16",791.096047116986,-3.21091650590354,-1.01958967026097,-3.08850075551777,-0.497119854757912,NA,6,-146.647823370035,311.757185201609,21.5787792133495,6.82543172681145e-06
"2",730.86400520332,-1.75257195534055,NA,NA,NA,NA,3,-152.256792187852,312.013584375703,21.8351783874435,6.00418069266587e-06
"4",762.900837904635,-0.482977218954811,-3.94434389334461,NA,NA,NA,4,-151.443140807649,313.552948281965,23.3745422937057,2.78089844061374e-06
