"","(Intercept)","prod_cass.lag2","prod_corn.lag2","prod_rub.lag2","prod_sug.lag2","time","df","logLik","AICc","delta","weight"
"17",0.00170883942740447,NA,NA,NA,NA,-1.53577954818044e-06,3,-149.465412442792,306.430824885585,0,0.275323581927435
"1",0.00136506843290925,NA,NA,NA,NA,NA,2,-152.057100464329,308.8200832816,2.3892583960149,0.0833724458671752
"9",0.00144064447703673,NA,NA,NA,1.21868175797231e-06,NA,3,-150.723717504372,308.947435008744,2.51661012315947,0.0782291238461572
"5",0.00148428788752677,NA,NA,8.58787745518016e-06,NA,NA,3,-150.84666530723,309.19333061446,2.76250572887483,0.0691787824116395
"25",0.00168116620728843,NA,NA,NA,3.98763935586713e-07,-1.3016744807803e-06,4,-149.354810747314,309.376288161294,2.94546327570896,0.0631312207732305
"19",0.00169054646557589,NA,3.03809115238388e-06,NA,NA,-1.45597103229832e-06,4,-149.404813471885,309.476293610437,3.04546872485179,0.0600521111876592
"18",0.00171293230178188,-1.08547288690973e-06,NA,NA,NA,-1.57657951756334e-06,4,-149.452942946462,309.572552559591,3.14172767400663,0.0572302858115064
"21",0.00170762948597764,NA,NA,1.73867791561039e-07,NA,-1.5195911845769e-06,4,-149.465144488734,309.596955644134,3.16613075854946,0.0565362309406442
"3",0.00136399101804128,NA,7.63867022777071e-06,NA,NA,NA,3,-151.629713044982,310.759426089964,4.32860120437886,0.0316154670770498
"10",0.00149777713194953,7.94938474561064e-06,NA,NA,1.5447937052651e-06,NA,4,-150.105994738541,310.878656143748,4.44783125816326,0.0297857901271516
"11",0.00144471348174729,NA,8.12556100346564e-06,NA,1.30277649988908e-06,NA,4,-150.222446858693,311.111560384053,4.68073549846866,0.0265115190124896
"2",0.00138057480976364,3.33973557141541e-06,NA,NA,NA,NA,3,-151.969630846288,311.439261692576,5.00843680699131,0.0225048009949416
"13",0.00147231116525726,NA,NA,4.04572859067067e-06,8.23656810854895e-07,NA,4,-150.505444106134,311.677554878936,5.24672999335075,0.0199770091699498
"7",0.00148076621816347,NA,4.69935955195515e-06,8.38194369410491e-06,NA,NA,4,-150.681695138091,312.030056942848,5.59923205726329,0.0167488741127993
"6",0.00151142626332028,3.55018910543843e-06,NA,9.35539198281229e-06,NA,NA,4,-150.700880002712,312.068426672091,5.63760178650614,0.0164306119006579
"27",0.00164675914568584,NA,4.63405002960619e-06,NA,5.36954703093614e-07,-1.11259735208628e-06,5,-149.224663304646,312.735040895006,6.30421600942111,0.011773356594155
"29",0.00168701747079469,NA,NA,-1.46250855753593e-06,4.74371883870462e-07,-1.39757026652333e-06,5,-149.336054663279,312.957823612273,6.52699872668802,0.010532310303823
"26",0.00166793750079103,1.48905822242587e-06,NA,NA,5.20458628947822e-07,-1.17797418466053e-06,5,-149.339587035768,312.964888357249,6.53406347166452,0.0104951718926357
"20",0.00169272814896938,-2.49239555761184e-06,4.28488094675841e-06,NA,NA,-1.51820136598157e-06,5,-149.350235692263,312.986185670241,6.55536078465639,0.0103840053499141
"23",0.00169025348270764,NA,3.03505282013293e-06,4.89808107944353e-08,NA,-1.45162251752579e-06,5,-149.404793777099,313.095301839913,6.66447695432794,0.00983265107761598
"22",0.00171467074805405,-1.14925632442057e-06,NA,-2.0580537702085e-07,NA,-1.59843268814523e-06,5,-149.452582545752,313.190879377219,6.76005449163421,0.00937381179240116
"4",0.00136597262673774,4.20621081395034e-07,7.43542905890014e-06,NA,NA,NA,4,-151.628397314421,313.923461295509,7.49263640992393,0.00649887355423636
"12",0.001481297265366,5.70583777749872e-06,4.57195583141749e-06,NA,1.45742355134344e-06,NA,5,-149.989840465891,314.265395217495,7.83457033191064,0.0054775718053163
"14",0.00151056992693851,6.86455265562737e-06,NA,2.50713830572579e-06,1.27106506536215e-06,NA,5,-150.048357704873,314.382429695461,7.95160480987596,0.00516623747555514
"15",0.00146309533914894,NA,7.05360665459746e-06,2.3709071004921e-06,1.06601011414427e-06,NA,5,-150.167972497834,314.621659281382,8.19083439579714,0.00458380697267788
"8",0.00149591485894787,1.99032626041151e-06,3.19435321032913e-06,8.79219912774434e-06,NA,NA,5,-150.651670472406,315.589055230526,9.15823034494088,0.00282591412132528
"31",0.00165018312231511,NA,5.25860552504517e-06,-2.43638186838597e-06,6.78943389604313e-07,-1.24005042997803e-06,6,-149.178548096089,316.818634653716,10.3878097681309,0.00152812605402566
"28",0.00164726494499308,-9.26543481783209e-08,4.66974584628922e-06,NA,5.31048332333882e-07,-1.11843768914804e-06,6,-149.224608915382,316.910756292302,10.479931406717,0.00145933574664391
"30",0.00167365196551985,1.46779204295305e-06,NA,-1.44481903350763e-06,5.90748437096514e-07,-1.27407623626538e-06,6,-149.322100977157,317.105740415853,10.6749155302678,0.0013237773812972
"24",0.00169716549491297,-2.65924833730669e-06,4.33773477556545e-06,-6.16140063417458e-07,NA,-1.57973126143629e-06,6,-149.346947096534,317.155432654606,10.7246077690212,0.00129129189081144
"16",0.00149156300270941,5.29668199729246e-06,3.96430214307663e-06,1.56842249180705e-06,1.30111248454243e-06,NA,6,-149.970528956897,318.402596375333,11.9717714897482,0.00069215962543119
"32",0.00165053967515353,-5.92636794865425e-08,5.27554791412924e-06,-2.43305585914249e-06,6.75075084207314e-07,-1.24374868410132e-06,7,-149.178526566921,321.690386467176,15.2595615815907,0.000133743201647963
