"","(Intercept)","for_rem","prod_cass","prod_corn","prod_rub","prod_sug","time","df","logLik","AICc","delta","weight"
"34",-4816.37949130912,0.0596299521563387,NA,NA,NA,NA,1.07142112328112,4,-127.456296597345,265.26553437116,0,0.522300062778518
"42",-4836.12495799784,0.0598385874113688,NA,NA,0.10187736296067,NA,1.07034150203986,5,-127.42335664008,268.59671328016,3.33117890899945,0.0987560631751899
"36",-4816.61410469854,0.0596321756623574,-0.0266063908806022,NA,NA,NA,1.07197673451719,5,-127.454678773605,268.65935754721,3.39382317604964,0.0957107543323308
"38",-4818.88620486496,0.0596553513970525,NA,0.0198778463461714,NA,NA,1.0713578598475,5,-127.455468651706,268.660937303412,3.39540293225127,0.0956351843529359
"50",-4813.07403738941,0.059595779047453,NA,NA,NA,-0.00151621573463689,1.07137074481124,5,-127.455630193054,268.661260386107,3.39572601494655,0.0956197365641358
"58",-4825.46804593231,0.0597299197025311,NA,NA,0.136021231528135,-0.00792385312968363,1.06971638894546,6,-127.40879772775,272.417595455499,7.15206108433875,0.0146173870422648
"46",-4833.9340066866,0.0598172777132184,NA,-0.0336465277918205,0.112465104542051,NA,1.07033638473202,6,-127.421333578407,272.442667156813,7.17713278565259,0.0144352894202824
"44",-4836.50178517127,0.0598422857468521,-0.029505257794773,NA,0.10247923146472,NA,1.07095127106246,6,-127.421362225812,272.442724451623,7.17719008046299,0.0144348758926205
"40",-4820.93271063005,0.0596758699102353,-0.03767875645531,0.0334716361030009,NA,NA,1.07210142739011,6,-127.452610962977,272.505221925955,7.23968755479427,0.0139907791186946
"52",-4810.6729814175,0.0595706661190397,-0.0381732922346048,NA,NA,-0.00277198624409785,1.07212617849113,6,-127.452756738431,272.505513476863,7.23997910570245,0.0139887397551637
"54",-4815.56615976235,0.0596210227049819,NA,0.0200601417707692,NA,-0.00153345359339687,1.07130632844947,6,-127.454787026435,272.509574052869,7.24403968170884,0.0139603673964348
"60",-4822.01906825141,0.0596943709223987,-0.0777477542179629,NA,0.151838778019903,-0.0112266149071631,1.07106260424113,7,-127.397457669331,276.794915338663,11.5293809675024,0.00163812414291974
"62",-4820.69773086119,0.0596829258891783,NA,-0.0537920267303598,0.157009412302856,-0.00886633254586557,1.0696338554649,7,-127.403825456581,276.807650913161,11.5421165420007,0.00162772605842063
"48",-4834.7879360838,0.0598256074757628,-0.0215318363858941,-0.024755799851036,0.11010663050434,NA,1.07078272360883,7,-127.420412576121,276.840825152241,11.5752907810809,0.00160094945896248
"56",-4814.62498953723,0.0596103793634015,-0.0535132715398605,0.0395779968495381,NA,-0.00331062872481357,1.07230265898981,7,-127.449937614778,276.899875229556,11.6343408583955,0.00155437234336594
"64",-4819.66361836981,0.0596713576357433,-0.0683023939599701,-0.0312859098556747,0.162124056107923,-0.0113735256992947,1.07085105406828,8,-127.395941702915,281.868806482753,16.6032721115926,0.000129588167400038
"33",748.975909090909,NA,NA,NA,NA,NA,1,3,-158.081557674198,323.496448681729,58.2309143105684,1.1836892334891e-13
"49",764.482729573332,NA,NA,NA,NA,-0.202643332707641,0.998737267637215,4,-157.25531386938,324.86356891523,59.5980345440695,5.97545954727744e-14
"41",753.289395383528,NA,NA,NA,-1.60841861758678,NA,1.02099005636617,4,-157.529952285088,325.412845746646,60.1473113754855,4.54043394838558e-14
"37",760.133109651791,NA,NA,-1.62878840304853,NA,NA,1.00767654584249,4,-157.719657603077,325.792256382625,60.5267220114646,3.75585994698527e-14
"35",749.053113346695,NA,0.0758256083608337,NA,NA,NA,0.998424152192232,4,-158.080745756722,326.514432689915,61.2488983187547,2.61752474971322e-14
"53",774.074200033379,NA,NA,-1.48491832187452,NA,-0.195061009579957,1.00578299571481,5,-156.932856464109,327.615712928217,62.3501785570569,1.5092140219466e-14
"57",763.470394408853,NA,NA,NA,-0.85960961809002,-0.15928821474753,1.01022543547104,5,-157.128201875636,328.006403751272,62.7408693801112,1.24140473411275e-14
"51",765.669510418504,NA,-0.892814766633199,NA,NA,-0.230031648339576,1.01712155033361,5,-157.149136214894,328.048272429788,62.7827380586273,1.21568687863139e-14
"45",759.037857714159,NA,NA,-0.964903601199909,-1.28732028831641,NA,1.02134731438809,5,-157.420589634052,328.591179268104,63.3256448969433,9.26682597192305e-15
"43",753.412424445537,NA,0.115707166038923,NA,-1.61036436072102,NA,1.01861076116225,5,-157.527965179258,328.805930358517,63.5403959873563,8.32335465994926e-15
"39",762.467281226719,NA,0.689269624513593,-1.8670905600445,NA,NA,0.994474908499979,5,-157.658029297644,329.066058595287,63.8005242241267,7.30823108983361e-15
"61",772.700186270953,NA,NA,-1.33072705253875,-0.321017827728217,-0.179657546366151,1.00934159093179,6,-156.918225481202,331.436450962404,66.1709165912432,2.23402541256136e-15
"55",773.706116102638,NA,-0.347560036367341,-1.35640808579555,NA,-0.206379091501795,1.01232997143005,6,-156.918808914665,331.437617829329,66.1720834581687,2.23272238753017e-15
"59",764.573129127889,NA,-0.698894832313476,NA,-0.712094907457365,-0.188167796565129,1.0226451945107,6,-157.066290425248,331.732580850496,66.467046479336,1.92656790418582e-15
