"","time","for_cov","for_rem.lag1","for_rem.lag2","armi.lag1","armi.lag2","cpi.lag1","cpi.lag2","nfi.lag1","nfi.lag2","rice_med.lag1","rice_med.lag2","rub_med.lag1","rub_med.lag2","corn.med.lag1","corn_med.lag2","sug_med.lag1","sug_med.lag2","for_prod.lag1","for_prod_lag2"
"time",1,0.819051648553083,0.200084270705748,0.208017490745322,-0.279041102313011,-0.150195282243911,-0.243827200616115,-0.183536498030098,-0.0301330305407882,-0.149799229682423,-0.304144746035376,-0.23527039951141,-0.134669898850961,-0.146124328065896,-0.127687411380895,-0.23409580857668,-0.249789230618764,-0.0874075879996853,-0.320677429760475,-0.427220782703915
"for_cov",0.819051648553083,1,0.706029136769913,0.714615642286241,-0.292533265798404,-0.211634432063001,-0.264752605372481,-0.321931306029696,-0.0258052063952847,-0.0341087577611795,-0.197281886006616,-0.195472150119329,-0.0629349527388691,-0.107080877833112,-0.0781201992499186,-0.271062859678115,-0.232644339769643,-0.10580603338055,-0.442215028779828,-0.372252197181817
"for_rem.lag1",0.200084270705748,0.706029136769913,1,0.997313291621691,-0.256647318293912,-0.223061375828656,-0.192363165302171,-0.316563815674984,-0.0119370281285355,0.138528128285353,-0.0351733329362294,-0.0494321640738456,-0.0288731115280418,-0.0469573259187138,-0.033047030026797,-0.160120606121309,-0.168613374673145,-0.101699919375513,-0.313920874334318,-0.0352817105123145
"for_rem.lag2",0.208017490745322,0.714615642286241,0.997313291621691,1,-0.24671368501797,-0.235657470998541,-0.190490956889072,-0.336531774435787,-0.0357684369578972,0.141198344259204,-0.0345218220487768,-0.0715923396340721,-0.0138099009465852,-0.0543492635799297,-0.0313571217147241,-0.175056207282567,-0.164133521027732,-0.112985338699201,-0.338697983188273,-0.0489380516554522
"armi.lag1",-0.279041102313011,-0.292533265798404,-0.256647318293912,-0.24671368501797,1,0.0477573022748343,0.500372325576389,0.0298578432747678,-0.00924431657757203,0.236952227435264,0.225968532717941,-0.318764018169223,0.87686894035239,0.112219971025611,0.557533317005907,-0.413769822223123,0.52942391065466,0.125025600317008,0.0733249517636226,0.279573944213136
"armi.lag2",-0.150195282243911,-0.211634432063001,-0.223061375828656,-0.235657470998541,0.0477573022748343,1,0.326380788002398,0.464206421157492,-0.17432034518876,0.0120447447659211,0.37536740928419,0.21140708406231,-0.0593607445918882,0.883041746374815,0.409922811198872,0.577290665537957,0.287908829791056,0.528721192665456,-0.109930780189689,0.114389157740432
"cpi.lag1",-0.243827200616115,-0.264752605372481,-0.192363165302171,-0.190490956889072,0.500372325576389,0.326380788002398,1,-0.184486358474245,0.285587192299014,0.0179873080512703,0.355678664341783,0.0475022096424769,0.439040583645994,0.355264082627806,0.406641249928095,0.00278761120547493,0.467584340279292,0.211867064050601,0.12833005689802,0.385980559412856
"cpi.lag2",-0.183536498030098,-0.321931306029696,-0.316563815674984,-0.336531774435787,0.0298578432747678,0.464206421157492,-0.184486358474245,1,-0.190385519376601,0.189443143910389,0.0396780372240407,0.288908939516825,-0.13099086367884,0.379341095215808,0.267607590723341,0.349408999937619,0.128678277375164,0.415976996604476,-0.0486074753602889,0.0769291176729889
"nfi.lag1",-0.0301330305407882,-0.0258052063952847,-0.0119370281285355,-0.0357684369578972,-0.00924431657757203,-0.17432034518876,0.285587192299014,-0.190385519376601,1,-0.267077151526749,0.369277485595022,0.198824253599235,0.00757680953294086,-0.323308675844306,-0.153689625148474,0.0240715748039371,0.129869269417702,-0.341614573278758,-0.0120426015123751,0.146983598825019
"nfi.lag2",-0.149799229682423,-0.0341087577611795,0.138528128285353,0.141198344259204,0.236952227435264,0.0120447447659211,0.0179873080512703,0.189443143910389,-0.267077151526749,1,-0.188781751131156,0.38523788889293,0.187211583956914,0.0322493408216672,-0.0727089541696736,-0.171041279424133,0.502062707190235,0.166698182395762,0.0175481319030426,0.119330030428446
