year,elc,gdp,gdp_gr,fdi,ind_gdp,agr_gdp,dev_agri,dev_env,pop_den,cpi,nfi,rice_med,rub_med,corn_med,sug_med,for_prod,prod_rice,prod_rub,prod_cass,prod_corn,prod_sug,for_rem,gdp.L1,gdp_gr.L1,fdi.L1,ind_gdp.L1,agr_gdp.L1,dev_agri.L1,dev_env.L1,pop_den.L1,cpi.L1,nfi.L1,rice_med.L1,rub_med.L1,corn_med.L1,sug_med.L1,for_prod.L1,prod_rice.L1,prod_rub.L1,prod_cass.L1,prod_corn.L1,prod_sug.L1,for_rem.L1,gdp.L2,gdp_gr.L2,fdi.L2,ind_gdp.L2,agr_gdp.L2,dev_agri.L2,dev_env.L2,pop_den.L2,cpi.L2,nfi.L2,rice_med.L2,rub_med.L2,corn_med.L2,sug_med.L2,for_prod.L2,prod_rice.L2,prod_rub.L2,prod_cass.L2,prod_corn.L2,prod_sug.L2,for_rem.L2
1994,NA,NA,NA,14.8,NA,NA,-97.52,1.62,1.92,-10.32,110.79,41.7,330,5,47.5,304000,19.1,24.8,17.6,-6.7,131.6,103971.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,1,20.610181,NA,81.8,1.2,0.4,58.27,-1.84,1.87,70.11,-44.99,71.5,475,17,25,26000,62.9,106.3,-3.4,38.6,624.9,102145.23,NA,NA,14.8,NA,NA,-97.52,1.62,1.92,-10.32,110.79,41.7,330,5,47.5,304000,19.1,24.8,17.6,-6.7,131.6,103971.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,1,9.3907176,-3.668300917,143,-0.2,-1.4,168.96,1.48,1.81,-4.64,17.37,1.1,-220,52,-30,-60000,-33.1,-61.7,-36.6,-39.4,-339.6,101575.17,20.610181,NA,81.8,1.2,0.4,58.27,-1.84,1.87,70.11,-44.99,71.5,475,17,25,26000,62.9,106.3,-3.4,38.6,624.9,102145.23,NA,NA,14.8,NA,NA,-97.52,1.62,1.92,-10.32,110.79,41.7,330,5,47.5,304000,19.1,24.8,17.6,-6.7,131.6,103971.33
1997,0,3.8664747,-1.646020936,-125.6,1.8,-1,-97.07,-0.97,1.74,-0.78,-15.79,-21.6,-380,-57,-13.33,10000,-6,-70.9,-39.1,-16.6,-406.7,100559.88,9.3907176,-3.668300917,143,-0.2,-1.4,168.96,1.48,1.81,-4.64,17.37,1.1,-220,52,-30,-60000,-33.1,-61.7,-36.6,-39.4,-339.6,101575.17,20.610181,NA,81.8,1.2,0.4,58.27,-1.84,1.87,70.11,-44.99,71.5,475,17,25,26000,62.9,106.3,-3.4,38.6,624.9,102145.23
1998,1,6.9511443,0.856574492,74.7,0.2,-0.1,-173.83,0.59,1.67,-0.39,17.26,-7.2,-315,-16,-53.33,-30000,-15.5,-110.2,54.5,21.8,-635.4,99420.39,3.8664747,-1.646020936,-125.6,1.8,-1,-97.07,-0.97,1.74,-0.78,-15.79,-21.6,-380,-57,-13.33,10000,-6,-70.9,-39.1,-16.6,-406.7,100559.88,9.3907176,-3.668300917,143,-0.2,-1.4,168.96,1.48,1.81,-4.64,17.37,1.1,-220,52,-30,-60000,-33.1,-61.7,-36.6,-39.4,-339.6,101575.17
1999,5,36.1884362,8.036802171,-10.6,1.3,-3.4,271.94,5.34,1.58,34.58,-17.71,-60.7,-90,-12,-58.34,-153000,-47.3,-1.7,-12.4,28.7,-4,97523.19,6.9511443,0.856574492,74.7,0.2,-0.1,-173.83,0.59,1.67,-0.39,17.26,-7.2,-315,-16,-53.33,-30000,-15.5,-110.2,54.5,21.8,-635.4,99420.39,3.8664747,-1.646020936,-125.6,1.8,-1,-97.07,-0.97,1.74,-0.78,-15.79,-21.6,-380,-57,-13.33,10000,-6,-70.9,-39.1,-16.6,-406.7,100559.88
2000,5,32.9141036,-1.730160171,-83.7,3.4,-2.2,-12.62,-2.9,1.48,-4.39,-16.94,-51.9,40,1,40.84,-748000,-14,-20.4,-10.7,-23.6,-123.1,95993.91,36.1884362,8.036802171,-10.6,1.3,-3.4,271.94,5.34,1.58,34.58,-17.71,-60.7,-90,-12,-58.34,-153000,-47.3,-1.7,-12.4,28.7,-4,97523.19,6.9511443,0.856574492,74.7,0.2,-0.1,-173.83,0.59,1.67,-0.39,17.26,-7.2,-315,-16,-53.33,-30000,-15.5,-110.2,54.5,21.8,-635.4,99420.39
2001,2,22.7667277,-2.984066164,0.9,0.8,-1.9,-186.38,26.02,1.38,0.63,-86.47,-20.7,-75,-1,10.83,-71000,8.9,-3.2,17,-40.1,-16.3,94752.63,32.9141036,-1.730160171,-83.7,3.4,-2.2,-12.62,-2.9,1.48,-4.39,-16.94,-51.9,40,1,40.84,-748000,-14,-20.4,-10.7,-23.6,-123.1,95993.91,36.1884362,8.036802171,-10.6,1.3,-3.4,271.94,5.34,1.58,34.58,-17.71,-60.7,-90,-12,-58.34,-153000,-47.3,-1.7,-12.4,28.7,-4,97523.19
2002,0,20.9720144,-0.660123654,-4.3,2.2,-2.9,-79.91,-19.34,1.29,-18.01,-62.32,18.5,245,6,-38.33,79000,14.9,0.1,15.5,-48.5,1.5,93424.32,22.7667277,-2.984066164,0.9,0.8,-1.9,-186.38,26.02,1.38,0.63,-86.47,-20.7,-75,-1,10.83,-71000,8.9,-3.2,17,-40.1,-16.3,94752.63,32.9141036,-1.730160171,-83.7,3.4,-2.2,-12.62,-2.9,1.48,-4.39,-16.94,-51.9,40,1,40.84,-748000,-14,-20.4,-10.7,-23.6,-123.1,95993.91
2003,0,31.6419857,2.042596072,-61.1,0.8,0.5,104.98,3.96,1.2,61.79,36.05,7.5,210,10,4.16,0,-14.9,-1,-32.7,22.5,-6,92912.67,20.9720144,-0.660123654,-4.3,2.2,-2.9,-79.91,-19.34,1.29,-18.01,-62.32,18.5,245,6,-38.33,79000,14.9,0.1,15.5,-48.5,1.5,93424.32,22.7667277,-2.984066164,0.9,0.8,-1.9,-186.38,26.02,1.38,0.63,-86.47,-20.7,-75,-1,10.83,-71000,8.9,-3.2,17,-40.1,-16.3,94752.63
