"","(Intercept)","agr_gdp","dev_agri","dev_env","fdi","for_rem","gdp","gdp_gr","ind_gdp","pop_den","time","df","logLik","AICc","delta","weight"
"785",-6308.30303438537,NA,NA,NA,NA,0.0845598857068674,NA,NA,NA,-599.40449984545,1.06988420399899,5,-91.2964688397663,196.878651965247,0,0.283737080029931
"913",-6321.92246111569,NA,NA,NA,NA,0.0848071429662414,NA,NA,8.53758428260478,-611.293031416496,1.05636052274364,6,-90.2217611876843,198.905060836907,2.02640887166004,0.10301180558532
"787",-6309.30547593437,NA,0.0316871463178005,NA,NA,0.0845721687251238,NA,NA,NA,-599.559930598871,1.06631516000443,6,-90.4999988688879,199.461536199314,2.58288423406736,0.0779919735189238
"817",-6415.66691860091,NA,NA,NA,NA,0.0855213421242846,0.406390633113592,NA,NA,-595.856518142264,1.06768593028864,6,-90.5454148676873,199.552368196913,2.67371623166605,0.0745291198132138
"915",-6328.96573488415,NA,0.0476986384205985,NA,NA,0.0849261063922816,NA,NA,12.0068599767,-616.357945457644,1.04549265066265,7,-88.3050500219052,199.943433377144,3.06478141189675,0.0612924903477982
"786",-6311.98791196961,-3.77614433163758,NA,NA,NA,0.0846408955699661,NA,NA,NA,-605.296803175799,1.06219058472428,6,-91.0515814894272,200.564701440393,3.68604947514592,0.0449262967600709
"789",-6302.7892806128,NA,NA,0.183971281361126,NA,0.0844677439346265,NA,NA,NA,-597.450331867422,1.07082870897748,6,-91.1149599797065,200.691458420951,3.81280645570448,0.0421672902097256
"849",-6299.42438116537,NA,NA,NA,NA,0.0844392599869604,NA,-1.03510487751987,NA,-597.874126816414,1.07430847380711,6,-91.1344238825518,200.730386226642,3.85173426139508,0.0413544860012121
"793",-6313.10179997546,NA,NA,NA,0.0111549242118625,0.0845646251996253,NA,NA,NA,-596.835429015166,1.07120450761707,6,-91.2403531922629,200.942244846064,4.06359288081725,0.0371978734534834
"881",-6456.25049866203,NA,NA,NA,NA,0.0857767582262781,0.648294323850358,-2.71927435962471,NA,-589.724215388522,1.07800019660462,7,-89.5808707034339,202.495074740201,5.61642277495426,0.0171129698597955
